Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Guida Moseley Brown Architects,"6 Pirie St, Fyshwick ACT 2609, Australia",-35.326505,149.1700707,ChIJheHhtkZMFmsRZ5rWb_LYk-I,,,,null,null,null,,"6 Pirie St, Fyshwick ACT 2609, Australia",-35.326505,149.1700707
Low Impact Development (LID) Consulting,null,null,null,null,,,,null,null,null,,null,null,null
Baenziger Coles Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Kosloff Architecture,null,null,null,null,,,,"Level 2 696 Bourke Street, Melbourne, Victoria, 3000, AU",-37.803425,145.01105,,"Level 2 696 Bourke Street, Melbourne, Victoria, 3000, AU",-37.803425,145.01105
CONTEXT Landscape Architecture,"Level 2/52-58 William St, Woolloomooloo NSW 2122, Australia",-33.8737752,151.2149079,ChIJr-mYahSuEmsRuwu7AUWoTEg,,,,null,null,null,,"Level 2/52-58 William St, Woolloomooloo NSW 2122, Australia",-33.8737752,151.2149079
CO-AP (Architects),null,null,null,null,,,,null,null,null,,null,null,null
"proUrban Advisory, Planning & Management",null,null,null,null,,,,null,null,null,,null,null,null
Kilargo,null,null,null,null,,,,null,null,null,,null,null,null
Point Architects - Melbourne,null,null,null,null,,,,null,null,null,,null,null,null
TheFulcrum.Agency,null,null,null,null,,,,null,null,null,,null,null,null
Jackson Clements Burrows (JCB) Architects,null,null,null,null,,,,null,null,null,,null,null,null
JSB Lighting,null,null,null,null,,,,null,null,null,,null,null,null
CSP Architectural Australia,null,null,null,null,,,,null,null,null,,null,null,null
Cameron Chisholm Nicol,"3, Sheffield House, 713 Hay Street, Perth WA 6000, Australia",-31.9539874,115.8574834,ChIJf7IP0NW6MioRGUN9TN-C1mI,,,,null,null,null,,"3, Sheffield House, 713 Hay Street, Perth WA 6000, Australia",-31.9539874,115.8574834
Kinetica Studio Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Interite Healthcare Interiors,"level 1/10 Tacoma Cct, Canning Vale WA 6155, Australia",-32.0617002,115.9174178,ChIJZfZf1o29MioRT_TUhVaEUXc,,,,null,null,null,,"level 1/10 Tacoma Cct, Canning Vale WA 6155, Australia",-32.0617002,115.9174178
Leffler Simes Architects,null,null,null,null,,,,null,null,null,,null,null,null
Webber Architects,null,null,null,null,,,,null,null,null,,null,null,null
Cachet Group,null,null,null,null,,,,null,null,null,,null,null,null
HVG Facades,null,null,null,null,,,,null,null,null,,null,null,null
Perrott Painting,null,null,null,null,,,,null,null,null,,null,null,null
Hargreaves Design Group,null,null,null,null,,,,null,null,null,,null,null,null
Outerspace Landscape Architects,"258A Rundle St, Adelaide SA 5000, Australia",-34.922308,138.609147,ChIJ4_rUXc3OsGoRBTXOjheyr6k,,,,null,null,null,,"258A Rundle St, Adelaide SA 5000, Australia",-34.922308,138.609147
Minx Architecture,null,null,null,null,,,,"91 Moreland St, Footscray, Victoria, 3011, AU",-25.574999,134.3547,,"91 Moreland St, Footscray, Victoria, 3011, AU",-25.574999,134.3547
Petridis Architects,null,null,null,null,,,,null,null,null,,null,null,null
Laboratorio Italiano Design,null,null,null,null,,,,null,null,null,,null,null,null
Proske Architects,null,null,null,null,,,,"26 Wakeham St, Adelaide, SA, 5000, AU",-34.897945,138.59166,,"26 Wakeham St, Adelaide, SA, 5000, AU",-34.897945,138.59166
