Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
Auspak Automotive,null,null,,null,null,,null,null
Specialised Automotive,53.293371,-6.430961,,null,null,,53.293371,-6.430961
Eagles Automotive Centre,null,null,,null,null,,null,null
Carrera Automotive Repairs,51.474678,5.622127,,null,null,,51.474678,5.622127
Autotech Automotive Protection,23.058735,-82.402787,,null,null,,23.058735,-82.402787
European Automotive Repairs,null,null,,null,null,,null,null
Specialised Automotive Electronics,44.668863,10.599451,,null,null,,44.668863,10.599451
Geoff's Automotive Service Centre,null,null,,null,null,,null,null
Tez Automotive,19.812271,-97.361036,,null,null,,19.812271,-97.361036
Jepson Automotive Services,36.177378,43.940556,,null,null,,36.177378,43.940556
Lachlan Cook Automotive,-32.775521,147.070289,,null,null,,-32.775521,147.070289
Don Houghton Automotive,47.236727,39.702793,,null,null,,47.236727,39.702793
1st Call Automotive,null,null,,null,null,,null,null
Fairfield Central Automotive,null,null,,null,null,,null,null
Botany Bay Automotive,-33.939724,151.203852,,null,null,,-33.939724,151.203852
Hall's Gully Automotive,-33.486786,150.830748,,null,null,,-33.486786,150.830748
South Eastern Automotive,-12.819233,-50.657067,,null,null,,-12.819233,-50.657067
Mark II Automotive,null,null,,null,null,,null,null
Straight Steer Automotive,48.942803,9.136616,,null,null,,48.942803,9.136616
Five dock automotive pty ltd,null,null,,null,null,,null,null
AMR Automotive Group,32.807809,-97.204778,,-33.84907,151.13834,,-33.84907,151.13834
Sinclair Automotive - Australia,-33.865202,121.872683,,null,null,,-33.865202,121.872683
IMPARTS AUTOMOTIVE PTY. LTD.,-33.779957,151.277308,,null,null,,-33.779957,151.277308
ZERO Automotive,43.98613,-92.230336,,-34.897945,138.59166,,-34.897945,138.59166
Australian Automotive Group,32.807809,-97.204778,,null,null,,32.807809,-97.204778
Remus Exhaust - REMUS Automotive,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Pit Lane Automotive and Performance,null,null,,null,null,,null,null
Torque Automotive,42.034676,-4.321418,,null,null,,42.034676,-4.321418
Neale Goad Automotive,-24.291315,129.967965,,-37.53209,143.82254,,-37.53209,143.82254
Xtime,null,null,,null,null,,null,null
Steve Johnson Automotive,-25.83694,29.55194,,null,null,,-25.83694,29.55194
Kiwi French Automotive,46.977895,7.472803,,null,null,,46.977895,7.472803
Dee Why Automotive,-33.752429,151.286621,,null,null,,-33.752429,151.286621
Gary Tenni Automotive,41.589885,-87.346786,,null,null,,41.589885,-87.346786
Eddy Nash Automotive,32.482393,-104.304374,,null,null,,32.482393,-104.304374
Peter Ragonese Automotive,null,null,,null,null,,null,null
21st Century Automotive Engineering,null,null,,null,null,,null,null
L. C. Automotive,51.474678,5.622127,,null,null,,51.474678,5.622127
Peter Murphy Automotive Repairs,16.776738,-62.196701,,null,null,,16.776738,-62.196701
Kiama Central Automotive,-34.671698,150.849093,,null,null,,-34.671698,150.849093
Pro-R Automotive,51.474678,5.622127,,null,null,,51.474678,5.622127
Sewells MSXI,43.806422,-79.21834,,null,null,,43.806422,-79.21834
K & G Automotive Car Servicing & Repairs,51.394513,0.490951,,null,null,,51.394513,0.490951
Midac Batteries SpA,55.936778,-4.564952,,null,null,,55.936778,-4.564952
Ashdown-Ingram,null,null,,null,null,,null,null
Honda Australia Motor Vehicles,22.90361,-83.15917,,null,null,,22.90361,-83.15917
