Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
Brickworks Centre,null,null,,-27.994457,153.40938,,-27.994457,153.40938
BNE Clean,32.089868,34.83468,,null,null,,32.089868,34.83468
Miami Business Centre,-28.061987,153.436736,,-27.994457,153.40938,,-27.994457,153.40938
The Draft Australia,49.522174,5.892308,,-27.47126,153.01831,,-27.47126,153.01831
InterOffice Property Services,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Vivid Property Management,51.980018,-0.227921,,-31.939821,115.8162,,-31.939821,115.8162
Flexible Constructions,51.097086,14.667294,,-35.21536,149.14151,,-35.21536,149.14151
Gladstone Business Centre,33.680075,-117.855179,,null,null,,33.680075,-117.855179
Perth Property Signs,-31.960773,115.834088,,-31.939821,115.8162,,-31.939821,115.8162
APD Developments Australia,-37.982883,145.211402,,null,null,,-37.982883,145.211402
Muir's Boatyard,40.76521,-74.220725,,-42.876358,147.3237,,-42.876358,147.3237
JCA Property Maintenance Pty Ltd,null,null,,-31.939821,115.8162,,-31.939821,115.8162
M2SPACE Pty Ltd,-38.094211,144.368721,,-27.994457,153.40938,,-27.994457,153.40938
Lpc Cresa Lease Management,null,null,,null,null,,null,null
Nirrep Property,38.745807,-121.217001,,-31.939821,115.8162,,-31.939821,115.8162
desk & co.,10.469017,76.081137,,-27.47126,153.01831,,-27.47126,153.01831
MJM.NL,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Asbestos Audits Queensland,null,null,,null,null,,null,null
Aura Creative Coworking Office,-33.889641,151.199506,,-33.84907,151.13834,,-33.84907,151.13834
Melling Commercial,-41.203571,174.905396,,null,null,,-41.203571,174.905396
LJC Dixon,null,null,,-36.09821,146.91026,,-36.09821,146.91026
HPG,47.408201,8.50616,,-27.47126,153.01831,,-27.47126,153.01831
UniStudio Accommodation,60.387584,25.023864,,null,null,,60.387584,25.023864
Sen Commercial,null,null,,null,null,,null,null
Tenant Lease Advisory,51.521421,-0.039697,,-31.939821,115.8162,,-31.939821,115.8162
Africa Hospitality Infrastructure Fund,21.638471,3.924068,,-37.803425,145.01105,,-37.803425,145.01105
Franchise Domain,31.488802,74.329021,,-33.84907,151.13834,,-33.84907,151.13834
The Bower Stones Corner,-27.497972,153.044438,,null,null,,-27.497972,153.044438
NAI Harcourts Platinum,9.404974,7.607418,,-37.803425,145.01105,,-37.803425,145.01105
Risk8 Pty Ltd,-38.094211,144.368721,,-27.47126,153.01831,,-27.47126,153.01831
CreativeCubes.Co,null,null,,null,null,,null,null
null,18.776703,100.77522,,null,null,,18.776703,100.77522
Commercial Real Estate Australia,42.05388,-70.183524,,null,null,,42.05388,-70.183524
International Towers,55.711399,-4.837,,null,null,,55.711399,-4.837
Hub Australia,-23.992438,134.050443,,null,null,,-23.992438,134.050443
CBRE Agribusiness,null,null,,null,null,,null,null
Xempla- Asset Performance Analytics for Facility Management Teams.,null,null,,null,null,,null,null
Property and Acquisitions (PANDA),-33.869904,151.21334,,null,null,,-33.869904,151.21334
Quintessential Equity,-34.612909,150.317275,,null,null,,-34.612909,150.317275
Work Club Global,34.704506,135.495529,,null,null,,34.704506,135.495529
Corwells Commercial Property,51.236657,-0.203675,,null,null,,51.236657,-0.203675
City Harbour,28.079796,-80.603002,,null,null,,28.079796,-80.603002
Property HQ,-26.879534,152.877385,,null,null,,-26.879534,152.877385
The Powercat Group,40.113342,-88.239009,,null,null,,40.113342,-88.239009
Ray White Commercial - Metropolitan Sydney,-33.884173,151.195504,,null,null,,-33.884173,151.195504
#NAME?,50.848429,5.691327,,null,null,,50.848429,5.691327
Peter Driessen,null,null,,null,null,,null,null
Melbourne Commercial Real Estate Pty Ltd,43.866391,-121.433913,,-37.803425,145.01105,,-37.803425,145.01105
Get Parked - Clever Inner City Parking,null,null,,-27.47126,153.01831,,-27.47126,153.01831
RE Ventured,46.2,-1.41667,,null,null,,46.2,-1.41667
ASEA,59.60308,16.537114,,null,null,,59.60308,16.537114
Vora Ventures Real Estate Management,5.582988,-0.201733,,null,null,,5.582988,-0.201733
Explore Property Commercial,51.263108,-1.087497,,-25.574999,134.3547,,-25.574999,134.3547
Tenancy Matters,47.735981,16.393717,,null,null,,47.735981,16.393717
SWOTO,null,null,,null,null,,null,null
Site Finders,11.68333,122.36667,,-33.84907,151.13834,,-33.84907,151.13834
Metro Commercial Property Group,41.222489,-95.837824,,null,null,,41.222489,-95.837824
"Central Coast Business Brokers, NSW",-41.269254,146.053042,,-33.84907,151.13834,,-33.84907,151.13834
Medibuy,null,null,,-37.803425,145.01105,,-37.803425,145.01105
The Index Group,16.932122,121.387948,,-27.47126,153.01831,,-27.47126,153.01831
April Group Pty Limited,null,null,,null,null,,null,null
Avanti Commercial,53.54719,7.255935,,null,null,,53.54719,7.255935
Graystone Group,37.209667,-121.839162,,null,null,,37.209667,-121.839162
Fiveight,null,null,,null,null,,null,null
Tactic Property,15.32218,-90.35448,,null,null,,15.32218,-90.35448
Retail Realm Partners,51.00531,4.4607,,null,null,,51.00531,4.4607
commercialVIEW.com.au,null,null,,null,null,,null,null
Crabtrees Real Estate,-37.89883,145.089372,,null,null,,-37.89883,145.089372
Perron Group,24.76667,124,,-31.939821,115.8162,,-31.939821,115.8162
Haben Property Fund,null,null,,null,null,,null,null
CRE Success,47.67718,-0.15836,,null,null,,47.67718,-0.15836
Your Commercial,46.948589,7.444339,,null,null,,46.948589,7.444339
AsheMorgan,null,null,,null,null,,null,null
Jubilee Place,null,null,,null,null,,null,null
CRS Property,null,null,,null,null,,null,null
ResortBrokers®,null,null,,null,null,,null,null
McMullin,null,null,,null,null,,null,null
Central Park Perth,44.91656,-92.932126,,null,null,,44.91656,-92.932126
Mr Cool Cleaning Sydney,52.24148,-0.88299,,-33.84907,151.13834,,-33.84907,151.13834
Brisbane Markets Limited,-27.469309,153.026164,,null,null,,-27.469309,153.026164
Point Parking,-3.723223,-38.512087,,null,null,,-3.723223,-38.512087
null,18.776703,100.77522,,null,null,,18.776703,100.77522
