Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
Boswell Designs,42.742754,-77.420654,,-33.84907,151.13834,,-33.84907,151.13834
Studio Woods,42.02331,-73.910664,,null,null,,42.02331,-73.910664
Patrick Cassidy Website Design,28.194162,-80.602197,,-27.994457,153.40938,,-27.994457,153.40938
"Giraffe VCM, Canberra",-1.376311,36.744996,,-35.21536,149.14151,,-35.21536,149.14151
THE GRAPHIC DESIGN GROUP,null,null,,null,null,,null,null
Design Eye Creative,44.297092,-94.722642,,-41.914326,145.18086,,-41.914326,145.18086
Creative Solution PTY. LTD.,-37.777403,144.929916,,-25.574999,134.3547,,-25.574999,134.3547
Hyphen,29.947857,78.075517,,-32.92528,151.7527,,-32.92528,151.7527
Your Creative Space,47.618603,-122.130347,,-37.803425,145.01105,,-37.803425,145.01105
Sans Serif,null,null,,-33.84907,151.13834,,-33.84907,151.13834
alnmakes,null,null,,null,null,,null,null
A Christou Design Pty Ltd,-37.863773,145.081517,,-34.897945,138.59166,,-34.897945,138.59166
Stickygreenfrog Graphic Design,47.21585,-1.56342,,-33.84907,151.13834,,-33.84907,151.13834
Paperclip Studio Aus,52.09351,5.035638,,null,null,,52.09351,5.035638
Koodoz Design,25.814815,-80.193905,,-37.803425,145.01105,,-37.803425,145.01105
Creato™,null,null,,null,null,,null,null
krycha.com,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Impact Graphics Pty Ltd,39.970887,-75.142624,,-33.84907,151.13834,,-33.84907,151.13834
Elvira-Art Designs,-38.094365,144.370338,,-33.84907,151.13834,,-33.84907,151.13834
Elevator Creative Agency,null,null,,null,null,,null,null
Canberra Design House,48.171631,17.187983,,-35.385662,149.19958,,-35.385662,149.19958
TANIA LLOYD: DESIGN & MARKETING SPECIALIST,55.976342,-3.167811,,null,null,,55.976342,-3.167811
Anothermind.,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Sarah Jade Green Design,40.083202,-88.264205,,-37.803425,145.01105,,-37.803425,145.01105
Evil Olive Creative,38.536433,-121.749049,,-37.803425,145.01105,,-37.803425,145.01105
Krazyarts,null,null,,null,null,,null,null
Katie Hurst Designs,null,null,,null,null,,null,null
3Eyes Graphic Design,47.21585,-1.56342,,-25.574999,134.3547,,-25.574999,134.3547
Jossete Sieira Designs,null,null,,-25.574999,134.3547,,-25.574999,134.3547
Bodoni Studio,34.142217,-118.39157,,null,null,,34.142217,-118.39157
kierandesign,null,null,,-31.939821,115.8162,,-31.939821,115.8162
Radge Design,47.556423,9.687713,,null,null,,47.556423,9.687713
Another Colour,37.563786,126.924035,,null,null,,37.563786,126.924035
Project Pixel,51.118305,17.033355,,-33.84907,151.13834,,-33.84907,151.13834
Principle Design,52.00617,-0.496464,,null,null,,52.00617,-0.496464
Qualia Creative,40.917564,14.15794,,null,null,,40.917564,14.15794
Denomination,null,null,,null,null,,null,null
Co-Partnership,null,null,,null,null,,null,null
Lumin Studio,45.540831,9.170036,,null,null,,45.540831,9.170036
Studio Blackthorns,null,null,,null,null,,null,null
Graphic Jack,-7.425372,109.85566,,null,null,,-7.425372,109.85566
Raak Creative,62.31106,29.629403,,null,null,,62.31106,29.629403
Brilliant Things,40.26479,-80.62619,,-33.84907,151.13834,,-33.84907,151.13834
Boss Designs Australia,-37.815486,144.966032,,null,null,,-37.815486,144.966032
Moko Creative,52.194755,21.023009,,null,null,,52.194755,21.023009
812 Boutique branding and design bureau,null,null,,-27.47126,153.01831,,-27.47126,153.01831
Epping,-37.641564,145.025908,,null,null,,-37.641564,145.025908
Embellish Creative,null,null,,null,null,,null,null
Zephyrmedia,null,null,,-27.994457,153.40938,,-27.994457,153.40938
Rasta Art,-34.072674,150.808975,,-33.84907,151.13834,,-33.84907,151.13834
Sheina Mack Graphic Design,54.45051,35.96775,,-37.803425,145.01105,,-37.803425,145.01105
Circus Creative,-32.922339,-60.802858,,-27.47126,153.01831,,-27.47126,153.01831
Deltobran,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Morgane Guedj Creative,null,null,,-31.939821,115.8162,,-31.939821,115.8162
Signs Plus Australia,-35.345105,143.562684,,-35.543133,143.5273,,-35.543133,143.5273
Maker & Co Design,null,null,,null,null,,null,null
Mediamojo,null,null,,-26.400095,153.066,,-26.400095,153.066
Blossom Design Services,21.783394,-72.223432,,-37.803425,145.01105,,-37.803425,145.01105
Ebony Harrison Graphic Designer,36.57256,-77.982295,,null,null,,36.57256,-77.982295
Designers Inc Pty Ltd,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Parallax Studio 3D Solutions,40.697347,-73.906871,,null,null,,40.697347,-73.906871
MAPgraphics,null,null,,-27.47126,153.01831,,-27.47126,153.01831
Type Creative AUS,52.604891,13.316085,,null,null,,52.604891,13.316085
Illuminate Web Design,51.812883,5.8674,,null,null,,51.812883,5.8674
Designable,null,null,,null,null,,null,null
Nodding Dog,30.3586,50.7981,,-32.92528,151.7527,,-32.92528,151.7527
Scribble & Think Communications,39.694996,-104.825127,,null,null,,39.694996,-104.825127
Brandd Agency,51.216454,6.785798,,null,null,,51.216454,6.785798
Pene G-T,39.698221,43.893092,,-25.574999,134.3547,,-25.574999,134.3547
Ivory Design,40.497775,-80.012577,,null,null,,40.497775,-80.012577
Tangelo Creative,null,null,,-31.939821,115.8162,,-31.939821,115.8162
April77 Creative,-32.922339,-60.802858,,-33.872765,151.20534,,-33.872765,151.20534
Tinstar Creative,-32.922339,-60.802858,,null,null,,-32.922339,-60.802858
YourLogoHere,null,null,,null,null,,null,null
Clarus Design,50.011976,8.788981,,-42.876358,147.3237,,-42.876358,147.3237
Arcaeon Design Studio,49.194698,16.642609,,-33.84907,151.13834,,-33.84907,151.13834
Notable Imprint,59.963877,30.296275,,-35.54637,138.61702,,-35.54637,138.61702
Vivid Wayfinding,55.775483,37.602993,,-37.803425,145.01105,,-37.803425,145.01105
one&three,null,null,,null,null,,null,null
Schiller Studios,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Totem Creative,null,null,,-31.939821,115.8162,,-31.939821,115.8162
RaRa Studios,27.3209,77.76195,,-34.897945,138.59166,,-34.897945,138.59166
Vibranding Australia,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Vessel Studio,34.142217,-118.39157,,null,null,,34.142217,-118.39157
One Deep Design,45.470537,-122.692364,,-27.47126,153.01831,,-27.47126,153.01831
Mosaik Media Design,52.563548,13.41251,,-37.803425,145.01105,,-37.803425,145.01105
etc. graphic design,40.426185,-3.703132,,-37.803425,145.01105,,-37.803425,145.01105
Redro Design,25.814815,-80.193905,,-25.574999,134.3547,,-25.574999,134.3547
Take Heed Design,null,null,,-34.897945,138.59166,,-34.897945,138.59166
Jasmine Allan,28.291035,-82.690242,,-23.374378,150.5064,,-23.374378,150.5064
Aussicom International Pty Ltd,-33.889675,151.149272,,-37.803425,145.01105,,-37.803425,145.01105
Alla Designs,58.75141,17.01614,,-19.30355,146.81116,,-19.30355,146.81116
Brandsmith Studio,null,null,,null,null,,null,null
Miles Design AU,null,null,,-26.70162,153.01706,,-26.70162,153.01706
Creatif,59.340467,18.030421,,-33.84907,151.13834,,-33.84907,151.13834
Mincer.co Creative Agency,-32.922339,-60.802858,,-37.803425,145.01105,,-37.803425,145.01105
LIGHT+DARK Creative Studio,50.936907,6.898624,,null,null,,50.936907,6.898624
Red Instead,51.397258,7.184114,,-35.432167,149.08244,,-35.432167,149.08244
Eid Productions,40.708479,-73.937363,,null,null,,40.708479,-73.937363
Media 411 | BRAND IT RIGHT,18.61316,-70.09851,,null,null,,18.61316,-70.09851
Avoca Beach Picture Theatre,-33.464921,151.433182,,-33.84907,151.13834,,-33.84907,151.13834
Louise Nangla,62.320655,-146.57474,,null,null,,62.320655,-146.57474
Limeshot Design,25.814815,-80.193905,,-33.84907,151.13834,,-33.84907,151.13834
Salty Design Studios,36.4192,25.4367,,-32.92528,151.7527,,-32.92528,151.7527
Logoland,null,null,,null,null,,null,null
CAN Design Pty Ltd,10.11667,105.5,,-37.803425,145.01105,,-37.803425,145.01105
Bayila Creative,39.55408,76.13535,,-37.803425,145.01105,,-37.803425,145.01105
O2 Design,50.104719,14.493614,,-26.406172,153.11015,,-26.406172,153.11015
Glow Render,28.124561,-82.195097,,-27.47126,153.01831,,-27.47126,153.01831
Network Creative Services Pty Ltd,-2.905375,-79.008647,,null,null,,-2.905375,-79.008647
Enslaved Design,25.814815,-80.193905,,null,null,,25.814815,-80.193905
Folkspoke Design,25.814815,-80.193905,,null,null,,25.814815,-80.193905
Name,50.465055,4.859976,,Latitude_0,Longitude_0,,Latitude_0,Longitude_0
Oath & Stone,null,null,,null,null,,null,null
In�Form Studio,34.142217,-118.39157,,null,null,,34.142217,-118.39157
Positive Posters,50.86667,12.26667,,-37.803425,145.01105,,-37.803425,145.01105
The Pixel Kitchen,null,null,,null,null,,null,null
Rare Studio,21.002951,105.822208,,null,null,,21.002951,105.822208
Blush Design & Graphics,40.778712,-77.895232,,null,null,,40.778712,-77.895232
Rally Studio,34.142217,-118.39157,,null,null,,34.142217,-118.39157
Defusion,52.585602,-1.104176,,null,null,,52.585602,-1.104176
Slate Creative,39.763626,-77.086739,,null,null,,39.763626,-77.086739
Gemma Duffill Design,53.725935,-2.691941,,null,null,,53.725935,-2.691941
Enlive Pty Ltd,-38.094211,144.368721,,-24.864399,152.3507,,-24.864399,152.3507
Hexagon Design P/L,null,null,,-37.879314,145.50948,,-37.879314,145.50948
Squirt Creative,34.353261,-89.585204,,-33.84907,151.13834,,-33.84907,151.13834
SHOUT Digital Marketing,null,null,,-31.939821,115.8162,,-31.939821,115.8162
Conway Creative,35.086096,-92.453883,,-23.374378,150.5064,,-23.374378,150.5064
Creativia,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Half Imagined,53.994202,-1.542935,,-37.803425,145.01105,,-37.803425,145.01105
see&co,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Joshua Hall,14.272842,121.110302,,-27.47126,153.01831,,-27.47126,153.01831
Evolve Brand Design,42.242582,-88.317982,,-27.47126,153.01831,,-27.47126,153.01831
LogoNow,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Magnum Signs - (Vic) Australia,40.603718,-74.173041,,-37.803425,145.01105,,-37.803425,145.01105
Powerhouse Design - Australia,-34.921257,138.637082,,-37.803425,145.01105,,-37.803425,145.01105
BD Brand Design,null,null,,-33.84907,151.13834,,-33.84907,151.13834
Monstar Design,20.650021,96.641784,,null,null,,20.650021,96.641784
MalinCreates,null,null,,null,null,,null,null
Instinct Global Pty Ltd,null,null,,null,null,,null,null
Microcosm Design,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Drawcard Graphic Design,47.21585,-1.56342,,-34.897945,138.59166,,-34.897945,138.59166
KD&M - Keepsakes Design & Marketing,55.976342,-3.167811,,null,null,,55.976342,-3.167811
Graphio Solutions,43.049026,-77.466359,,null,null,,43.049026,-77.466359
Frysteen Design + Print,56.342617,-2.797093,,-26.391449,153.0392,,-26.391449,153.0392
Origami Graphics,50.323666,19.201611,,null,null,,50.323666,19.201611
Storm Design Agency Sydney,51.444444,-0.342975,,null,null,,51.444444,-0.342975
CASTONDESIGN,null,null,,null,null,,null,null
Blue Orange Design,null,null,,-37.803425,145.01105,,-37.803425,145.01105
Tango Media Australia,5.88083,125.22194,,-33.84907,151.13834,,-33.84907,151.13834
Redtrike Creative Co.,26.622723,-82.125403,,-27.47126,153.01831,,-27.47126,153.01831
Blume Designs NT,48.605743,7.836988,,null,null,,48.605743,7.836988
Lemon & Lime Design,36.587029,-4.532173,,-33.84907,151.13834,,-33.84907,151.13834
Kombination,50.812762,12.863009,,-37.803425,145.01105,,-37.803425,145.01105
Peppa Design,59.856625,17.648864,,-27.47126,153.01831,,-27.47126,153.01831
NBS Productions Pty Ltd,null,null,,-37.803425,145.01105,,-37.803425,145.01105
WE LOVE MONDAYS CREATIVE LIMITED,-20.91687,167.26461,,-37.803425,145.01105,,-37.803425,145.01105
Firefly Graphics & VA Services,42.673767,-73.809942,,null,null,,42.673767,-73.809942
Flik Graphic Design,47.21585,-1.56342,,-27.47126,153.01831,,-27.47126,153.01831
Cariboo Design,49.249627,-122.914359,,-25.574999,134.3547,,-25.574999,134.3547
Firekracker,null,null,,-33.84907,151.13834,,-33.84907,151.13834
PhoneTech Services,7.223274,124.249678,,null,null,,7.223274,124.249678
Design Brew,39.898802,-104.96335,,-31.939821,115.8162,,-31.939821,115.8162
Safetybooks,null,null,,null,null,,null,null
