Name,Address_0,Latitude_0,Longitude_0,place_id
Altair,"87b, Jalan Indah 15/2, Taman Bukit Indah, 81200 Johor Bahru, Johor, Malaysia",1.4801328,103.6570979,ChIJSeGjrq1z2jERCPTq5m7mXQ8
Expleo Group,"Registered Office, S1, North Bridge Rd, 19-04/05 High Street Centre, Singapore 179094",1.2898568,103.8495903,ChIJ3_S8PFMZ2jER2n8NGBh3xLY
8x8,"18 Cross St, Singapore 048423",1.2835867,103.8470853,ChIJCZxqjgwZ2jERkkBBCdnlsLA
Orange Business Services,"750 Chai Chee Rd, Singapore 469000",1.3234653,103.9218586,ChIJgfGpQ6wi2jERzL1H8_i2VRg
QBurst,"42 Temasek Blvd, Singapore",1.2954625,103.859256,ChIJzbixAq8Z2jER2r32G29sEm0
TEKWISSEN ®,"Plot No 1A & 2A, Survey No 141, Tekwissen Rd, Gambhiram, Andhra Pradesh 531163, India",17.8798732,83.3669524,ChIJ4fBvgytDOToR37apsCdSEfk
Appirio,"8 Temasek Boulevard, Level 44, Suntec Tower Three, 038988, Singapore 038988",1.295029,103.85936,ChIJG7rP4a4Z2jERW1L90II05zQ
Tanium,"Green Park, 100 Brook Dr, Reading RG2 6UJ, United Kingdom",51.4258135,-0.9850171,ChIJ4WuAx4CcdkgR0dfRAStU7lg
Dimension Data,"2 Kaki Bukit Ave 1, #06-03, Singapore 417938",1.3316922,103.9033646,ChIJJ43J5jgX2jER7Xh_a9OIvgM
Tradeshift,"G Tower, 199, Jln Tun Razak, Kuala Lumpur, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1588023,101.71971,ChIJY84yz4U3zDERMzPQ1nvS6R8
SRA Information Technology,"One Raffles Place Tower 2, Level 19, Raffles Place, 1, Singapore 048616",1.284358,103.8510616,ChIJd89TUs4Z2jERkQfrAi6Bg9I
InterSystems Asia Pacific,"1/747 Lytton Rd, Murarrie QLD 4172, Australia",-27.4573968,153.0976364,ChIJiaY2LdNekWsR6yoDWasMCr8
Collabtech Group,"7645 E Ray Rd Ste 125, Mesa, AZ 85212, United States",33.3274387,-111.6651804,ChIJddZjCKizK4cRRd6PE61G-Qg
Max Kelsen,"39 Kennigo St, Spring Hill QLD 4000, Australia",-27.4563521,153.030004,ChIJH1SbkfJZkWsRNk0XXhYyEIg
Redbox Digital,"229 Mountbatten Rd, Singapore 398007",1.307532,103.881287,ChIJPTdoikcY2jERAx5d__Bktu0
GeoSLAM,"Innovation House, Ruddington Fields Business park, Mere Way, Nottingham NG11 6JS, United Kingdom",52.8800921,-1.1422227,ChIJuwmCqdTIeUgRq2RpkXpX5QQ
Tryzens,"Technopark Campus, Kazhakkoottam, Kerala 695581, India",8.5611412,76.8771807,ChIJCwsurv6-BTsRJ2_6xjKKjeA
Jacobi,"Taman Universiti, 81300 Johor Bahru, Johor, Malaysia",1.529849,103.620078,ChIJexQUoW502jERvMhYgqkeSC8
NetStrategy Pty Ltd,"level 5/165 Walker St, North Sydney NSW 2060, Australia",-33.8374014,151.2094247,ChIJH5rBTCqKtAER-JK5jHb6WXA
Capital Numbers,"Mani-Casadona IT Building, East Tower, Unit No 8E4, 8th floor Plot #2 F/4, Action Area I, #2 F, Newtown, Kolkata, West Bengal 700156, India",22.5847494,88.4867965,ChIJ06mp0bF1AjoRKLLeqGc_jOQ
UHG (Unified Healthcare Group),"205 Chapel St, Prahran VIC 3181, Australia",-37.8512506,144.9933302,ChIJpQYQtzpo1moRl09TTxGrqUY
Groupe LGM,"Bâtiment ADER, 13 Avenue Morane Saulnier, 78140 Vélizy-Villacoublay, France",48.7830697,2.211415,ChIJ7-I1adl75kcRAIXITSogy54
Seven Consulting,"420 North Bridge Road,#05-28, North Bridge Center, Singapore 188727",1.3058379,103.8636889,ChIJx0pfSrQZ2jERcCmHpGubI4I
Kinetic IT,"35 Kallang Pudding Road, #02-04, A Tong Lee Building, Singapore 349314",1.3296512,103.8781242,ChIJC6X8K0wX2jERsRK45yLuEk4
Enable Professional Services,"15 Beach Rd, 2nd floor, Singapore 189677",1.2958614,103.8555479,ChIJvTgTyIUZ2jERZJ4CWw4Z2qY
Odysseus Solutions,"Golden Gate Properties, 80 Feet Rd, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095, India",12.942427,77.6223856,ChIJUw20jqkVrjsR5q3vkbQwkY8
EstimateOne,"G4/29 Stewart St, Richmond VIC 3121, Australia",-37.8233999,144.9908736,ChIJm9hyVEtd1moROviXQrmJ7cA
Fintellix Solutions,"5, 10, 17th A Main Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095, India",12.9337326,77.6179995,ChIJLV0sH1AUrjsReAVlMAZgzOU
Eagle Eye,"No. 7, Jalan Persiaran Skudai 8 Pusat Perusahaan Skudai 8 Skudai, 81300 Johor Bahru, Johor, Malaysia",1.5269933,103.6811609,ChIJzUMVI7Nz2jEROcuZsyAg8Mc
Indian Cyber Security Solutions ( GreenFellow IT Security Solutions Pvt Ltd),"Globsyn Crystals Building, 5th floor Unit 4, Salt Lake Sector V, EP Block, Electronics Complex, Kolkata, West Bengal 700091, India",22.5727486,88.4348319,ChIJ4fxT2BZ6AjoR25cuweietpI
IoT Alliance Australia,"Building 11, 3, 81 Broadway, Ultimo NSW 2007, Australia",-33.8840504,151.1992254,ChIJq6pqLSauEmsRxWyqxdOeXBg
KPMG and Microsoft Solutions,"Lignum House, Triq Aldo Moro, Il-Marsa MRS 9065, Malta",35.8749576,14.4955392,ChIJmSc9s-paDhMRAX05CRLNVHA
Austere Systems Private Limited,"Office no 301,302,303 , A SQUARE, Plot no 34 ADC, Sec, 26, Ganga Nagar Rd, Government Employee Staff Quarters, Pradhikaran, Nigdi, Pimpri-Chinchwad, Maharashtra 411044, India",18.6467445,73.7678316,ChIJMURB8Oi5wjsRjnCV0DOR4Hw
Genie Solutions,"Level 2/315 Brunswick St, Fortitude Valley QLD 4006, Australia",-27.4583358,153.0338399,ChIJsYZlqlZQkWsRNBXzxoKk_MQ
Biolog-id,"1 Rue du Commandant Robert Malrait, 27300 Bernay, France",49.1043186,0.5917531,ChIJN9FvROmj4UcRm46DJMqsvMk
printIQGlobal,null,null,null,null
Global IT Alliance (GITA),"4th Floor, IGSSS Building 28, Institutional Area, Lodi Road, New Delhi, Delhi 110003, India",28.5888107,77.2280431,ChIJ-0xBzO_iDDkRP4XOFukdLbs
Industrie&Co,"20, Jalan Perdagangan 9, Skudai, 81300 Johor Bahru, Johor, Malaysia",1.5393539,103.624274,ChIJFcaG_w102jERkMjQFcKsqII
Pro AV Solutions,"60, Jalan Damai Raya 1, Alam Damai, 56000 Cheras, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.0635967,101.7434589,ChIJ9aTI2L41zDER9GRWJ6MFyw8
Yondo,"SUITE 403/45 Brisbane Rd, Mooloolaba QLD 4557, Australia",-26.6827988,153.1187181,ChIJX-jyYl52k2sRSwXJ5ZEtt50
Ricoh Australia,"2 Richardson Pl, North Ryde NSW 2113, Australia",-33.7976311,151.1450938,ChIJyQO5x1avEmsRT6ZI-LGZ-fk
Napier Healthcare,"100 Pasir Panjang Rd, #04-03, Singapore 118518",1.2754673,103.7958295,ChIJoftfNBIZ2jERJJpco320FRg
Fresche Solutions,"Kalyanpur (West), Lucknow, Uttar Pradesh 226022, India",26.9269886,80.9726466,ChIJz7XEXJxXmTkR4YisGcr9c9I
