Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
CLIMB Learning,"7F-08 Level 7, Skudai Paradigm Mall, Jalan Bertingkat Skudai, 81200 Johor Bahru, Johor, Malaysia",1.515613,103.686159,ChIJp2FGd1Vy2jERQa1_ETsSTX8,,,,null,null,null,,"7F-08 Level 7, Skudai Paradigm Mall, Jalan Bertingkat Skudai, 81200 Johor Bahru, Johor, Malaysia",1.515613,103.686159
Advocacy Tasmania,null,null,null,null,,,,"null, Tasmania, null, null, AU",-42.876358,147.3237,,"null, Tasmania, null, null, AU",-42.876358,147.3237
Guides4Sight,null,null,null,null,,,,null,null,null,,null,null,null
Great Start Behaviour Services,"2/14 Narabang Way, Belrose NSW 2086, Australia",-33.7044543,151.2109809,ChIJ3Rot6B5VDWsRiqjmqQpI39g,,,,null,null,null,,"2/14 Narabang Way, Belrose NSW 2086, Australia",-33.7044543,151.2109809
Inala Youth Service,"12 Sittella St, Inala QLD 4077, Australia",-27.6050658,152.9779861,ChIJHQehDBhPkWsRA0FmEdHTzo4,,,,"12 Sittella Street, Inala, Queensland, 4077, AU",-27.47126,153.01831,,"12 Sittella Street, Inala, Queensland, 4077, AU",-27.47126,153.01831
Response Services Inc,"CPF Jurong Building, 21 Jurong Gateway Rd, #01-02, Singapore 608546",1.3349953,103.7400402,ChIJJ_1yZgUQ2jERT2ks328Xj6o,,,,"4 Torpey Place, Broadmeadow, NSW, 2292, AU",-32.92528,151.7527,,"4 Torpey Place, Broadmeadow, NSW, 2292, AU",-32.92528,151.7527
McCall Gardens Community,"10-32 Terry Rd, Box Hill NSW 2765, Australia",-33.6549286,150.8939315,ChIJhaQ0ojqeEmsR9L7TOYWNQf8,,,,null,null,null,,"10-32 Terry Rd, Box Hill NSW 2765, Australia",-33.6549286,150.8939315
Linking Visions,null,null,null,null,,,,null,null,null,,null,null,null
Morcare Services Pty. Ltd.,"677 Boronia Rd, Wantirna VIC 3152, Australia",-37.8473405,145.2281322,ChIJ5-QtXwA81moR-7D_QXRTfSY,,,,null,null,null,,"677 Boronia Rd, Wantirna VIC 3152, Australia",-37.8473405,145.2281322
AuPairStory Cultural Exchange Center,"374 High St, Penrith NSW 2750, Australia",-33.7540861,150.6985329,ChIJN_WVTouFEmsRer6QoCxQ3Pk,,,,"7 Sarah West Pl, Mount Annan, NSW, 2567, AU",-33.84907,151.13834,,"7 Sarah West Pl, Mount Annan, NSW, 2567, AU",-33.84907,151.13834
Avon Community Services,"371 Fitzgerald St W, Northam WA 6401, Australia",-31.6593978,116.665576,ChIJ3-1m6noxMyoR1gGcvYbv9LE,,,,"371 Fitzgerald St E, Northam, Western Australia, 6401, AU",-31.670431,116.7256,,"371 Fitzgerald St E, Northam, Western Australia, 6401, AU",-31.670431,116.7256
Bodhi Spending Planners Pty Ltd,"1092 Lower Delta Rd, #05-08, Singapore 169203",1.2809648,103.8220929,ChIJCf8CqlEBBBARmUV1eqfkKYg,,,,null,null,null,,"1092 Lower Delta Rd, #05-08, Singapore 169203",1.2809648,103.8220929
Western Truck Group,"373-391 Anzac Ave, Harristown QLD 4350, Australia",-27.5875968,151.9157714,ChIJ-8l0Km9blmsRXCnBxMOV694,,,,null,null,null,,"373-391 Anzac Ave, Harristown QLD 4350, Australia",-27.5875968,151.9157714
Thompson Family Funerals,"123 Mostyn St, Castlemaine VIC 3450, Australia",-37.0658226,144.2203979,ChIJwfUMUdkw12oR3tyG0vDLJB4,,,,"123 Mostyn St, CASTLEMAINE, VIC, 3450, AU",-37.0649,144.22102,,"123 Mostyn St, CASTLEMAINE, VIC, 3450, AU",-37.0649,144.22102
HNE Health,"Lookout Rd, New Lambton NSW 2305, Australia",-32.9212772,151.6913022,ChIJcULg06tBc2sRcoSJxR9dem8,,,,null,null,null,,"Lookout Rd, New Lambton NSW 2305, Australia",-32.9212772,151.6913022
Dear Dyslexic,"DEAR, 12929 E 21st St b, Tulsa, OK 74134, United States",36.1340415,-95.8312021,ChIJXbgNZkbztocRl5ofICsQ_DI,,,,null,null,null,,"DEAR, 12929 E 21st St b, Tulsa, OK 74134, United States",36.1340415,-95.8312021
Right At Home Sunshine Coast,"Suite 8/20 Innovation Pkwy, Birtinya QLD 4575, Australia",-26.7347009,153.1211098,ChIJhc0fSmWek2sRx3QezEH0b08,,,,"Suite 8, Birtinya, QLD, 4575, AU",-26.700788,153.1243,,"Suite 8, Birtinya, QLD, 4575, AU",-26.700788,153.1243
Hive Village Project,null,null,null,null,,,,null,null,null,,null,null,null
The Butterfly Initiative,"151 Lor Chuan, #06-01B Lobby A, New Tech Park, Singapore 556741",1.3521153,103.8606731,ChIJl1-H1w4X2jERA5AeTrXgjm0,,,,null,null,null,,"151 Lor Chuan, #06-01B Lobby A, New Tech Park, Singapore 556741",1.3521153,103.8606731
Ability to Achieve,"303 Belmore Rd, Riverwood NSW 2210, Australia",-33.9504221,151.0520589,ChIJMyhKGCu_EmsRaONw3_oA8To,,,,"11/17 Willfox St, Condell Park, New South Wales, 2200, AU",-33.84907,151.13834,,"11/17 Willfox St, Condell Park, New South Wales, 2200, AU",-33.84907,151.13834
Caring Choice,"20 Cowley Ln, Chapeltown, Sheffield S35 1SY, United Kingdom",53.4606412,-1.4644865,ChIJq9pR_Y55eUgR7yutp38eVdk,,,,null,null,null,,"20 Cowley Ln, Chapeltown, Sheffield S35 1SY, United Kingdom",53.4606412,-1.4644865
ABAlink,"Level 3/5-9 Devlin St, Ryde NSW 2112, Australia",-33.8135733,151.104013,ChIJ6TxXACmvEmsR2fdmRW0VDuc,,,,null,null,null,,"Level 3/5-9 Devlin St, Ryde NSW 2112, Australia",-33.8135733,151.104013
Cality Care,"Level 27 Penthouse, Centrepoint North Mid Valley City, Lingkaran Syed Putra, 59200 Kuala Lumpur, Malaysia",3.1180395,101.6776556,ChIJCSwE1cFJzDER-u3ZEDF7lVk,,,,null,null,null,,"Level 27 Penthouse, Centrepoint North Mid Valley City, Lingkaran Syed Putra, 59200 Kuala Lumpur, Malaysia",3.1180395,101.6776556
United Disability Care,"Level 5/35 Robina Town Centre Dr, Robina QLD 4230, Australia",-28.076976,153.3881953,ChIJbyBnEZkdkWsRGEAPp9jZh7k,,,,null,null,null,,"Level 5/35 Robina Town Centre Dr, Robina QLD 4230, Australia",-28.076976,153.3881953
Aged Care Decisions,null,null,null,null,,,,null,null,null,,null,null,null
SASI.Vic,"level 1/54-58 Wells St, Frankston VIC 3199, Australia",-38.1433353,145.1230841,ChIJvdqlEtl01moRNAWJu0s2YFE,,,,null,null,null,,"level 1/54-58 Wells St, Frankston VIC 3199, Australia",-38.1433353,145.1230841
Thrive Kids,"228 Bank St, South Melbourne VIC 3205, Australia",-37.834404,144.959114,ChIJZ_TXef5n1moRu59CRauv6UY,,,,null,null,null,,"228 Bank St, South Melbourne VIC 3205, Australia",-37.834404,144.959114
Resilience Kit,"Cottesloe Chambers, 8/136 Railway Street, Cottesloe WA 6011, Australia",-31.983618,115.769888,ChIJpSiDdiGkMioRcgzjJQYk9kE,,,,null,null,null,,"Cottesloe Chambers, 8/136 Railway Street, Cottesloe WA 6011, Australia",-31.983618,115.769888
Clear Sky Australia,"62 Alexander Parade, Charlestown NSW 2290, Australia",-32.9728105,151.6964319,ChIJ6WgZ86I9c2sRy1eHono8zLs,,,,null,null,null,,"62 Alexander Parade, Charlestown NSW 2290, Australia",-32.9728105,151.6964319
Rainbow Families,"Level 1/241 Castlereagh St, Sydney NSW 2000, Australia",-33.8760232,151.2085139,ChIJq6oZk0mwEmsRYQMOIEhTMLI,,,,null,null,null,,"Level 1/241 Castlereagh St, Sydney NSW 2000, Australia",-33.8760232,151.2085139
Second Chances SA,"3/397 Diagonal Rd, Sturt SA 5047, Australia",-35.025076,138.552825,ChIJ8azKQ3PasGoRAgpwSBfK2XY,,,,null,null,null,,"3/397 Diagonal Rd, Sturt SA 5047, Australia",-35.025076,138.552825
Centacare New England North West,"21 Oliver St, Inverell NSW 2360, Australia",-29.772796,151.11568,ChIJbcTmYDf3oWsRo8-_IAMn-Xc,,,,null,null,null,,"21 Oliver St, Inverell NSW 2360, Australia",-29.772796,151.11568
Better Together Community Support Inc.,"1 Main St, Atherton QLD 4883, Australia",-17.262843,145.4771942,ChIJsXUy2XZ1gmkRbPuH7HQSBiY,,,,null,null,null,,"1 Main St, Atherton QLD 4883, Australia",-17.262843,145.4771942
