Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Wall Bling,"41/5 Thompson Rd, Patterson Lakes VIC 3197, Australia",-38.0689108,145.1420289,ChIJ0QRKkrcN1moRNlEn52YfI2o,,,,null,null,null,,"41/5 Thompson Rd, Patterson Lakes VIC 3197, Australia",-38.0689108,145.1420289
Greg James Sculpture Studio Gallery at J Shed,"Unit 2 J Shed/2 Fleet St, Fremantle WA 6160, Australia",-32.0560347,115.7407104,ChIJQ3uujqShMioRQn8mRt-CNmM,,,,null,null,null,,"Unit 2 J Shed/2 Fleet St, Fremantle WA 6160, Australia",-32.0560347,115.7407104
ARO Gallery,"51 William St, Darlinghurst NSW 2010, Australia",-33.8742909,151.2147749,ChIJCdjNFRSuEmsReeyRv3wsaF0,,,,null,null,null,,"51 William St, Darlinghurst NSW 2010, Australia",-33.8742909,151.2147749
Glenn Burton Fine Art Gallery,"25 Nelson Rd, North Strathfield NSW 2137, Australia",-33.8609029,151.0901447,ChIJ22VuBSu7EmsRavIrM6S4N-I,,,,null,null,null,,"25 Nelson Rd, North Strathfield NSW 2137, Australia",-33.8609029,151.0901447
Bim Bam Brisbane,"46 N Quay, Scarborough QLD 4020, Australia",-27.1946442,153.1113958,ChIJdUnKrqDpk2sRO6WWe3WUhPU,,,,null,null,null,,"46 N Quay, Scarborough QLD 4020, Australia",-27.1946442,153.1113958
Arts Tree,"3 GATEWAY DRIVE, MALL, #04-33 Westgate, Singapore 608532",1.3343784,103.7427835,ChIJl0xjKX0R2jERPbj1xGxeRXc,,,,null,null,null,,"3 GATEWAY DRIVE, MALL, #04-33 Westgate, Singapore 608532",1.3343784,103.7427835
Deluxe Display & Exhibitions,"10 & 12, Jalan Ros Merah 3/2, Johor Jaya, 81100 Johor Jaya, Johor, Malaysia",1.533035,103.79629,ChIJNSiBcEBs2jERDlgajmq2ulE,,,,null,null,null,,"10 & 12, Jalan Ros Merah 3/2, Johor Jaya, 81100 Johor Jaya, Johor, Malaysia",1.533035,103.79629
Jean and June Pastore Art Gallery,"3 Specks Ct, Wannanup WA 6210, Australia",-32.6015777,115.6361811,ChIJDYBgf6GHLSoRG_RL4ZicIK0,,,,null,null,null,,"3 Specks Ct, Wannanup WA 6210, Australia",-32.6015777,115.6361811
ART SOUP MELBOURNE,"1416 Malvern Rd, Glen Iris VIC 3146, Australia",-37.8534869,145.0435091,ChIJVbBSAARC1moRqcBpxLrvpKg,,,,null,null,null,,"1416 Malvern Rd, Glen Iris VIC 3146, Australia",-37.8534869,145.0435091
Gallery Stimuleye,"327 Lennox St, Richmond VIC 3121, Australia",-37.82465,144.993754,ChIJmRoam5JC1moRHlB9QVBfpiA,,,,null,null,null,,"327 Lennox St, Richmond VIC 3121, Australia",-37.82465,144.993754
Yvonne West Fine Art Studio,"46 Douglas St, Hobartville NSW 2753, Australia",-33.6014076,150.7397933,ChIJWe7VaWF9DWsRPaHim_R0q2s,,,,null,null,null,,"46 Douglas St, Hobartville NSW 2753, Australia",-33.6014076,150.7397933
Micky Barlow,"122 Main Rd, McLaren Vale SA 5171, Australia",-35.217926,138.5430799,ChIJFdem42UlsWoR2OO8ebAo67w,,,,null,null,null,,"122 Main Rd, McLaren Vale SA 5171, Australia",-35.217926,138.5430799
Conversation Bitz,"SHOP 1B/60 Railway St, Mudgeeraba QLD 4213, Australia",-28.078995,153.3653465,ChIJq6p6_eockWsRWvXAFNwsHo4,,,,null,null,null,,"SHOP 1B/60 Railway St, Mudgeeraba QLD 4213, Australia",-28.078995,153.3653465
Local Images Penola Art Gallery,"55 Church St, Penola SA 5277, Australia",-37.3781707,140.8370704,ChIJTVOaWZoay2oRuwpecg_Kzck,,,,null,null,null,,"55 Church St, Penola SA 5277, Australia",-37.3781707,140.8370704
Australian Sikh,"4/18 Meurants Ln, Glenwood NSW 2768, Australia",-33.737993,150.9199508,ChIJWW75-82YEmsRZ2sEBP2Sup4,,,,null,null,null,,"4/18 Meurants Ln, Glenwood NSW 2768, Australia",-33.737993,150.9199508
The Mango House of Arts,"566 Mount Crosby Rd, Mount Crosby QLD 4306, Australia",-27.5536986,152.8063228,ChIJ51y3ESGzlmsRnbe4qxJ2ktY,,,,null,null,null,,"566 Mount Crosby Rd, Mount Crosby QLD 4306, Australia",-27.5536986,152.8063228
Onyx Gallery,"Atria Shopping Gallery, Jalan SS 22/23, Damansara Jaya, 47400 Petaling Jaya, Selangor, Malaysia",3.1270963,101.6165176,ChIJEdjIkftJzDER7jyvH_8a308,,,,null,null,null,,"Atria Shopping Gallery, Jalan SS 22/23, Damansara Jaya, 47400 Petaling Jaya, Selangor, Malaysia",3.1270963,101.6165176
Port Augusta Cultural Centre,"6 Beauchamp Ln, Port Augusta SA 5700, Australia",-32.4914773,137.7629375,ChIJVfrciR3evGoRT2NUeiCbi9k,,,,null,null,null,,"6 Beauchamp Ln, Port Augusta SA 5700, Australia",-32.4914773,137.7629375
Aesthetic Precision,"#11-90, 8 Eu Tong Sen St, The Central, Singapore 059818",1.2891137,103.8466671,ChIJSUlBirwZ2jERKxWjfWBu7tM,,,,null,null,null,,"#11-90, 8 Eu Tong Sen St, The Central, Singapore 059818",1.2891137,103.8466671
Waragil Studios @ Blackheath,"8 Govetts Leap Rd, Blackheath NSW 2785, Australia",-33.6354518,150.2852751,ChIJPyEA7hNyEmsRpHO4VtajbYY,,,,null,null,null,,"8 Govetts Leap Rd, Blackheath NSW 2785, Australia",-33.6354518,150.2852751
Gwalia Museum,"16A Tower St, Leonora WA 6438, Australia",-28.9145334,121.3335074,ChIJC6B09dHtsSsRCEmfd36Sayw,,,,null,null,null,,"16A Tower St, Leonora WA 6438, Australia",-28.9145334,121.3335074
artcollection.com.au,null,null,null,null,,,,null,null,null,,null,null,null
