S/T name,SA2 name,Latitude,Longitude
New South Wales,Braidwood,-35.443496,149.794956
New South Wales,Karabar,-35.375872,149.22926
New South Wales,Queanbeyan,-35.353399,149.230104
New South Wales,"Queanbeyan, Queanbeyan East",null,null
New South Wales,Queanbeyan Region,-35.353399,149.230104
New South Wales,"Queanbeyan West, Queanbeyan West Jerrabomberra",-35.359991,149.203411
New South Wales,Bombala,-36.912244,149.241001
New South Wales,Cooma,-36.237452,149.135418
New South Wales,Cooma Region,-36.237452,149.135418
New South Wales,"Jindabyne, Berridale",-36.400392,148.648217
New South Wales,Batemans Bay,-35.709068,150.176583
New South Wales,"Batemans Bay, Batemans Bay South",-35.709068,150.176583
New South Wales,"Bega, Tathra",-36.701317,149.843248
New South Wales,"Bega, Eden Hinterland",-36.701317,149.843248
New South Wales,"Broulee, Tomakin",-35.8525,150.15323
New South Wales,"Deua, Wadbilliga",null,null
New South Wales,Eden,-37.047116,149.907482
New South Wales,Eurobodalla Hinterland,-36.1485,149.9679
New South Wales,"Merimbula, Tura Beach",-36.890065,149.916656
New South Wales,"Moruya, Tuross Head",-35.916073,150.082402
New South Wales,"Narooma, Bermagui",-36.238774,150.11061
New South Wales,Goulburn,-34.747283,149.726961
New South Wales,Goulburn Region,-34.747283,149.726961
New South Wales,Yass,-34.841621,148.911312
New South Wales,Yass Region,-34.841621,148.911312
New South Wales,Young,-34.316951,148.294442
New South Wales,Young Region,-34.316951,148.294442
New South Wales,"Avoca Beach, Copacabana",-33.469361,151.426335
New South Wales,"Box Head, MacMasters Beach",-33.53641,151.345763
New South Wales,"Calga, Kulnura",-33.411199,151.224939
New South Wales,"Erina, Green Point",-33.438387,151.39399
New South Wales,"Gosford, Springfield",-33.420189,151.337076
New South Wales,Kariong,-33.442496,151.294544
New South Wales,"Kincumber, Picketts Valley",-33.472742,151.397156
New South Wales,Narara,-33.395092,151.33316
New South Wales,"Niagara Park, Lisarow",-33.375304,151.348371
New South Wales,"Point Clare, Koolewong",-33.438117,151.316885
New South Wales,"Saratoga, Davistown",-33.476307,151.34739
New South Wales,"Terrigal, North Avoca",-33.440044,151.424541
New South Wales,"Umina, Booker Bay, Patonga",-32.494981,146.586903
New South Wales,"Wamberal, Forresters Beach",-33.423263,151.44338
New South Wales,"Woy Woy, Blackwall",-33.498754,151.314926
New South Wales,Wyoming,-32.06744,147.45174
New South Wales,"Bateau Bay, Killarney Vale",-33.386445,151.472487
New South Wales,"Blue Haven, San Remo",-33.210965,151.503514
New South Wales,"Budgewoi, Buff Point, Halekulani",-33.230457,151.551766
New South Wales,"Chittaway Bay, Tumbi Umbi",-33.32637,151.436528
New South Wales,"Gorokan, Kanwal, Charmhaven",-33.256322,151.503342
New South Wales,"Jilliby, Yarramalong",null,null
New South Wales,"Lake Munmorah, Mannering Park",-33.187691,151.574552
New South Wales,"Ourimbah, Fountaindale",-33.317783,151.338722
New South Wales,"Summerland Point, Gwandalan",-33.142779,151.565393
New South Wales,The Entrance,-33.345039,151.495532
New South Wales,"Toukley, Norah Head",-33.256584,151.551897
New South Wales,"Tuggerah, Kangy Angy",-33.307697,151.428955
New South Wales,"Warnervale, Wadalba",-33.252313,151.450039
New South Wales,Wyong,-33.277835,151.437702
New South Wales,Bathurst,-33.417961,149.576458
New South Wales,"Bathurst, Bathurst East",-33.417961,149.576458
New South Wales,Bathurst Region,-33.29156,149.552885
New South Wales,Oberon,-33.703874,149.860889
New South Wales,Condobolin,-33.082168,147.147506
New South Wales,Cowra,-33.832784,148.679979
New South Wales,Cowra Region,-33.832784,148.679979
New South Wales,Forbes,-33.376142,148.005911
New South Wales,Grenfell,-33.899512,148.154935
New South Wales,Parkes ,-33.139833,148.179809
New South Wales,Parkes Region,-33.139833,148.179809
New South Wales,West Wyalong,-33.924063,147.211571
New South Wales,Lithgow,-33.485129,150.15933
New South Wales,Lithgow Region,-33.485129,150.15933
New South Wales,Mudgee,-32.602195,149.572904
New South Wales,"Mudgee Region, Mudgee Region East",-32.602195,149.572904
New South Wales,"Mudgee Region, Mudgee Region West",-32.602195,149.572904
New South Wales,"Wollangambe, Wollemi",-32.494981,146.586903
New South Wales,Blayney,-33.532091,149.249356
New South Wales,Orange,-33.284306,149.0986
New South Wales,"Orange, Orange North",-33.284306,149.0986
New South Wales,Orange Region,-33.284306,149.0986
New South Wales,Grafton,-29.683335,152.935695
New South Wales,Grafton Region,-29.683335,152.935695
New South Wales,"Maclean, Yamba, Iluka",-29.450491,153.209216
New South Wales,Bellingen,-30.450513,152.900296
New South Wales,"Coffs Harbour, Coffs Harbour North",-30.290583,153.114278
New South Wales,"Coffs Harbour, Coffs Harbour South",-30.290583,153.114278
New South Wales,"Coramba, Nana Glen, Bucca",-30.223305,153.012506
New South Wales,Dorrigo,-30.338352,152.712049
New South Wales,"Korora, Emerald Beach",-30.256478,153.135041
New South Wales,"Sawtell, Boambee",-30.370043,153.096385
New South Wales,Urunga,-30.495284,153.011883
New South Wales,"Woolgoolga, Arrawarra",-30.115137,153.194955
New South Wales,"Bourke, Brewarrina",-30.090701,145.944501
New South Wales,Cobar,-31.497282,145.834345
New South Wales,Coonamble,-30.95573,148.388199
New South Wales,"Nyngan, Warren",-31.565138,147.192869
New South Wales,"Walgett, Lightning Ridge",-30.027521,148.118811
New South Wales,Broken Hill,-31.958,141.459866
New South Wales,Far West,-32.494981,146.586903
New South Wales,Coonabarabran,-31.277531,149.278955
New South Wales,"Dubbo, East",-32.250776,148.615532
New South Wales,"Dubbo, Dubbo South",-32.250776,148.615532
New South Wales,"Dubbo, Dubbo West",null,null
New South Wales,Dubbo Region,-32.250776,148.615532
New South Wales,Gilgandra,-31.705975,148.657138
