Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Curvaceous Plus Size Clothing,"10/14-18 Preston St, Jamisontown NSW 2750, Australia",-33.7634612,150.6874487,ChIJOdSymVqPEmsRAczPa4IC3sQ,,,,null,null,null,,"10/14-18 Preston St, Jamisontown NSW 2750, Australia",-33.7634612,150.6874487
AuExpress,"42 Boorea St, Lidcombe NSW 2141, Australia",-33.8511657,151.0423126,ChIJ75naN_G8EmsRGXGMBCoqAVA,,,,null,null,null,,"42 Boorea St, Lidcombe NSW 2141, Australia",-33.8511657,151.0423126
Stor PTY LTD,null,null,null,null,,,,"43 High Street Prahran, Melbourne , VIC, 3181, AU",-37.803425,145.01105,,"43 High Street Prahran, Melbourne , VIC, 3181, AU",-37.803425,145.01105
Platinum Vehicle Storage Pty Ltd,null,null,null,null,,,,"21 Raymor Lane, Encounter Bay, South Australia, 5211, AU",-35.54637,138.61702,,"21 Raymor Lane, Encounter Bay, South Australia, 5211, AU",-35.54637,138.61702
MEREDITH TRANSPORT PTY LIMITED,null,null,null,null,,,,null,null,null,,null,null,null
Boost Solutions Pty Ltd,null,null,null,null,,,,"Local, Melbourne, Victoria, null, AU",-37.803425,145.01105,,"Local, Melbourne, Victoria, null, AU",-37.803425,145.01105
Bunbury Self Storage,"10 Nicholson Rd, Picton East WA 6229, Australia",-33.3627075,115.7269134,ChIJW5E3VFviMSoRKWffpDNWmMk,,,,null,null,null,,"10 Nicholson Rd, Picton East WA 6229, Australia",-33.3627075,115.7269134
GT Hydraulics,null,null,null,null,,,,null,null,null,,null,null,null
Conan Products,null,null,null,null,,,,null,null,null,,null,null,null
Angel Storage,"54B Blackwall Point Rd, Chiswick NSW 2046, Australia",-33.8504445,151.1375974,ChIJgwrTKl6lEmsRMNIX3tkrASo,,,,null,null,null,,"54B Blackwall Point Rd, Chiswick NSW 2046, Australia",-33.8504445,151.1375974
Shipping Containers Sydney Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Surplus Equipment Brokers,null,null,null,null,,,,null,null,null,,null,null,null
King Ape Supplements,null,null,null,null,,,,null,null,null,,null,null,null
Total Care Movers - Adelaide Removalist,null,null,null,null,,,,null,null,null,,null,null,null
Marvel Packers,null,null,null,null,,,,null,null,null,,null,null,null
My Linen,"1 Maju Ave, #01-20, Singapore 556679",1.365357,103.865226,ChIJrW6ctP8W2jERVJQIOOpFR4s,,,,null,null,null,,"1 Maju Ave, #01-20, Singapore 556679",1.365357,103.865226
CoGri Australia Pty Ltd,null,null,null,null,,,,null,null,null,,null,null,null
Bae The Label,null,null,null,null,,,,null,null,null,,null,null,null
Taipan Hydraulic Hose Systems Perth,null,null,null,null,,,,null,null,null,,null,null,null
Djglobal,"No. 25, Jalan PPJA 2/6 Pusat perdagangan Alam Jaya, Selangor, 42300 Bandar Puncak Alam, Malaysia",3.2259577,101.4286738,ChIJw0heh4ZZzDERq1UFBmvi8Wk,,,,null,null,null,,"No. 25, Jalan PPJA 2/6 Pusat perdagangan Alam Jaya, Selangor, 42300 Bandar Puncak Alam, Malaysia",3.2259577,101.4286738
