Name,Address_0,Latitude_0,Longitude_0,place_id
Tasmanian Tiger Technologies,"6/16 Goodman Ct, Launceston TAS 7248, Australia",-41.4141121,147.135311,ChIJpz5OxdqmcKoRtp3T_FqTXok
Rytmar,"Jindera NSW 2642, Australia",-35.9547409,146.8886425,ChIJsWaahqzYI2sRJjMv7dJ84Bc
Nine PC Technologies,"No12, 13, Jalan Seri Putra 1/2, Bandar Seri Putra, 43000 Kajang, Selangor, Malaysia",2.88437,101.7913239,ChIJZxk-RIfJzTERgbdFbUTx2Z4
AUS IT TECH Direct Pty Ltd,"Suite 33/58-62 Water St S, Toowoomba City QLD 4350, Australia",-27.5704165,151.9487871,ChIJNV8yGBNdlmsRB8JKsPt0HQ8
Rosman Computers,"Shop 17 Thirroul Plaza, 282 Lawrence Hargrave Drive, Thirroul NSW 2515, Australia",-34.3155975,150.9217552,ChIJcYfYEs8fE2sRzmrWEhcoZus
World of Mobile,"290 Orchard Rd, Singapore 238859",1.3039311,103.8355849,ChIJVVVVMJIZ2jERfk-Z4FQx9lA
Laptop Screen Man,null,null,null,null
Invent Marine,"11-02 Marine Parade Central, Singapore 449408",1.3017126,103.90579,ChIJEysTdXEY2jERX1V95PReG_c
Maleny Computers,"Shop 6/2 Maple St, Maleny QLD 4552, Australia",-26.7580609,152.853557,ChIJc6eKWhSHk2sR6g8SiSdtyzQ
Save Systems Technologies Pty Ltd,"17, Jalan Kempas 2/1, Kawasan Perindustrian Tanah Tampoi, 81200 Johor Bahru, Johor, Malaysia",1.5145009,103.7326119,ChIJXemPdH9t2jERe_fsditXCiU
QuickFix Computers and Notebooks,"1/407 Hume Hwy, Liverpool NSW 2170, Australia",-33.9360475,150.9145849,ChIJs8Te46mVEmsRepNMYEzZXQU
GT-Micropro,"4 Gerald Cres, Doonside NSW 2767, Australia",-33.7455612,150.8741129,ChIJC1CM7GiZEmsRRvcszbhZFH8
Straight Forward Computing,"229 Mountbatten Rd, #03-38 Mountbatten Square, Singapore 398007",1.3076402,103.8811851,ChIJaVp_A68Z2jERjMx3ubqK0VE
Teksolution Computing Services,"No 42/20 Thiruvalluvar Salai, Periya, Kodungaiyur, Chennai, Tamil Nadu 600118, India",13.1378293,80.2467222,ChIJKa2iOqBdUjoRAJJnfgDSEZI
Inkdirect,"122 Fergusson Street, Feilding 4702, New Zealand",-40.2261535,175.5680051,ChIJwQNYT4JKQG0RxkKRWUqnSwg
PCAU.COM,"Suite 208/35 Doody St, Alexandria NSW 2015, Australia",-33.916493,151.195982,ChIJTTXVMq6xEmsRMITAJh1zywM
SECA Computer,"13/12 Churchill Ave, Strathfield NSW 2135, Australia",-33.8728513,151.0933058,ChIJNcevg9i6EmsR1Km1tYe9D10
PC Space,"Eco Palladium, Jln Ekoflora 7/2, 81100 Johor Bahru, Johor, Malaysia",1.5882421,103.7586482,ChIJtx-huTVv2jERcdhclDCz-eU
Userland Australia,"3 HAPENNY LANE OFF, Katoomba St, Katoomba NSW 2780, Australia",-33.716316,150.310866,ChIJEdezw5huEmsRNW2QGZL3xHU
IShop Cairns,"116A Grafton St, Cairns City QLD 4870, Australia",-16.921792,145.7739246,ChIJNTBJjJFmeGkRbhqJCqaRO5s
