Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Auspak Automotive,null,null,null,Automative,null,http://mechanic-condell-park.websyte.com.au,"Condell Park, New South Wales",null,null,https://www.linkedin.com/company/auspak-automotive/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Specialised Automotive,null,null,null,Automative,null,http://specialisedautomotive.com.au,"Bega, New South Wales",null,null,https://www.linkedin.com/company/specialised-automotive/,null,53.293371,-6.430961,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Eagles Automotive Centre,null,null,null,Automative,null,http://eaglesautos.com.au,"Camden, New South Wales",null,null,https://www.linkedin.com/company/eagles-automotive-centre/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Carrera Automotive Repairs,null,null,null,Automative,null,http://mechanic-croydon.websyte.com.au,"Croydon, Victoria",null,null,https://www.linkedin.com/company/carrera-automotive-repairs/,null,51.474678,5.622127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Autotech Automotive Protection,null,null,null,Automative,null,null,"Wollongong, New South Wales",null,null,https://www.linkedin.com/company/autotech-automotive-protection/,null,23.058735,-82.402787,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
European Automotive Repairs,null,null,null,Automative,null,http://europeanautomotiverepairs.com.au,"South Melbourne, Victoria",null,null,https://www.linkedin.com/company/european-automotive-repairs/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Specialised Automotive Electronics,null,null,null,Automative,null,http://autoelectronics.com.au,null,null,null,https://www.linkedin.com/company/specialised-automotive-electronics/,null,44.668863,10.599451,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Geoff's Automotive Service Centre,null,null,null,Automative,null,http://geoffsautomotive.com.au,"Labrador, Queensland",null,null,https://www.linkedin.com/company/geoff's-automotive-service-centre/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tez Automotive,null,null,null,Automative,null,http://tezauto.com.au,"Pialligo, Australian Capital Territory",null,null,https://www.linkedin.com/company/tez-automotive/,null,19.812271,-97.361036,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Jepson Automotive Services,null,null,null,Automative,null,http://jepsonautomotive.com.au,"Geelong, Victoria",null,null,https://www.linkedin.com/company/jepson-automotive-services/,null,36.177378,43.940556,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Lachlan Cook Automotive,null,null,null,Automative,null,http://prepdmotorsport.com.au,"Gladesville, New South Wales",null,null,https://www.linkedin.com/company/lachlan-cook-automotive/,null,-32.775521,147.070289,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Don Houghton Automotive,null,null,null,Automative,null,http://donhoughtonautomotive.com.au,"Artarmon, New South Wales",null,null,https://www.linkedin.com/company/don-houghton-automotive/,null,47.236727,39.702793,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
1st Call Automotive,null,null,null,Automative,null,http://1stcallautomotive.com.au,"Wanneroo, Western Australia",null,null,https://www.linkedin.com/company/1st-call-automotive/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Fairfield Central Automotive,null,null,null,Automative,null,http://fairfieldcentralauto.com.au,"Fairfield, Victoria",null,null,https://www.linkedin.com/company/fairfield-central-automotive/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Botany Bay Automotive,null,null,null,Automative,null,http://botanybayauto.com.au,"Botany, New South Wales",null,null,https://www.linkedin.com/company/botany-bay-automotive/,null,-33.939724,151.203852,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Hall's Gully Automotive,null,null,null,Automative,null,http://hallsgullyauto.repcoservice.net,"Ferntree Gully, Victoria",null,null,https://www.linkedin.com/company/hall's-gully-automotive/,null,-33.486786,150.830748,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
South Eastern Automotive,null,null,null,Automative,null,http://southeasternautomotive.com.au,"Burwood, Victoria",null,null,https://www.linkedin.com/company/south-eastern-automotive/,null,-12.819233,-50.657067,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Mark II Automotive,null,null,null,Automative,null,http://mark2automotive.com.au,"Tocumwal, New South Wales",null,null,https://www.linkedin.com/company/mark-ii-automotive/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Straight Steer Automotive,null,null,null,Automative,null,http://straightsteer.com.au,"Chatswood, New South Wales",null,null,https://www.linkedin.com/company/straight-steer-automotive/,null,48.942803,9.136616,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
