Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Brickworks Centre,"107 Ferry Rd, Southport, Queensland 4215, AU","Boutique shopping precinct on the Gold Coast. Explore the carefully curated selection of food, fashion, homewares & art.",null,Commercial Real State,11-50 employees,https://www.brickworkscentre.com.au/,"Southport, Queensland",Partnership,null,https://www.linkedin.com/company/brickworks-centre/,"107 Ferry Rd, Southport, Queensland, 4215, AU",-27.994457,153.40938,Southport,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
BNE Clean,"Brisbane,   AU",we provide cleaning services and maintenance.,null,Commercial Real State,2-10 employees,https://bneclean.com.au,null,Sole Proprietorship,2002,https://www.linkedin.com/company/bne-clean/,null,32.089868,34.83468,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Miami Business Centre,"2190 Gold Coast Highway, Miami, QLD 4220, AU","Miami Business Centre offers 25 fully integrated serviced office suites. Shared serviced offices provide a cost-effective solution for start-ups, entrepreneurs, home-based business owners and large companies to establish branch locations. A serviced office suite saves you time and money by utilising shared resources, shared facilities, equipment and support personnel. Our tenants represent a mix of well-regarded business services and professions including Psychologist's, Naturopath's, Financial Planners and mortgage brokers.

Miami Business Centre also provides Virtual Office Services to allow you to benefit from the resources available from our front of house reception team including the use of our Gold Coast business address on your marketing material.  This service is perfect for start-ups, sole traders, consultants and business owners who work from their home offices. Furthermore, virtual offices are a popular choice for companies who wish to trial a new business location before taking the risk of buying or renting.",null,Commercial Real State,2-10 employees,http://www.miamibusinesscentre.com.au,"Miami, QLD",Public Company,null,https://www.linkedin.com/company/miami-business-centre/,"2190 Gold Coast Highway, Miami, QLD, 4220, AU",-27.994457,153.40938,Miami,Miami Business Centre,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
The Draft Australia,"97 Longlands St, Woolloongabba, Brisbane, QLD 4102, AU","We offer services for Architectural drafting and Real Estate listings solutions as Photography, Property site measure, Floor plan drafting, Virtual Staging and Lawn Signs. Very affordable prices, as we are a young group of skilled architects and virtual artists, very keen on positioning in the market and standing out for our proficiency and high end service. Send us your enquiry to info@thedraftaustralia.com for more info call 0432701544",null,Commercial Real State,2-10 employees,http://visualisationbrisbane.com.au,"Brisbane, QLD",Partnership,2016,https://www.linkedin.com/company/the-draft-australia/,"97 Longlands St, Woolloongabba, Brisbane, QLD, 4102, AU",-27.47126,153.01831,Brisbane,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
InterOffice Property Services,"Level 16, 1 Martin Plcae, c/- ""Flexispace""​, Sydney, NSW 2000, AU","InterOffice Property Services develops next-generation co-working, business collaboration and commercial property solutions.InterOffice currently operates two business collaboration sites, developed in partnership with Charter Hall Group - under the name of ""Flexispace by Charter Hall and InterOffice""​. These sites focus on providing a range of flexible meeting, hot desk and office solutions to building tenants, while also enabling external clients with similar needs access to the spaces. This creates a vibrant business community, with scope for collaboration, innovation and event activities - yet also providing for enclosed workspaces, to support the need for focus work time and team-based or project work.Our first proof-of-concept location at 68 Pitt Street was established in 2015, and has already generated significant positive feedback from existing building tenants, as well as external clients - spawning several collaborations, and providing overflow and convenience for valued existing tenants of the building.Our second site at 1 Martin Place is a showcase of the full potential of the concept.  Spanning 718m2, the ""Flexispace""​ site at 1 Martin Place includes a multi-purpose large event space, numerous boardrooms and meeting rooms, private offices, team spaces, hot desk and fixed working options, and collaboration and break-out spaces. This site was completed in December 2016 and opened in February 2017.InterOffice has also developed a number of technology based offerings and other assets which dramatically improve amenity and ease of use in commercial business environments, reduce operational costs and increase scalability.",null,Commercial Real State,2-10 employees,http://interoffice.net.au/,"Sydney, NSW",Privately Held,2015,https://www.linkedin.com/company/interoffice-property-services/,"Level 16, 1 Martin Plcae, Sydney, NSW, 2000, AU",-33.84907,151.13834,Sydney,Head Office,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Vivid Property Management,"22 Gibberd Road, Level 1, Balcatta, Western Australia 6021, AU","Vivid Property ManagementUnique service - unique results.Experience the Vivid Difference. Our dedicated and fully integrated end-to-end property sales and property management services focus on delivering excellence at every touch point.At Vivid we represent only the most thoughtfully designed and crafted properties to the highest standard of specifications. All the properties we represent have been carefully researched and are located in desirable locations. Our properties are highly sought-after by tenants and as such represent great investments.All our properties are fully complete and ready to own or move into, this means no waiting and no hassles.",null,Commercial Real State,2-10 employees,https://www.vividpropertymanagement.com.au/,"Balcatta, Western Australia",Privately Held,null,https://www.linkedin.com/company/vivid-property-management/,"22 Gibberd Road, Balcatta, Western Australia, 6021, AU",-31.939821,115.8162,Balcatta,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Flexible Constructions,"Mitchell ACT , Canberra ACT, Canberra  2911, AU","Tell us about your home design, any build project idea, or just say hello. Whether you’ve got a big building idea or if you’re just looking for some construction inspiration in Canberra ACT. We’re here to build luxury homes for you. Let’s build something awesome together! We will construct or renovate any form of building including granny flats construction, home renovation, home extensions, and helping you build the house of your dreams. We are here to build our future.",1300 030 450,Commercial Real State,201-500 employees,http://www.flexibleconstructions.com.au/,"Canberra ACT, Canberra",Public Company,2017,https://www.linkedin.com/company/flexible-constructions/,"Mitchell ACT , Canberra ACT, Canberra , 2911, AU",-35.21536,149.14151,Canberra ACT,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Gladstone Business Centre,"1 Manning St, South Gladstone, Queensland 4680, AU","Gladstone Business Centre is a multi faceted space providing networking and business oppurtunities to a range of businesses from startups, micro business, small business all the way to national operations needing a proffesional presence in the area with a local network of professionals.",null,Commercial Real State,2-10 employees,http://gladstonebc.com.au/,"South Gladstone, Queensland",Partnership,2019,https://www.linkedin.com/company/gladstonebc/,null,33.680075,-117.855179,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Perth Property Signs,"3/35 Buckingham Drive, Wangara, WA 6065, AU","Perth Property Signs is a family owned and operated signage company based in Perth, Western Australia. We specialise in Commercial Real Estate signage while also providing services to the Residential Real Estate market and general signage for other businesses. Our products and services include real estate signage,  builders signs, stickers and wall graphics, A-Frame signs, shop frontages, banners, billboards, hoardings and much more.",9409 6283,Commercial Real State,2-10 employees,http://www.perthpropertysigns.com.au,"Wangara, WA",Partnership,2016,https://www.linkedin.com/company/perth-property-signs/,"3/35 Buckingham Drive, Wangara, WA, 6065, AU",-31.939821,115.8162,Wangara,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
APD Developments Australia,"18 The Esplanade, Level 9, Perth CBD, Western Australia 6000, AU","APD Developments Australia is the property development arm of APD Design & Development Group. Together with APD Architecture, an A+ registered architecture practice, and APD Commercial, we work with the best creative talent and combine to bring a collaborative team of top industry experts together to realise large scale development projects.Whilst we do some high end residential work, our core focus is on commercial, hospitality and aged care projects. Our business model is to actively seek out gaps and/or opportunities in the market and bring together relevant stakeholders to realise development projects. This can include acquiring land, obtaining investment funding and bringing in top tier operators depending on project requirements.A major unique selling proposition is that we often do schematic designs on a speculative basis with fees only being charged upon project commencement. This helps to reduce upfront costs, fast tracks development opportunities and sets us apart from any other architect firm or property development group.",(08) 6266 8331,Commercial Real State,11-50 employees,http://www.apdarchitecture.com.au,"Perth CBD, Western Australia",Privately Held,2018,https://www.linkedin.com/company/apd-developments-australia/,null,-37.982883,145.211402,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
