Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Country
Educon Australia,"Melbourne, Victoria 3000, AU",We create marketplace for connections between institutions that can drive mutual benefits and making corporate life better. We take Australian Education to the rest of the world and form partnerships between the Australian Institutes with the Institutes around the world.,+61 390 524 040,Education Management,11-50 employees,http://www.educonaustralia.com.au,"Melbourne, Victoria",Self-Employed,null,https://www.linkedin.com/company/educon-australia/,"null, Melbourne, Victoria, 3000, AU",-37.803425,145.01105,Melbourne,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Australia Yin Yang Tai Chi Academy,null,null,null,Education Management,null,http://yinyangtaichi.com.au,null,null,null,https://www.linkedin.com/company/australia-yin-yang-tai-chi-academy/,"7 - 3, Jalan SS 23/11, Taman Sea, 47400 Petaling Jaya, Selangor, Malaysia",3.117118,101.6145959,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Aspire Academy Australia,"Tyler St, Preston, Victoria 3072, AU",null,null,Education Management,2-10 employees,null,"Preston, Victoria",Sole Proprietorship,null,https://www.linkedin.com/company/aspire-academy-australia/,"Tyler St, Preston, Victoria, 3072, AU",-37.803425,145.01105,Preston,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
AICE - Australian International College of English,"140 Elizabeth St, Levels 5-6, Sydney, New South Wales 2000, AU","AICE is an ideal place to study and make friends as we have supportive staff and great facilities to make your experience here enjoyable.What makes our college different?  We are here to help you excel in your chosen path to perfect your EnglishThat is why our theme is ‘English for Excellence’.The Australian International College of English (AICE) upholds its mission to provide quality education in all of its programs from High School Preparation to Preparation for IELTS. Not only that, the College believes that happy, successful and fully supported teachers deliver top quality lessons. This reflects on the quality of the learning and the overall culture of the college. State-of-the art premises, well-trained teachers and an extensive range of activities add up to happy successful students.Join us to excel in English.",+61 2 9299 2400,Education Management,11-50 employees,http://www.aice.nsw.edu.au,"Sydney, New South Wales",Educational Institution,null,https://www.linkedin.com/company/aicesyd/,"140 Elizabeth St, Sydney, New South Wales, 2000, AU",-33.84907,151.13834,Sydney,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Australian Upskill Training & Education Pty Ltd - RTO 41596,"Level 1 16/14 Ashtan Place, 64 Victor Street, Brisbane, Queensland 4014, AU","At Australian Upskill Training & Education Pty Ltd (AUTE) we understand that good leadership and management is crucial to any company success. We have aligned our ""Business""​, 'Leadership and Management""​ courses to satisfy a number of the critical skill gaps created by Queensland's accelerating growth and is registered to provide nationally recognised qualifications throughout Australia. 

Our Vision...
To be leaders in the provision of quality training and education that meet the needs of the Australian workforce

Our Mission...
To provide learners with the right tools to succeed in their chosen field, whether for employment, promotion or professional development

Tell a Friend...
The opportunity to study with ""AUTE""​ is open to everyone, no matter what your background, level of education or ethnicity, unlock your full potential through education.",null,Education Management,2-10 employees,http://www.aute.com.au,"Brisbane, Queensland",Privately Held,null,https://www.linkedin.com/company/australian-upskill-training-&-education-pty-ltd/,"Level 1 16/14 Ashtan Place, Brisbane, Queensland, 4014, AU",-27.47126,153.01831,Brisbane,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Australian Student Environment Network,null,null,null,Education Management,null,http://asen.org.au,null,null,null,https://www.linkedin.com/company/australian-student-environment-network/,"19 Eve St, Erskineville NSW 2043, Australia",-33.9051494,151.18543,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Australian Abacus Academy,AU,Australian Abacus Academy is an education management company based out of Australia.,null,Education Management,2-10 employees,http://australianabacusacademy.com.au,null,Educational Institution,null,https://www.linkedin.com/company/australian-abacus-academy/,"null, null, null, null, AU",-25.574999,134.3547,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Anytime Training Australia,"3 Chisholm Rd, Carrara, QLD 4211, AU",null,null,Education Management,2-10 employees,https://www.anytimetrainingaustralia.com.au/,"Carrara, QLD",Partnership,null,https://www.linkedin.com/company/anytime-training-australia/,"3 Chisholm Rd, Carrara, QLD, 4211, AU",-27.994457,153.40938,Carrara,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Australian International Institute Of Business Management,"1/37 Cayley St, Glendalough, Western Australia 6016, AU","Australian International Institute of Business Management (AIIBM) is the organisation that collaborating with several Australian Registered Training Organisations (RTOs) and on behalf of collaborating RTOs, AIIBM offers assistances in educational counselling and provides professional advice to enrol in appropriate Globally Recognized Training to gain Certificate III to Advanced Diploma level.",null,Education Management,2-10 employees,https://aiibm.com.au/,"Glendalough, Western Australia",Partnership,null,https://www.linkedin.com/company/australian-international-institute-of-business-management/,"1/37 Cayley St, Glendalough, Western Australia, 6016, AU",-31.939821,115.8162,Glendalough,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Australian Students'​ Society of Haematology,"Melbourne, Victoria 3000, AU","The Australian Students'​ Society of Haematology (ASSH) is a professional society for students in Australia interested in blood disorders. ASSH has three main aims:1. To foster interest amongst university students in haematology2. To improve university students'​ understanding of core topics in haematology3. To support and advocate for research in haematologyASSH hopes to achieve these aims by:1. Running a series of high quality seminars designed to strengthen students'​ grasp of fundamental haematological principles; elucidate the pathway to becoming a haematologist; and introduce some of the cutting-edge research currently being conducted in the field of haematology. 2. Organising fundraising events to support research in haematology. ASSH membership is completely free-of-charge. Whether you are a budding haematologist, or simply interested to learn more about minutiae of blood and blood disorders, sign up today to receive the latest updates on all the exciting events that we have lined up for the year: https://forms.gle/3oUDwmQLbXqPJeNy9.",null,Education Management,2-10 employees,null,"Melbourne, Victoria",Nonprofit,null,https://www.linkedin.com/company/australian-students-society-of-haematology/,"145 Macquarie St, Sydney NSW 2000, Australia",-33.864785,151.2124043,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
All Australian Education,"3a, 1 Puckle St. Moonee Ponds, Melbourne, VIC 3039, AU","All Australian Education is an Education Consultancy Organization that helps international students to come and study in Australia. We help students to choose the best available program that meets not only their immediate needs but also future needs. We are Educational Consultants not ""Agents""​. We do not sell programs, but recommend them accordingly student profile. We thrive to see an ""Upgrade""​ in our students'​ skills rather than an ""update""​.",null,Education Management,2-10 employees,http://www.allaustralianeducation.com.au,"Melbourne, VIC",Sole Proprietorship,null,https://www.linkedin.com/company/all-australian-education/,"3a/1 Puckle St, Moonee Ponds VIC 3039, Australia",-37.767193,144.924573,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Collins Institute of Australia,"Level 6/127 Liverpool St, Sydney,  2000, AU",Collins Institute of Australia is a vibrant international college located in Sydney CBD and is conveniently located within 3 minutes’ walk of Museum station and its busy public transport hub. Collins Institute of Australia aims to provide students with educational opportunities for their future careers.,+61 2 8024 8999,Education Management,11-50 employees,http://collins.edu.au/,null,Educational Institution,null,https://www.linkedin.com/company/collins-institute-of-australia/,"Level 6/127 Liverpool St, Sydney, null, 2000, AU",-33.84907,151.13834,Sydney,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
My Australian Dream,null,My Australian Dream is a newly launched hub for young students and entrepreneurs who might be interested in developing their career in Australia. Especially in Brisbane which is one of the fastest-growing metropolitan in Australia. Our objective is to work with international students to facilitate a thriving environment where they may join the best suited institutions and immerse themselves in local companies to meet their long term goals. We achieve this through our close connections built all throughout the region and the strong emphasis we put on developing a synergistic approach with the business community. Thus it allows us to create a very strong networking foundation for students and professionals alike in order to transform ideas into businesses. We are working towards bringing Brisbane and Australia to the world stage and vice versa.,null,Education Management,2-10 employees,http://www.myaustraliandream.com,null,Privately Held,null,https://www.linkedin.com/company/my-australian-dream/,"Barcelona, Barcelona, null, null, ES",41.38835,2.167125,Barcelona,My Australian Dream - Spain,"St. Lucia, Brisbane, null, null, AU",-27.47126,153.01831,Brisbane,My Australian Dream - Australia,"Citta' Studi, Milano, null, null, IT",45.693928,9.670619,Milano,My Australian Dream - Italy,null,null,null,null,null,IT
Australian Vocational Training Academy,"49 Phillip Ave, WATSON, ACT 2602, AU",Australian Vocational Training Academy is an education provider specialising in tailored business to business education solutions,419166077,Education Management,0-1 employees,http://avtacademy.com.au,"WATSON, ACT",Educational Institution,null,https://www.linkedin.com/company/australian-vocational-training-academy/,"49 Phillip Ave, WATSON, ACT, 2602, AU",-35.28078,149.1314,WATSON,null,"St. Lucia, Brisbane, null, null, AU",-27.47126,153.01831,Brisbane,My Australian Dream - Australia,"Citta' Studi, Milano, null, null, IT",45.693928,9.670619,Milano,My Australian Dream - Italy,null,null,null,null,null,AU
