Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Boswell Designs,"79 Hutchins Crescent, Kings Langley, NSW 2147, AU","Boswell Designs is a Sydney based design and marketing service, specialising in print, branding and online projects for small to medium businesses. Operating independently for the past 7 years, Boswell Designs has provided creative results for a range of clients, such as Kwik Kopy Australia, Harmony Psychology, Statewide Mechanical Services, No Fuss Homeloans, The Pregnancy & Parenting Centre and Shine PR.",null,null,2-10 employees,http://www.boswelldesigns.com.au,"Kings Langley, NSW",Partnership,null,https://www.linkedin.com/company/boswell-designs/,"79 Hutchins Crescent, Kings Langley, NSW, 2147, AU",-33.84907,151.13834,Kings Langley,Sydney Office,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Studio Woods,"Perth, WA 6000, AU","""Graphic Design is just too hard and expensive.""It doesnâ€™t have to be. We exist to help small businesses and startups with graphic design solutions without having to break the bank.We provide creative graphic design solutions for both small businesses and startups. This includes print and digital media and websites.Our affordable packages make it really easy and simple for any business to stay on brand and look great.",0401 555 892,null,2-10 employees,https://studiowoods.com.au,"Perth, WA",Sole Proprietorship,null,https://www.linkedin.com/company/studiowoods/,null,42.02331,-73.910664,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Patrick Cassidy Website Design,"160 Marine Parade, Southport, Queensland 4215, AU","Results Focussed Websites for Small Business

Are you a small business owner interested in more than just an ordinary brochure style website? Patrick Cassidy Website Design has a team of professional sales, design and technology experts with the specialist skills to ensure you receive a small business website that delivers, and is mobile device friendly.

We help small local and startup businesses just like yours, everyday, to achieve an online presence that inspires their potential customers to take action.

When you choose Patrick Cassidy Website Design, you will get access to an online marketing strategist, a pre-press graphic designer, a web designer, a developer, a direct response copywriter, an SEO specialist, and a photography and video production master, who together can present your business to your customers in the best possible light.

Our clients have peace of mind in knowing that they can come to one place to build their brand, improve their credibilty, and increase their revenue, whilst they can work at building their actual business and adding value for their clients.",null,null,2-10 employees,http://www.patrickcassidy.com.au,"Southport, Queensland",Sole Proprietorship,null,https://www.linkedin.com/company/patrick-cassidy-website-design/,"160 Marine Parade, Southport, Queensland, 4215, AU",-27.994457,153.40938,Southport,Gold Coast,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
"Giraffe VCM, Canberra","Top Floor. 189 Flemington Road, Mitchell, Canberra, ACT 2911, AU","Giraffe are a fun and flexible Canberra graphic design company offering report, publication, infographic, branding, website, accessibility, typesetting, illustration, brochure, campaign and programme support solutions to our public and private sector clients.Our graphic design services include:publication designannual reportscorporate brandingbusiness brandingcampaign brandingevent brandingbrochureslogosnewsletterstypesettingsocial media graphicssignagevehicle signageWCAG 2.0 accessibility standardsaccessible PDFsbusiness cardsletterheadsstationeryfolderspostersanimationinfographicsinformation kitswebsite design",02 62429669,null,2-10 employees,https://giraffe.com.au,"Canberra, ACT",Privately Held,null,https://www.linkedin.com/company/spectrum-graphics-canberra/,"Top Floor. 189 Flemington Road, Mitchell, Canberra, ACT, 2911, AU",-35.21536,149.14151,Canberra,Where the magic happens,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
THE GRAPHIC DESIGN GROUP,null,null,null,null,null,http://tgdg.com.au,null,null,null,https://www.linkedin.com/company/the-graphic-design-group/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Design Eye Creative,"569 Minna Road, Stowport, Tasmania 7321, AU","With over 30 years experience creating visual business solutions, Design Eye provides excellent creative services aimed from the small to medium business right up to corporations. Our services include the development of effective creative solutions that add value to your business, product or service.",null,null,2-10 employees,http://designeyecreative.com.au,"Stowport, Tasmania",Sole Proprietorship,null,https://www.linkedin.com/company/design-eye/,"569 Minna Road, Stowport, Tasmania, 7321, AU",-41.914326,145.18086,Stowport,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Creative Solution PTY. LTD.,"3606 Victoria Point, 100 Harbour Esplanade, Docklands VIC-3008, Victoria, Docklands VIC-3008, AU","Creative Solution is a professional image editing Services provider located in Melbourne. Quality is a key focus, our company has a dedicated team ensures a quality assurance process is maintained to ensure consistency and turnaround time. We always followed clientsâ€™ instruction to ensure the finest quality & glamorous image editing services set to meet the worldwide professional standards.Weâ€™re one of the best quality image editing service providers in Australia. We have a highly skilled team who are specialists in their own professional areas. So we are fully capable of providing all kinds of image processing services across the world.",null,null,11-50 employees,https://creativesolution.com.au/,"Victoria, Docklands",Privately Held,null,https://www.linkedin.com/company/creative-solution-pty-ltd/,"3606 Victoria Point, 100 Harbour Esplanade, Docklands VIC-3008, Victoria, Docklands, VIC-3008, AU",-25.574999,134.3547,Victoria,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Hyphen,"6 Torpey Pl, Broadmeadow, New South Wales 2292, AU","Founded in Sydney in 2013, we are a specialist digital creative studio working with awesome people and businesses to create, build and optimise engaging digital experiences for their clients and customers.We are a small, dedicated core team that strive to work fast, be nimble and solve challenges in our stride. Where required, we partner with select specialists in their respective fields to boost our capabilities to meet project requirements.",null,null,2-10 employees,http://wearehyphen.co,"Broadmeadow, New South Wales",Public Company,null,https://www.linkedin.com/company/hellohyphen/,"6 Torpey Pl, Broadmeadow, New South Wales, 2292, AU",-32.92528,151.7527,Broadmeadow,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Your Creative Space,"5 Alluvian Way, Carrum Downs, VIC 3201, AU","Your Creative Space is a Melbourne based graphic design agency, specialising in logo design, corporate images, collateral design and web design. 
From your logo to all of your collateral, we design to communicate a clear message, keeping in mind your personality, values and target audience.

Corporate Image Design - We carefully plan the way your company presents itself throughout every medium. Considering every detail, from corporate design, to communication and behavior, we shape the perception your target audience has of you.

Logo Design - From start-up to established business, we can create or refresh the perfect logo for any product, service or organisation.

Collateral Design - We passionately design any form of media to promote your brand and support your sales and marketing. Business cards, letterheads, brochures, packaging, displays, envelopes, newsletters, point of sale, exhibitions, vehicles, all designed with your brandâ€™s core values and personalities in check.

Website Design - Partnering with industry experts we can design and build your website to meet all your needs. We work closely with brilliant minds in digital marketing and business IT to create the web applications to suit your needs.

If you are unsure if we can help, just call and ask. We are passionate about all forms of design.

Mission Statement

We love what we do

Our mission is to keep it that way, and for that to reflect through in everything we do. We are passionate about exceeding your expectations, and at the same time staying within your individual budget. Our work will be an expression of who you are and what you do. Every time we create, we put the hours in to research and develop a project perfectly suited to you. We scrutinise every detail to shape your story and present your face to your world. Your brand is all that matters to us, you will never see something we aren't proud to put our name to.",null,null,2-10 employees,http://www.yourcreativespace.net.au,"Carrum Downs, VIC",Sole Proprietorship,null,https://www.linkedin.com/company/your-creative-space/,"5 Alluvian Way, Carrum Downs, VIC, 3201, AU",-37.803425,145.01105,Carrum Downs,Your Creative Space,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Sans Serif,"Annandale, Sydney, NSW  AU","SansSerif is a design agency who likes to challenge the way you think. We could easily go into some long story about what we can do or pretend to do but simply put... we design stuff that trigger conversations and makes you look good.
We know what it takes to make noise, capture attention and move units.",null,null,2-10 employees,http://www.sansserif.com.au,"Sydney, NSW",Privately Held,null,https://www.linkedin.com/company/sans-serif/,"Annandale, Sydney, NSW, null, AU",-33.84907,151.13834,Sydney,HQ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
alnmakes,"Wollongong, NSW 2500, AU","Graphic Design & Branding Strategy for ethical and eco-friendly businesses and organisations.Hi there, Iâ€™m Alex! Iâ€™m a freelance graphic designer based on the South Coast, Australia. I founded alnmakes in 2011 after finishing my degree in Graphic Design. I havenâ€™t stopped working as a freelancer since, and by golly do I love it. I have worked on hundreds of projects since then, and fostering close relationships with my clients is super important.I will work best for you when Iâ€™m considered a valuable part of your team who understands your needs, concerns and goals. I enjoy designing for a range of industries, from health food to software development. Come at me with your start up projects, innovators are my favourite people to work with!Letâ€™s work together!",null,null,0-1 employees,http://alnmakes.com.au,"Wollongong, NSW",Self-Employed,null,https://www.linkedin.com/company/alnmakes/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
A Christou Design Pty Ltd,"5049, AU","A Christou Design offers services in the areas of; Graphic Design, Corporate Identity, Website Design and Multimedia, Illustration, Advertising and Print design.",null,null,2-10 employees,http://www.christoudesign.com,null,Privately Held,null,https://www.linkedin.com/company/a-christou-design-pty-ltd/,"null, null, null, 5049, AU",-34.897945,138.59166,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
