Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Country
Altair,null,"Altair (Nasdaq: ALTR) is a global technology company that provides software and cloud solutions in the areas of data analytics, product development, and high performance computing (HPC). Altair enables organizations in nearly every industry to compete more effectively in a connected world while creating a more sustainable future.Our technologies are woven into the fabric of everyday life. Look around you. Wherever you are, and whatever you are doing, chances are Altair’s solutions surround you; keeping you safer, more connected, more productive. They can be found in big places and small — on highways, hospitals and hockey rinks, in stadiums, skyscrapers, and subways, and in banks, bikes, and boats.Our solutions are helping data analysts, designers, and scientists, engineers, IT professionals, students, and startups make new discoveries and faster decisions with confidence.Altair exists to unleash the limitless potential of the creative mind. Our vision is to transform customer decision making with data analytics, simulation, and high-performance computing.Altair software enables customers to enhance product performance, compress development time and reduce costs. For more than 30 years, we have been helping our customers integrate electronics and controls with mechanical design to expand product value, develop AI, simulation and data-driven digital twins to drive better decisions, and deliver advanced HPC and cloud solutions to support unlimited idea exploration.In solving our customer’s toughest challenges and delivering unparalleled service, we are helping the innovators innovate, drive better decisions, and turn today’s problems into tomorrow’s opportunities.",248-614-2400,IT and Services,"1,001-5,000 employees",http://www.altair.com,"Troy, MI",Public Company,null,https://www.linkedin.com/company/altair-engineering/,"87b, Jalan Indah 15/2, Taman Bukit Indah, 81200 Johor Bahru, Johor, Malaysia",1.4801328,103.6570979,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Expleo Group,null,"Expleo is a trusted partner for end-to-end, integrated engineering, quality services and management consulting for digital transformation. We help businesses harness unrelenting technological change to successfully deliver innovations that will help them gain a competitive advantage and improve the everyday lives of people around the globe. Expleo is active in the technology-intensive sectors that make business and society more connected, sustainable and secure. We offer unique access to industry-specific expertise and best practice across the following services: consultancy and business agility, product design, production and in-service support, as well as continuous quality. Our 15,000 people bring the right balance of boldness and reliability that businesses need to succeed in this disruptive era. We are active in more than 30 countries, generating €1.1 billion in revenue in 2018. Expleo’s network of affiliate companies includes Aerotec, Athos Aéronautique, Double Consulting, Edison Technical Recruitment, Moorhouse Consulting, Silver Atena, Stirling Dynamics, Sud Aviation Services, Trissential and Vista Technologies. For more information about our Data protection policy -  https://expleogroup.com/data-protection/",null,IT and Services,"10,001+ employees",https://expleogroup.com/,"Saint Quentin en Yvelines, Ile-de-France",Privately Held,null,https://www.linkedin.com/company/expleo-group/,"Registered Office, S1, North Bridge Rd, 19-04/05 High Street Centre, Singapore 179094",1.2898568,103.8495903,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
8x8,null,"8x8, Inc. (NYSE: EGHT) is transforming the future of business communications as a leading Software-as-a-Service provider of voice, video, chat, contact center and enterprise-class API solutions powered by one global cloud communications platform. 8x8 empowers workforces worldwide to connect individuals and teams so they can collaborate faster and work smarter. Real-time business analytics and intelligence provide businesses unique insights across all interactions and channels so they can delight end-customers and accelerate their business.",null,IT and Services,"1,001-5,000 employees",https://www.8x8.com,"Campbell, CA",Public Company,null,https://www.linkedin.com/company/8x8/,"18 Cross St, Singapore 048423",1.2835867,103.8470853,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Orange Business Services,null,"We are making business life easier, every day and all around the world As a global IT and communications services provider, Orange Business Services helps companies collaborate more effectively, operate more efficiently and engage better with their customers – connecting their people, sites and machines securely and reliably.Through a unique combination of robust network and IT infrastructure, managed services and professional, reliable people, we do everything we can to offer an outstanding customer experience - helping to change business life for the better.  Some facts & figures:- we have nearly 25,000 staff in 100 countries & territories - our network, the world's largest, reaches 220 countries and territories, including 88 Russian regional subdivisions and 200 Chinese cities.about our customers: - 3,000 multinationals- 2/3 of top global 100 companies- 70% of Fortune 500 financial services companies- 8 million business mobile usersOur mobile operations span 26 countries and serve 207 million mobile customers, including 8 million business customers. As a founding member of the FreeMove Alliance, our mobile coverage spans 80 countries and serves +500 million customers.",null,IT and Services,"10,001+ employees",http://www.orange-business.com,null,Public Company,null,https://www.linkedin.com/company/orange-business-services/,"750 Chai Chee Rd, Singapore 469000",1.3234653,103.9218586,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
QBurst,null,QBurst is a full-service software solutions provider that works with clients to maximize the effectiveness of their business through the adoption of digital technology.,null,IT and Services,"1,001-5,000 employees",https://www.qburst.com,"Chantilly, Virginia",Privately Held,null,https://www.linkedin.com/company/qburst/,"42 Temasek Blvd, Singapore",1.2954625,103.859256,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
TEKWISSEN ®,null,"Founded in 2009, HQ in Ann Arbor, MI, TEKWISSEN ® provides a unique portfolio of innovative capabilities that seamlessly combines clients insights, strategy, design, software engineering and systems integration. Our tightly integrated offerings are tailored to each client’s requirements and span the services spectrum from Application Development/Maintenance, testing, Technology Consulting & staffing. The company is primarily focused on information technology, engineering, healthcare, financial technology and contingent workforce solutions. It operates in seven business segments including Commercial, Professional & Technical, EMEA Commercial, and EMEA Professional & Technical. The company provides professional and technical expertise in the fields of Telecom, Education, Banking, Retail, e-commerce, Automotive, Life Science, Insurance, legal, healthcare, among others. It also offers outsourcing, consulting, recruitment, career transition, and vendor management services.  We strongly believe: ""​ If something cannot be measured, it cannot be managed. ""​ TEKWISSEN® measures all of these processes and applies corrective interventions to manage the quality process at its core. We are an Equal Employment Opportunity Employer M/F/V/DRecognitions2016 America’s Fastest Growing Company by Inc.com2015 America’s Fastest Growing Company by Inc.com2015- SPARK FastTrack Award from Ann Arbor SPARK 2015 Honoree of Diversity Focused Company by Corp! Magazine2014 America’s Fastest Growing Company by Inc.com2014- Michigan 50 Companies to Watch2014 – DiSciTech Award in Technology by Corp! Magazine2014- DiSciTech TECHNOLOGY Company of the year by Corp! Magazine2014- SPARK FastTrack Award from Ann Arbor SPARK",734.259.2181,IT and Services,"501-1,000 employees",http://www.tekwissen.com,"Ann Arbor, MI",Privately Held,null,https://www.linkedin.com/company/tekwissen-llc/,"Plot No 1A & 2A, Survey No 141, Tekwissen Rd, Gambhiram, Andhra Pradesh 531163, India",17.8798732,83.3669524,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Appirio,null,"Appirio, a Wipro Company, develops modern business applications for enterprise companies and delivers the tools they need to attract top talent, boost collaboration, and deliver exceptional customer experiences. Our experience-led strategy focuses on the four pillars of success: implementation success, user success, operational success, and financial success to close the value gap and to ensure customers realize the full value of their technology investments. Appirio, founded in 2006, is a global strategic partner of Salesforce and long-time Google partner who has helped over 3,000 enterprises adopt effective cloud-based solutions across industries, including Healthcare & Life Sciences, Banking, Higher Education, Manufacturing, and Retail. We are invested in building industry-focused accelerators that improve time to value and are repeatedly recognized as a key partner in innovation by Salesforce and among the best places to work across the globe.",null,IT and Services,"1,001-5,000 employees",http://www.appirio.com,"Indianapolis, IN",Public Company,null,https://www.linkedin.com/company/appirio/,"8 Temasek Boulevard, Level 44, Suntec Tower Three, 038988, Singapore 038988",1.295029,103.85936,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tanium,null,"Tanium is growing, and we are looking for great talent to come join us. Find your new career opportunity here: https://www.tanium.com/about-us/careers/Tanium gives the world’s largest enterprises and government organizations the unique power to secure, control, and manage millions of endpoints across the enterprise within seconds. Serving as the “central nervous system” for enterprises, Tanium empowers security and IT operations teams to ask questions about the state of every endpoint across the enterprise in plain English, retrieve data on their current and historical state, and execute change as necessary, all within seconds. With the unprecedented speed, scale, and simplicity of Tanium, organizations now have complete and accurate information on the state of endpoints at all times to more effectively protect against modern day threats and realize new levels of efficiency in IT operations. Visit us at www.tanium.com or follow us on Twitter, Instagram and here on LinkedIn.",null,IT and Services,"1,001-5,000 employees",http://www.tanium.com,"Seattle area, WA",Privately Held,null,https://www.linkedin.com/company/tanium/,"Green Park, 100 Brook Dr, Reading RG2 6UJ, United Kingdom",51.4258135,-0.9850171,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Dimension Data,null,"Dimension Data is a global technology integrator and managed services provider that helps its clients achieve great things and create new possibilities through the use and adoption of technology.Founded in 1983, Dimension Data is now a USD 8 billion global leader in designing, managing and optimising today’s evolving technology environments to enable its clients to leverage data in a digital age, turn it into information and extract insights. Headquartered in Johannesburg with 28,000 employees across 46 countries, Dimension Data brings together the world’s best technology provided by market leaders and niche innovators – from consulting, technical and support services to a fully managed service. Its long-term partnerships with the leading technology companies also give its clients across multiple industries, including financial services, education, healthcare, manufacturing, media and communications, pharmaceutical and sport, access to the world’s best technological knowledge and resources.As a proud member of the NTT family, Dimension Data invests heavily in innovation, which has led over 100 prestigious industry awards for its commitment to driving excellence and innovation.Visit us at http://www.dimensiondata.com",null,IT and Services,"10,001+ employees",http://www.dimensiondata.com/Global,"Bryanston, Johannesburg",Privately Held,null,https://www.linkedin.com/company/dimension-data/,"2 Kaki Bukit Ave 1, #06-03, Singapore 417938",1.3316922,103.9033646,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Tradeshift,null,"Tradeshift drives supply chain innovation for the digitally connected economy. As the leader in supply chain payments and marketplaces, we help buyers and suppliers digitize all their trade transactions, collaborate on every process, and connect with any supply chain app. More than 1.5 million companies across 190 countries trust Tradeshift to process over half a trillion USD in transaction value, making it the largest global business network for buying and selling. Tradeshift is headquartered in San Francisco with offices in Copenhagen, New York, London, Paris, Suzhou, Sydney, Oslo, Frankfurt, Shanghai, Bucharest, Kuala Lumpur, Stockholm, Tokyo and Munich.",null,IT and Services,"501-1,000 employees",http://tradeshift.com,"San Francisco, California",Privately Held,null,https://www.linkedin.com/company/tradeshift/,"G Tower, 199, Jln Tun Razak, Kuala Lumpur, 50450 Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1588023,101.71971,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
