Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
CLIMB Learning,"4 Young Street, Level 1, Neutral Bay, New South Wales 2089, AU"," Home Based Speech Pathology- Clinic Based Speech, Early Intervention and - Parent Training Programs- Applied Behaviour Analysis Programs- AAC assessment, Training and therapy- Professional Training- Preschool/School Programs- Standardised Assessments- Transition to School Programs- Social Skills Programs (Individual and Group)",null,Indevidual and Family Services,2-10 employees,http://www.climblearning.com.au,"Neutral Bay, New South Wales",Privately Held,2020,https://www.linkedin.com/company/alltalk-therapy/,"7F-08 Level 7, Skudai Paradigm Mall, Jalan Bertingkat Skudai, 81200 Johor Bahru, Johor, Malaysia",1.515613,103.686159,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Advocacy Tasmania,"Tasmania,   AU","‘Your say’ advocacy is all about helping you to be heard and understood.If you are unable to speak for yourself, or find it difficult, an Advocate can help you.We can provide information about your rights and help you to deal with problems or complaints.",1800 005 131,Indevidual and Family Services,11-50 employees,https://yoursaytas.org.au/,null,Nonprofit,null,https://www.linkedin.com/company/yoursaytas/,"null, Tasmania, null, null, AU",-42.876358,147.3237,Tasmania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Guides4Sight,"Perth, WA 6000, AU","Guides4Sight is an approachable modern company with a high level of understanding of the National Disability Insurance Scheme (NDIS) planning process and requirements.We offer ’boutique’ services tailored to your needs and goals, offering a fresh attitude and outlook towards services. While our services are suitable for everyone, our area of expertise is assisting people who have vision loss, hearing loss or combined vision and hearing loss.We work together to identify what you are looking for and what your needs are, so you are supported to achieve your goals ‘your way’, giving you freedom to grow your independence as you want. We value active listening, understanding what has been said and believe it is important to be open and honest in our discussions with each other.We value and encourage creative thinking and look for alternatives ‘outside the box’ and celebrate inclusivity; we are all unique.Our Vision is for everyone to feel safe, included and respected in the community and feel empowered to take on new challenges.We provide valuable and insightful information for people seeking a more meaningful connection to a provider who can make a difference.Company Director, Christine Tinley, has extensive experience working in finance, office management and other customer service focused areas.In 2011, wanting to ‘make a difference’, Christine moved into the disability sector completing her Diploma in Australian Sign Language (Auslan) and Diploma of Community Services – Financial Counselling.In December 2019 Guides4Sight was honored to be a finalist in the Corporate website category at the Australian Access Awards, an initiative of the Centre for Accessibility,",438599956,Indevidual and Family Services,2-10 employees,http://www.guides4sight.com.au,"Perth, WA",Public Company,2017,https://www.linkedin.com/company/guides4sight/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Great Start Behaviour Services,"2/14 Narabang Way, Belrose, New South Wales 2085, AU","Welcome to Great Start Behaviour Services!We are a small, dynamic company, based in Sydney, Australia. We aim to share information about the science of Applied Behaviour Analysis, and provide educational programs for learners of all abilities, with a focus on Verbal Behaviour and Natural Environment Teaching. We are passionate about further education and training, sharing information about best practice in Positive Behaviour Support and Literacy Interventions, around Australia.",1800 910 014,Indevidual and Family Services,2-10 employees,http://www.greatstartbehaviour.com.au,"Belrose, New South Wales",Educational Institution,2014,https://www.linkedin.com/company/great-start-behaviour-services/,"2/14 Narabang Way, Belrose NSW 2086, Australia",-33.7044543,151.2109809,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Inala Youth Service,"12 Sittella Street, Inala, Queensland 4077, AU","Inala Youth Care Community Inc. trading as Inala Youth Service is committed to providing preventative and early intervention services which meet the immediate needs of young people and their families, whilst supporting youth education and empowerment, to foster the ability to make informed future decisions. 
Services provided include crisis accommodation and housing support, crime prevention programs, education support, targeted support for youth at risk of disconnection, Vietnamese youth and family support, community development, mediation and counselling, advocacy, referrals for other services, networking and information provision.",null,Indevidual and Family Services,11-50 employees,http://iys.org.au,"Inala, Queensland",Nonprofit,1986,https://www.linkedin.com/company/inala-youth-service/,"12 Sittella Street, Inala, Queensland, 4077, AU",-27.47126,153.01831,Inala,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Response Services Inc,null,"Response Services Inc. is a provider of exceptional services and quality support to people with disability throughout the Hunter and Central Coast regions of New South Wales.

Response employs over 80 staff with a diverse range of skills and qualifications. Together we aim to achieve the highest levels of customer satisfaction we can by listening, promoting independence and professionally working to achieve the outcomes desired.",null,Indevidual and Family Services,51-200 employees,http://www.responseservices.com.au,"Broadmeadow, NSW",Nonprofit,1994,https://www.linkedin.com/company/response-services-inc/,"4 Torpey Place, Broadmeadow, NSW, 2292, AU",-32.92528,151.7527,Broadmeadow,null,"297 Mann Street, Gosford, NSW, 2250, AU",-33.84907,151.13834,Gosford,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
McCall Gardens Community,"10-32 Terry Rd, Box Hill, NSW 2765, AU","We provide inclusive and personalised support to people with a disability, empowering them to lead great lives! If you or someone you love has a disability, we can provide the support you need to help achieve a fuller life.Our Services Include:-Supported Independent Living-Community Participation-NDIS Support Coordination-Short-Term Accommodation",(02) 9679 1031,Indevidual and Family Services,51-200 employees,http://mccallgardens.org.au,"Box Hill, NSW",Nonprofit,1956,https://www.linkedin.com/company/mccall-gardens/,"10-32 Terry Rd, Box Hill NSW 2765, Australia",-33.6549286,150.8939315,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Linking Visions,"Sydney,   AU","Linking Visions aim to provide support to those living with disabilities and mental illnesses. Our goal is to brighten their lives and help with their needs through social companionship, innovative group activities, social and community participation, and exercise and personal training. These services are intended to make people's lives simpler and more enjoyable with the assistance of an amazing team creating positive vibes.",468437153,Indevidual and Family Services,2-10 employees,http://Linkingvisions.com.au,null,Sole Proprietorship,2020,https://www.linkedin.com/company/linking-visions/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Morcare Services Pty. Ltd.,"677 Boronia Rd, Wantirna, Victoria 3152, AU","Morcare provide a quality lifestyle and personal support service by responding to the individual needs of service users, creating choices and helping them to achieve their potential for independence.We specialise in support that empowers people with a disability or in their later years to live independently in their own homes. Our aim is to design individualised services that help you achieve your goals and live life your way.",null,Indevidual and Family Services,201-500 employees,http://www.morcareservices.com.au,"Wantirna, Victoria",Privately Held,1993,https://www.linkedin.com/company/morcare-services-pty-ltd/,"677 Boronia Rd, Wantirna VIC 3152, Australia",-37.8473405,145.2281322,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
AuPairStory Cultural Exchange Center,null,"We are a cultural exchange program agency based in Seoul in Korea.
We have been specialized of  aupair, internship, work&travel and volunteering program since 2009.

We have been very successful with our recruitment and are proud of our young participants.",null,Indevidual and Family Services,11-50 employees,http://www.aupairstory.com.au,null,Public Company,2006,https://www.linkedin.com/company/aupairkorea/,"7 Sarah West Pl, Mount Annan, NSW, 2567, AU",-33.84907,151.13834,Mount Annan,Sydney,"4th Kuyeong building Hakdongro 201, Seoul, null, null, KR",37.567238,126.98681,Seoul,Seoul,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,KR
