Company Name,Location,Industry,Company Size,Website,Headquarter,Linked In URL,Type,Latitude,Longitude,Country,Overview,Founded
People with Disability Australia (PWDA),"Level 10, 1 Lawson Square, Redfern, Sydney, NSW 2012, AU",non-profit,11-50 employees,http://www.pwd.org.au,"Sydney, NSW",https://www.linkedin.com/company/people-with-disability-australia-inc.-pwd-/,Nonprofit,151.200434,-33.892136,AU,"People with Disability Australia (PWDA) Limited is a national peak disability rights and advocacy organisation. Our primary membership is made up of people with disability and organisations primarily constituted by people with disability. Founded in 1981, the International Year of Disabled Persons, People with Disability Australia seeks to provide people with disability with a voice of our own. We have a cross-disability focus representing the interests of people with all kinds of disability. PWDA is a non-profit, non-government organisation.We have a vision of a socially just, accessible and inclusive community, in which the human rights, citizenship, contribution, potential and diversity of all people with disability are respected and celebrated.",1981
PMI Western Australia Chapter,"256 Adelaide Terrace, Perth, Western Australia 6000, AU",non-profit,11-50 employees,http://www.wapmi.org.au,"Perth, Western Australia",https://www.linkedin.com/company/pmiwa/,Nonprofit,,,AU,"PMI is the world's leading project management organisation with over 500,000 Global Members and over 290 Local Chapters Internationally. Follow this page to expand your network and attend a PMI local Chapter event across Australia to keeping in touch with us. Our online and in-person approach provides opportunities to collaborate with like-minded individuals to create and share best practice PM content, tools and resources.PMI Global: https://www.pmi.org/PMI Australian Chapters: http://www.pmi.org.au/",
Engineers Australia Chartered,"National Circuit , Barton, ACT 2600, AU",non-profit, ,https://www.engineersaustralia.org.au/professional-development/chartered-status, ,https://www.linkedin.com/company/chartered/, ,149.135712,-35.309301,AU,"Your professional home for building, supporting and connecting with your Chartered workforce. Chartered Status in an internationally recognised credential awarded to engineers of all disciplines.",null
Hong Kong Australia Business Association,"Level 3, 80 Druitt Street, Sydney, NSW 2000, AU",non-profit,51-200 employees,http://www.hkaba.com.au,"Sydney, NSW",https://www.linkedin.com/company/hkaba/,Nonprofit,151.206255,-33.872611,AU,"The Hong Kong Australia Business Association Inc. (HKABA), initiated by the Hong Kong Trade Development Council, was established in 1987 aiming to develop a positive image for Hong Kong and to reinforce economic ties between Hong Kong and Australia.

Members are local business people with strong Hong Kong connections or interested in doing business with Hong Kong or Hong Kong organisations based in Australia.

The Association provides networking opportunities on which strong trading and investment links are built between Hong Kong companies and Australian companies. It also provides an effective channel of communications for information on economic development and Trade Opportunities in Hong Kong.",1987
Habitat for Humanity Australia,"80 Mount St, North Sydney, New South Wales 2060, AU",non-profit,11-50 employees,http://www.habitat.org.au,"North Sydney, New South Wales",https://www.linkedin.com/company/habitat-for-humanity-australia/,Nonprofit,151.208027,-33.838768,AU,"Habitat for Humanity International's vision is a world where everyone has a safe and decent place to live. Anchored by the conviction that safe and affordable housing provides a path out of poverty, Habitat has helped more than 9.8 million people obtain safe and decent housing, along with the strength, stability and independence to build better lives.

We believe a stable, secure home creates the foundation for change, giving people the opportunity to be healthier, happier and more secure and for children to be better nourished and better educated. We believe building a decent home provides much more than bricks and mortar – it provides real hope for the future. 

We don't give hand-outs; we give people hand-ups by building homes in partnership with families both in Australia and overseas. They put in labour and a deposit, and we assist with the expertise and financing and importantly, as the no-profit loan is repaid, it helps to finance even more homes for people in need. So with Habitat your dollar goes further.

We don't just provide a roof – we build communities. We also address water supply and sanitation issues and in some communities provide health, education – like teaching financial literacy and livelihood assistance.",1987
Career Industry Council of Australia (Inc),"PO Box 245, Greensborough, Victoria 3088, AU",non-profit,2-10 employees,http://www.cica.org.au,"Greensborough, Victoria",https://www.linkedin.com/company/career-industry-council-of-australia-inc-/,Nonprofit,145.111517,-37.6984,AU,"The Career Industry Council of Australia (CICA) is the national peak body representing the broad range of organisations and associations involved in providing career development services and programs throughout Australia.It is the only industry body concerned specifically with work and learning transitions. Broadly, CICA focuses on quality assurance and contributes to systemic improvements in the quality of and access to career services for the benefit of all Australians across the lifespan and to the achievement of national policy priority outcomes. Since its inception in 2000, CICA has progressed the professionalism of career development practice in Australia and developed a quality assurance model that is recognised internationally as career industry best practice. Our vision is to enhance transitions and productivity by advocating the individual, social and economic benefits of quality career development for all Australians.",2000
Australian Institute of Project Management (AIPM) Events,"Level 23 100 Miller St, 2, North Sydney, NSW 2060, AU",non-profit, ,https://www.aipm.com.au/events, ,https://www.linkedin.com/company/aipm-events/, ,151.2369059,-32.35977152,AU,Upcoming events for the Australian Institute of Project Management.,null
MTC Australia,"334-336 Illawarra Road, Marrickville, NSW 2204, AU",non-profit,201-500 employees,http://www.mtcaustralia.com.au,"Marrickville, NSW",https://www.linkedin.com/company/mtc-australiano/,Nonprofit,151.153505,-33.912851,AU,"MTC is the social enterprise that gives people the inspiration, capability and opportunity to create a fulfilling life. We deliver high impact employment, training and youth programs that help more than 20,000 people every year to gain skills for employment and entrepreneurship, build self-worth, and enable possibilities for transformative change.We deliver a range of proven programs, including government initiatives such as the New Enterprise Incentive Scheme (NEIS), Disability Employment Services (DES), jobactive and Skills for Education and Employment (SEE). We also deliver nationally accredited training courses and innovative youth programs, and offer specialist recruitment services through MTC Recruitment. As a social enterprise, we continue to support and empower at-risk Australians, by reinvesting surplus back into innovative social impact initiatives like Warakirri College, an independent high school for students who need an alternative to mainstream education.",1992
Good Shepherd Australia New Zealand,"PO Box 182, Abbotsford, Victoria 3067, AU",non-profit,51-200 employees,http://www.goodshep.org.au,"Abbotsford, Victoria",https://www.linkedin.com/company/good-shepherd-australia-new-zealand/,Nonprofit,144.996886,-37.801583,AU,"Join our diverse team of staff and volunteers that embody Good Shepherd's values of reconciliation, justice, zeal, audacity and the value of each person.We welcome people from all faiths and no faith, and all walks of life.We value each person's unique talents, focus on building people's strengths and invest in professional development.At Good Shepherd, each member of our team is valued. We support people to grow personally and professionally, and offer generous conditions and flexible working hours.We are an equal opportunity employer with a range of great benefits:* Salary packaging (which can add up to $15,900 in tax-free pay per year)* Professional development and training opportunities * Paid study leave * Paid parental leave* Gifted leave at Christmas and Easter* Additional purchased annual leave* Flexible work hours where possible* Family violence leave* Long service leave due after 10 years, with access after seven* Employee Assistance Program, a free and confidential counselling service",null
Ronald McDonald House Charities Australia,"21-29 Central Ave, Thornleigh, Sydney, NSW 2120, AU",non-profit,51-200 employees,http://www.rmhc.org.au,"Sydney, NSW",https://www.linkedin.com/company/ronald-mcdonald-house-charities-australia/,Nonprofit,151.082345,-33.729551,AU,"When a child is seriously ill, it can disrupt every aspect of family life – from school and work, to everyday moments like mealtimes, bath times, playtimes and quality time. This can have a devastating effect on the whole family.Ronald McDonald House Charities® helps family life carry on while a child is undergoing treatment. For nearly 40 years we've helped Australian families through some of their most difficult times.Our Programs include:Ronald McDonald House - Our Houses offer families a place to stay close to the hospital. They are especially helpful for families who have to travel far to receive treatment for their child. All accommodation is equipped with everything families need to feel supported during their stay.Ronald McDonald Family Rooms - Our Family Rooms are located close to children's wards. They give families a chance to recharge after many stressful hours at their child's side. Each room is equipped with areasto sleep, eat, freshen up, play and relax.Ronald McDonald Learning Program - Our tailored one-to-one tuition help kids keep up with schoolwork so that they feel confident when they get back to school.Ronald McDonald Family Retreats - Our Family Retreats give families a chance to forget the stresses of hospital life. They're open to families with a seriously ill child, or those grieving the loss of a child, who might not have the time or finances to take a much-needed break.Ronald McDonald Care Mobile -  Our Care Mobile brings care to children in remote and rural NSW, in partnership with Royal Far West. It ensures distance isn't a barrier to receiving early intervention services for children in these areas.",1981
