Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Curvaceous Plus Size Clothing,null,"Curvaceous Plus Size Clothing is a warehousing company based out of 10/14-18 Preston St, Jamisontown, Australia.",null,Warehousing,null,http://curvaceous.com.au,null,null,null,https://www.linkedin.com/company/curvaceous-plus-size-clothing/,"10/14-18 Preston St, Jamisontown NSW 2750, Australia",-33.7634612,150.6874487,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
AuExpress,null,"AuExpress is a warehousing company based out of 189-199 Browns Rd, Noble Park North, Australia.",null,Warehousing,null,http://auexpress.net,null,null,null,https://www.linkedin.com/company/auexpress/,"42 Boorea St, Lidcombe NSW 2141, Australia",-33.8511657,151.0423126,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Stor PTY LTD,"43 High Street Prahran, Melbourne , VIC 3181, AU","STOR is a peer-to-peer storage space sharing designed to help those who needs to store items in their local area – or have spare warehouse storage space they want to rent out. Instead of using a big-name storage company you might find on Google – or worse, spending hours trying to find a warehouse host who’ll give you a good deal – you can keep things simple by exchanging with individuals and companies near you.Need Warehouse and Industrial Storage Space?We make it easy to find and offer up commercial storage areas, enabling Renters to start earning cash fast from their spare space. We also offer a generous referrals scheme. To use our service, simply BROWSE, FILTER and RESERVE your desired storage place – you’ll be sorted in a couple of minutes.Have Commercial and Industrial Warehouse Storage Space to Rent?If you own a commercial and industrial warehouse space that is has extra space, why not let STOR help you fill it up? We’ll put you in touch with local people who need your commercial or industrial warehouse storage space and are ready to pay for it.",null,Warehousing,2-10 employees,http://www.stor.com.au,"Melbourne , VIC",Public Company,2017,https://www.linkedin.com/company/stor-ply-ltd/,"43 High Street Prahran, Melbourne , VIC, 3181, AU",-37.803425,145.01105,Melbourne ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Platinum Vehicle Storage Pty Ltd,"21 Raymor Lane, Encounter Bay, South Australia 5211, AU","Welcome to our exciting new business at Encounter Bay (Victor Harbor) where you ""Love It and Leave It"".Platinum Vehicle Storage is ideally suited for luxury vehicles, caravans and mobile homes. This undercover storage building will protect your pride and joy from the outside elements and envious onlookers.",null,Warehousing,0-1 employees,http://platinumvehiclestoragesa.com.au/,"Encounter Bay, South Australia",Privately Held,2016,https://www.linkedin.com/company/platinumvehiclestorageptyltd/,"21 Raymor Lane, Encounter Bay, South Australia, 5211, AU",-35.54637,138.61702,Encounter Bay,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
MEREDITH TRANSPORT PTY LIMITED,null,"MEREDITH TRANSPORT PTY LIMITED is a warehousing company based out of 25 Magnesium St, Narangba, Queensland, Australia.",null,Warehousing,2-10 employees,null,"Narangba, Queensland",null,null,https://www.linkedin.com/company/meredith-transport-pty-limited/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Boost Solutions Pty Ltd,"Local, Melbourne, Victoria  AU","3PL Integration & Supply Chain Optimisation Consultants

Improving the collaboration between manufacturer/supplier and retailer for demand data driven forecasting and inventory management.",null,Warehousing,0-1 employees,http://boostsolutions.com.au/,"Melbourne, Victoria",Sole Proprietorship,2016,https://www.linkedin.com/company/boost-solutions-pty-ltd/,"Local, Melbourne, Victoria, null, AU",-37.803425,145.01105,Melbourne,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Bunbury Self Storage,null,null,null,Warehousing,null,http://bunburyselfstorage.com.au,"Bunbury, Western Australia",null,null,https://www.linkedin.com/company/bunbury-self-storage/,"10 Nicholson Rd, Picton East WA 6229, Australia",-33.3627075,115.7269134,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
GT Hydraulics,null,null,null,Warehousing,null,http://gthydraulic.com.au,"Coleraine, Victoria",null,null,https://www.linkedin.com/company/gt-hydraulics/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Conan Products,null,null,null,Warehousing,null,http://conanproducts.com.au,"Slacks Creek, Queensland",null,null,https://www.linkedin.com/company/conan-products/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Angel Storage,null,null,null,Warehousing,null,http://angelstorage.com.au,"Russell Lea, New South Wales",null,null,https://www.linkedin.com/company/angel-storage/,"54B Blackwall Point Rd, Chiswick NSW 2046, Australia",-33.8504445,151.1375974,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Shipping Containers Sydney Pty Ltd,null,"Shipping Containers Sydney Pty Ltd is a warehousing company based out of 194 Military Rd, Guildford, Australia.",null,Warehousing,null,http://shippingcontainerssydney.com.au,null,null,null,https://www.linkedin.com/company/shipping-containers-sydney-pty-ltd/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Surplus Equipment Brokers,null,"Surplus Equipment Brokers is a warehousing company based out of 23 Valentine St, Kewdale, Australia.",null,Warehousing,null,http://surplusequipment.com.au,null,null,null,https://www.linkedin.com/company/surplus-equipment-brokers/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
King Ape Supplements,null,"King Ape Supplements is a warehousing company based out of 3/133 Gladstone St, Fyshwick, Australia.",null,Warehousing,null,http://kingape.com.au,null,null,null,https://www.linkedin.com/company/king-ape-supplements/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
