Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Tasmanian Tiger Technologies,"George Town, Tasmania 7253, AU",null,null,Computer Hardware,0-1 employees,http://www.tassietigertech.com.au,"George Town, Tasmania",Sole Proprietorship,null,https://www.linkedin.com/company/tassietigertech/,"null, George Town, Tasmania, 7253, AU",-41.171337,146.95528,George Town,Headquarters,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Rytmar,null,null,null,Computer Hardware,null,http://rytmar.com.au,null,null,null,https://www.linkedin.com/company/rytmar/,"Jindera NSW 2642, Australia",-35.9547409,146.8886425,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Nine PC Technologies,"Futures Rd, Cranbourne West, Victoria 3977, AU","Nine PC Technologies is an Australian online retailer that specializes in computer hardware for the gaming and tech enthusiast. Our team is made up of highly knowledgeable staff who are passionate about enthusiast hardware and technology with a drive to provide excellent customer service. Our culture is informal yet fast paced and driven to continually improve our range, pricing and service to maintain our continual growth.",null,Computer Hardware,2-10 employees,null,"Cranbourne West, Victoria",Privately Held,2019,https://www.linkedin.com/company/ninepctechnlogies/,"Futures Rd, Cranbourne West, Victoria, 3977, AU",-37.803425,145.01105,Cranbourne West,Headquarters,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
AUS IT TECH Direct Pty Ltd,"58 - 62 Water St, Suite 33, South Toowoomba, Qld 4350, AU",AUS IT Tech Direct has been in the IT industry for the past 10 years and provides IT and Tech support to business and personal clients Australia wide. AUS IT Tech Direct is a a direct supply provider meaning your buying as direct to the manufacture as possible and or IT support and Managed IT solutions are 100% direct we do not contract out work to other providers.,null,Computer Hardware,2-10 employees,https://ausittechdirect.com.au,"South Toowoomba, Qld",Public Company,null,https://www.linkedin.com/company/aus-it-tech-direct-pty-ltd/,"58 - 62 Water St, South Toowoomba, Qld, 4350, AU",-27.563833,151.95398,South Toowoomba,Head Office,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Rosman Computers,null,null,null,Computer Hardware,null,http://rosmancomputers.com.au,"282 Lawrence Hargrave Dr , Thirroul, New South Wales",null,null,https://www.linkedin.com/company/rosman-computers/,"Shop 17 Thirroul Plaza, 282 Lawrence Hargrave Drive, Thirroul NSW 2515, Australia",-34.3155975,150.9217552,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
World of Mobile,"Upstairs, 8/9 Bonner Drive, Malaga, Perth, WA 6090, AU","World of Mobile offers professional computer and mobile phone repair service in Perth, Western Australia. Apart from computer and phone repairs, we offer virus removal, network support, password recovery, data back up and recovery services.",null,Computer Hardware,2-10 employees,http://www.worldofmobile.com.au,"Perth, WA",Privately Held,2011,https://www.linkedin.com/company/world-of-mobile/,"Upstairs, 8/9 Bonner Drive, Perth, WA, 6090, AU",-31.939821,115.8162,Perth,World of Mobile,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Laptop Screen Man,null,null,null,Computer Hardware,null,http://laptopscreenman.com.au,null,null,null,https://www.linkedin.com/company/laptop-screen-man/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Invent Marine,"Portland Crescent, Sydney, NSW 2035, AU","Intelligent devices for the Saltwater Aquarium hobby.

At IM we produce cutting edge devices for Reef Keepers, including the REEFmate Aquarium Controller and the DOSEmate, Dosing pump.",null,Computer Hardware,2-10 employees,http://inventmarine.com,"Sydney, NSW",Sole Proprietorship,2012,https://www.linkedin.com/company/invent-marine/,"Portland Crescent, Sydney, NSW, 2035, AU",-33.84907,151.13834,Sydney,Sydney,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Maleny Computers,"Shop 2, 66 Maple Street, Maleny, QLD 4552, AU","Maleny Computers began its life more than 10 years ago. Since that time, it has been through several changes in ownership and a change in location.

Now it is a family owned business in a new location at the top of Maple Street (opposite the Police Station).

Owner/Managers Tara and Daniel pride themselves on offering a service that always goes one step further! Their motto is that wherever possible, “do it once and do it properly”. By purchasing quality products at a competitive price, you should be able to get the longest life from your IT equipment.",null,Computer Hardware,0-1 employees,http://www.maleny-computers.com.au,"Maleny, QLD",Privately Held,null,https://www.linkedin.com/company/maleny-computers/,"Shop 2, Maleny, QLD, 4552, AU",-26.766428,152.88556,Maleny,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Save Systems Technologies Pty Ltd,"Unit 9 / 11-14 Chaplin Drive, West Lane Cove, Sydney, NSW 2066, AU","With over 30 years of expert knowledge in supporting, optimizing and managing complex IT  storage and high availability environments, Save Systems Technologies enables their clients to reduce the  total cost of ownership of maintaining legacy systems while increasing availability, efficiency and performance from, networks to small IT rooms, to enterprise data centres. 

By being a trustworthy, no-nonsense IT service company we create durable relationships with our customers.  At SST we believe workmanship, creativity, attention to detail and focus on customer requirements are the key to our success. 

Save Systems Technologies provide multi-vendor, multi-level support services for a variety of vendor systems including IBM, HP, SUN, EMC, NetApp and many other original equipment manufacturers. SST provides level 1, 2, and 3 support to our clients.

Specialties
Data Centres and Network Infrastructure Support Services in 24x7 Big Data and High Availability environments.",null,Computer Hardware,11-50 employees,http://www.savsys.com.au,"Sydney, NSW",Privately Held,2009,https://www.linkedin.com/company/save-systems-technologies/,"Unit 9 / 11-14 Chaplin Drive, Sydney, NSW, 2066, AU",-33.84907,151.13834,Sydney,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
