Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
GetCapital,"110 Walker St, Level 6, North Sydney, New South Wales 2060, AU","GetCapital is an award-winning, non-bank lender dedicated to meeting the needs of Australian businesses. GetCapital offers a broad range of business finance products, including the innovative “bankless” Business Overdraft, as well as solutions for asset purchases, business expansion & growth and payments.With a strong focus on customers, GetCapital provides the finance businesses need and the service they deserve.Our track record and commitment to business finance innovation is recognised by top industry awards. GetCapital has made the Deloitte Fast 50 Top 25 for three years in a row; was ranked among LinkedIn's Top Australian Startups in 2019; AFR’s Fast 100; been listed in SmartCompany's Top 10 Smart50 2017-2018 and ranked among the fastest-growing technology companies in Asia Pacific.",1300249649,Financial,51-200 employees,http://www.getcapital.com.au/,"North Sydney, New South Wales",Privately Held,null,https://www.linkedin.com/company/getcapital/,"Level 6/110 Walker St, North Sydney NSW 2060, Australia",-33.8379882,151.2088127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Mason Stevens,"420 George St, Level 19, Sydney, NSW 2000, AU","Formed in 2010, we are a privately owned firm offering investment administration and managed account solutions across multi-assets and multi-currencies.  Through industry class technology, unparalleled access to global markets, efficient execution and intelligent insight, we make it possible for advisers to grow their practice.  We provide a genuine partnership with interests aligned to yours.You can provide your clients with access to domestic and international equities, equity derivatives, fixed income securities and bonds.",1300 98 88 78,Financial,51-200 employees,http://masonstevens.com.au,"Sydney, NSW",Privately Held,null,https://www.linkedin.com/company/mason-stevens/,"19/420 George St, Sydney NSW 2000, Australia",-33.8695854,151.2074254,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
RAMS,"Level 12, 321 Kent St, Sydney, NSW 2000, AU","At RAMS, we’re Greater Together.We're here to make buying or refinancing a home as simple as possible. With a national network of over 50 home loan centres, our dedicated team of home loan specialists are a true source of strength for property buyers, guiding them, step-by-step, through the home buying journey - from the beginning until settlement and beyond. Our customers are at the heart of all we do. From the start, your RAMS Home Loan Specialist will get to know your story, ambitions and needs so you only have to tell your story once. Since 1995, we’ve helped over 150,000 Australians realise the great Australian dream of home ownership by providing competitive, simple yet flexible home loans.At RAMS we also offer a range of deposit products that are available online, and home, contents, and landlord insurance solutions through our referral partners.We welcome your contributions to our page. Please view our Social Media Privacy Policy on our website: https://www.rams.com.au/about-rams/social-media-privacy/",13 7267,Financial,51-200 employees,http://www.rams.com.au,"Sydney, NSW",Public Company,null,https://www.linkedin.com/company/rams/,"25A Hillview Ave, Singapore 669617",1.362575,103.765232,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Earnd,null,"Earnd is an app that lets your people see and access their pay as they earn it. In real-time and for free. Get healthier, happier teams by giving your people control over their money.",null,Financial,51-200 employees,https://www.earnd.com,"London, England",Privately Held,null,https://www.linkedin.com/company/earnd/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Thorn Group Limited,"Level 1, 62 Hume Highway, Chullora, NSW 2190, AU","Thorn Group Limited (ASX: TGA) is a diversified financial services organisation that provides alternate consumer and commercial leasing products and consumer and commercial financing solutions.At Thorn, we employ over 500 people across the nation to help us deliver an amazing customer experience in our businesses Radio Rentals / RR Rentlo Reinvented and Thorn Business Finance.Radio Rentals helps to make life easier by giving customers affordable access to household essentials and technology. We believe that choice, value and convenience are three of the most important things to offer, so we make sure it’s at the heart of what we do with some of Australia’s most trusted brands.Thorn Business Finance specialises in providing financial products and services, tailored to meet the unique needs of small to medium businesses across Australia. We believe it’s important to ensure that our business partners can invest in new assets while protecting business critical cash-flow.",(02) 9101 5000,Financial,"501-1,000 employees",http://www.thorn.com.au,"Chullora, NSW",Public Company,null,https://www.linkedin.com/company/thorn-group-limited/,"1/62 Hume Hwy, Chullora NSW 2190, Australia",-33.8966455,151.0475335,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Liquid Capital Group,null,"The Liquid Capital Group, founded in 2000 comprises one of the leading market makers in exchange-traded derivatives in Europe and Asia.  While the core of the company is derivatives market making, we have expanded into other strategies across various asset classes building a varied firm.  With over 100 employees, it is a dynamic trading group with offices in London, Sydney, Hong Kong and Chengdu.  What sets us apart from others is that we allow employees to have a big impact as if they are at a small company, but at the same time we have the global reach of a large company allowing for scale and diversification.  We use cutting-edge technology and quantitative methods while maintaining our strong trading roots, giving us a unique position to provide deep and reliable liquidity in all market conditions.",null,Financial,51-200 employees,http://www.liquidcapital.com,null,Privately Held,null,https://www.linkedin.com/company/liquid-capital-group/,"#39-01 Marina View, Asia Square Tower 1, Singapore 018960",1.2792682,103.8515503,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Milford,null,"Milford is a specialist investment company with a strong history of growing wealth and increasing the prosperity of our economy. In 2003 an experienced group of individuals recognised New Zealanders needed a world-class investment partner they could trust. They banded together and established Milford. We practice what we preach, aligning our interests with those of our investors. This means we invest alongside our clients, in the same funds as they do.Today, more than 100 passionate and talented individuals across offices in Auckland, Wanaka, Christchurch and Sydney work collaboratively to manage over $8 billion of funds.Discover more at https://www.milfordasset.com",null,Financial,51-200 employees,https://milfordasset.com/,"Auckland, Auckland",Privately Held,null,https://www.linkedin.com/company/milford-asset-management/,"Milford, CT, USA",41.2306979,-73.064036,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Women in Super,"Level 23, 150 Lonsdale Street, Melbourne, Victoria 3000, AU","Women in Super (WIS) is a national advocacy and networking group for women employed in the superannuation and financial services industries.  

WIS advocates on behalf of its members and women generally to government, politicians, unions, employer organisations, regulators, and superannuation funds to improve women’s retirement prospects and access to superannuation. 

WIS provides education and support to assist women in gaining opportunities to develop broader business, professional and personal networks, and aims to educate the greater community in order to improve their knowledge of superannuation. WIS strongly supports and encourages the appointment of women to superannuation fund boards, and works with other organisations and stakeholders to achieve this. 

Each year, WIS oversees the organisation of the Mother’s Day Classic, a national fun run and walk established by the network to raise funds and awareness for breast cancer research.",null,Financial,2-10 employees,http://www.womeninsuper.com.au,"Melbourne, Victoria",Nonprofit,null,https://www.linkedin.com/company/women-in-super/,"150 Lonsdale St, Melbourne VIC 3000, Australia",-37.8103098,144.9676801,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
TorFX,null,"We're a multi award-winning provider of international money transfer services, offering excellent exchange rates, fast transfers, no transfer fees and exceptional personal service.We've helped over 55,000 personal and corporate customers save time and money on their currency transfers since 2004 and are part of a group with offices in the UK, mainland Europe, Australia, the USA and South Africa.Our commitment to customer service saw us win the Consumer Moneyfacts International Money Transfer Provider of the Year award in 2016, 2017, 2018, 2019 and 2020. We also won the overall award for Best Customer Service four times, beating over 100 companies across 24 categories. Both our personal and business clients benefit from: •	A best rate guarantee•	No transfer fees •	Expert support and guidance•	Personal account management•	24/7 transfers Want to know more? Check out our key facts! •	We're part of a group that processes in excess of 7.5 billion Pounds in international payments per annum and employs over 500 highly-skilled financial services employees.•	We hold the highest credit rating with Dun & Bradstreet.•	We regularly receive 5* reviews on Trustpilot for our first-class customer care and money-saving services.   You can also connect with TorFX on Facebook https://www.facebook.com/torfx/and Twitter @torfx.",null,Financial,51-200 employees,http://www.torfx.com,"Penzance, Cornwall",Privately Held,null,https://www.linkedin.com/company/torfx/,"25 Elkhorn Ave, Surfers Paradise QLD 4217, Australia",-27.998582,153.428066,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Sirius Finance,"Perth, WA 6000, AU","Sirius Finance will strive to provide the highest level of financial services in a friendly, professional manner; to encourage the wise use of credit; to increase the knowledge and the ability of our clients to manage and control their financial well-being; and to provide relevant financial product options in order to assist our clients in meeting their goals now and in the future.

With our background in Consumer Credit, Deliquency, Equipment Finance and Business Banking we use our depth of experience to provide you with the best finance solution.

Mortgage Broker or Sirius Finance Professional?

Mortgage Brokers are commonly known to be of great assistance to many many people seeking finance for their homes and investments. However the term broker does not fully encompass our role in meeting your finance needs. A broker is defined as an intermediary within a transaction. Once the transaction is complete it is forever done. This does not truly represent the relationship that a Sirius Finance Professional extends beyond the transaction.

In our role as a Sirius Finance Professional I take a long term view of our relationships. Available to answer questions to help you make sound decisions in finance. Whether you have been a client for 5 minutes or 5 years, we will always take an interest in your finance needs. Making your financial future brighter.

Specialties
Residential Lending
Investment Lending
Development Funding
Commerical Lending
Business Facilities
Asset Finance",null,Financial,2-10 employees,http://www.siriusfinance.com.au,"Perth, WA",Privately Held,null,https://www.linkedin.com/company/sirius-finance-group/,"null, Perth, WA, 6000, AU",-25.728104,134.49019,Perth,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
