Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Melrose Health,AU,"WE LIVE FOR HEALTHIER PEOPLE, THE WORLD OVER, EVERYDAYWe believe in eating your way to health, and that health can, and should taste great. We believe that health doesn’t have to be a chore, it doesn’t have to be a bad tasting experience and it isn’t a pill that you pop and you’re done. We believe in using the best possible ingredients and, wherever possible, that’s Australian organic. We believe in helping people make healthier choices by offering great tasting products to support their wellbeing. We believe in Australia. We are proudly 100% Australian owned.WHOLE BODY HEALTH SINCE 1978Established in Melbourne during the 70s, Melrose is a homegrown, family-owned business with deep roots in Australia’s health food industry and a long history of market leadership and product innovation. Over the years, Melrose has grown to be one of Australia’s leading and most trusted health food brands. Today, The Melrose Group has over 100 employees, two manufacturing sites in Melbourne, and an ever-growing range of products to support whole body health.",null,null,51-200 employees,http://melrosehealth.com.au,null,Privately Held,null,https://www.linkedin.com/company/melrose-health/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
BEAUTE INDUSTRIE,"e-commerce, melbourne, victoria 3195, AU","Most people feel alone and unsupported in the beauty industry,so at Beaute Industrie we have an online community membership,podcast and host brunch events,which helps people stay connected and feel positive as therapists and business owners.  We create real conversations, light bulb moments and fruitful connections,bridging the gap between owner/operators and industry experts, fuelling your passion for the beauty industry.​Create a Member Profile, subscribe to our podcast channel,book your ticket to our next event andstart connecting with like-minded souls to create community over competition.",null,null,2-10 employees,http://www.beauteindustrie.com,"melbourne, victoria",Sole Proprietorship,null,https://www.linkedin.com/company/beaute-industrie/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Independent Living Specialists,"Unit 1 / 12 Mars Road, Lane Cove, New South Wales 2066, AU","Independent Living Specialists (ILS) are Australian leaders in homecare mobility solutions. As our clients move through life, we are there to support them.We are Australia’s number 1 retailer of homecare mobility and physiotherapy equipment. With our in-store and at-home occupational therapy consultations, it is our specialist care in the recommendation of lifestyle mobility solutions that earmarks us as leaders in this space. We are a dynamic business. With 30 retail stores across four states - New South Wales, Queensland, Victoria and South Australia, and more to come, we are a company on the move.Our growth recognises our industry leadership in solutions, innovation, and exceptional customer service across retail, home care, pressure care and hospitals, and rehabilitation. In servicing the general public, hospitals, residential aged care facilities and the wider allied health community in Australia, we champion comfort, dignity, independence and improved quality of life.Our signature products, including the Hero and Royale Medical brands, were researched and developed to provide the very best in health care and mobility solutions. Our business strategy is focused on product innovation and as we continue to grow, we invest in new technologies, products, support resources and most importantly, people.We attract talented and committed team members spanning occupational therapy, retail and customer service, product innovation, business development and more. In joining our growing team, you will play a vital role in improving the health and well-being of our clients.",1300 008 267,null,201-500 employees,https://ilsau.com.au,"Lane Cove, New South Wales",Sole Proprietorship,null,https://www.linkedin.com/company/independent-living-specialists/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Locum Optometrist,AU,"Experienced, reliable and professional consultant optometrist available for Locum work in Melbourne and Mornington Peninsula. 

Includes availability, fees and CV. Since graduating in 1995, experience gained at many optometry practices, ranging from small independent country optometry practices to large optical retail in city Melbourne.",null,null,0-1 employees,http://www.locumoptometrist.com.au,null,Privately Held,null,https://www.linkedin.com/company/locum-optometrist/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Corporate Yoga Australia,"Brisbane, Brisbane, QLD 4101, AU","Corporate Yoga Australia firmly believe that a happy and healthy workplace is a productive workplace. We provide a bespoke range of corporate wellness initiatives to suit your organisation’s needs including yoga, meditation and mindfulness.We have worked with a large number of respected organisations including Telstra, NAB, Paypal, Bunnings, Workcover Qld, Goodstart Early Learning, Brisbane Marriott, The Emporium Hotel, GHD, Stantech, to name a few.Yoga increases employee productivity, energy and focus, stimulates concentration and strengthens the body - plus offers the opportunity to de-stress, feel valued as an employee & build team morale. We come to you before work, after work, or anytime! On-site classes adapted to meet the needs of your organisation. Yoga provides a low-cost and innovative way to invest in your staff and reap the rewards of a happy and healthy workforce. At Corporate Yoga all teachers are  fully experienced and  fully insured. We come to you and can provide yoga in a boardroom, office or local park and we can offer yoga before, during or after work.What some of our clients are saying:“Our quick 15 minute revitalising yoga session was a huge hit with our clients for something different to do to break up their day. Fun, relaxing and a great option to keep a conference group invigorated and awake for the rest of their day..professional, friendly, fun and an absolute pleasure to deal with. Thank You!”  Emporium Hotel""I thoroughly enjoyed the yoga class and teacher, she really adapted well to all participants as we were all different levels felt very refreshed during and after the class ""​ GHD Hair“Just wanted to thank you for a wonderful course of yoga for MS Queensland. After each session I felt lighter both in body and spirit and that is a rare gift indeed”   MS Qld",null,null,2-10 employees,http://corporateyoga.com.au,"Brisbane, QLD",Public Company,null,https://www.linkedin.com/company/corporate-yoga-australia/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Fitness Playground,null,"Our Mission:To change the gym environment & experience.Our Focus:Our people.Fitness Playground is powered by our people. The staff & the members alike are one of the main reasons that we are one of Australia’s fastest-growing gym chains, awarded ‘Best Gym’ by Men’s Health in both Sydney & Darwin and recognised as an Employer of Choice by The Australian Business Awards. Our unique classes, equipment, design, and atmosphere make us different. But it has always been, and will always be the people of the playground that make us special... And it’s why we have always put our people first. Our Staff Code:We recruit awesome humans, meaning our recruitment is based on personality & culture fit over qualifications & experience. We support our team from the beginning. We do this by providing our staff with over 200 hours off free, in-house education each year and access to industry experts to make them great at what they do. Lastly, we reward our staff, because awesome humans deserve to be recognised. All of this helps create a unique culture. We are one of a kind. We work, train & play together.  If you are an awesome human who is passionate about changing the gym experience and inspiring others, then we would love to hear from you!",null,null,51-200 employees,https://www.fitnessplayground.com.au/,"Sydney, NSW",Sole Proprietorship,null,https://www.linkedin.com/company/fitnessplayground/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Winalite Internatiional,null,"WINALITE INTERNATIONAL is a multinational corporation specializing in the research, development, manufacturing and marketing of high-tech products. With its major product “Love Moon” Anion Sanitary Napkin, it has received positive responses from the global market as well as wide recognition and a stellar reputation since its founding in January 2007. 

As its scale of operation and market demand has grown, WINALITE has gradually developed a diversified global product strategy and launched various high-tech healthcare products into overseas markets. The company currently owns three modernized plants, whose standard factory buildings cover a total area of 100,000 square meters. They provide WINALITE a solid basis from which to meet ever-growing customer demands and also provide support for its global expansion to overseas market.

At present time, WINALITE has more than 1,000 employees across the world, including many senior level management personnel with extensive experience in managing multinational corporations. More than five million global distributors have helped WINALITE expand its market into 278 countries and 365 regions throughout the world, developing a global organizational strategy,
Under the guidance of its corporate philosophy, “Passion, Commitment, Contribution, Win-win, Innovation” and its corporate culture, “Boundless Love, All for Love”, WINALITE is striding firmly towards a promising global market.",null,null,"10,001+ employees",http://www.cwinalite.tk,"Bangalore, Karnataka",Privately Held,null,https://www.linkedin.com/company/winalite-internatiional/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Meditation at Work,null,"Working with forward-thinking Australian companies to improve employee health & wellbeing, engagement, focus, performance and productivity by bringing meditation into the workplace",null,null,2-10 employees,null,null,Sole Proprietorship,null,https://www.linkedin.com/company/meditation-at-work/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Body Sculpting Clinics®,"500 Oxford St, Shop 6014a, Bondi Junction, NSW 2026, AU","Body Sculpting Clinics® is the next frontier in advanced, innovative and non-surgical treatments for the face and body. As a specialised clinic backed by a medical team we focus on; - fat reduction, - skin tightening,- cellulite treatment,- advanced cosmetic injectables,- PDO threads- skin peels- pigmentation concerns.  Using the gold standard in advanced medical grade devices, our unique approach to training, technology and design excellence has seen us quickly become the market leader in this category.  Body Sculpting Clinics, are best in body.From the very beginning we have understood the value of design as part of our dedication to beauty and customer excellence.  Attention to detail and the high regard for aesthetic harmony, is ever present in our architectural state of the art clinics, where considerations of form and function are always present.  This is not your average clinic. The 2018 finalist in the Customer Experience Innovation of the Year for Small or Medium Business award at the 2018 Retailer Awards.If you have a passion in design, technology, innovation, next generation thinking, beauty and most importantly customer excellence - we want to hear from you.Leaders in Modern Aesthetic Solutions.",null,null,11-50 employees,http://www.bodysculptingclinics.com.au/,"Bondi Junction, NSW",Privately Held,null,https://www.linkedin.com/company/body-sculpting-clinics/,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
James Smith Academy,"121 Beattie Street, Sydney, NSW 2041, AU","Originating with James Smith and his large social media presence and cofounded by James Smith and James Shaw, the James Smith Academy is a fitness/tech startup which provides Online Personal Training. For more information about us, visit our website.",null,null,11-50 employees,http://www.jamessmithacademy.com,"Sydney, NSW",Privately Held,null,https://www.linkedin.com/company/james-smith-academy/,"121 Beattie Street, Sydney, NSW, 2041, AU",-33.84907,151.13834,Sydney,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
