Name,Location,Overview,Phone,Industry,Company Size,Website,Headquarter,Type,Founded,Linked In URL,Address_0,Latitude_0,Longitude_0,City_0,Location_description_0,Address_1,Latitude_1,Longitude_1,City_1,Location_description_1,Address_2,Latitude_2,Longitude_2,City_2,Location_description_2,Address_3,Latitude_3,Longitude_3,City_3,Location_description_3,Address_4,Latitude_4,Longitude_4,City_4,Location_description_4,Address_5,Latitude_5,Longitude_5,City_5,Location_description_5,Country
Pivit,"1/11 Booran Drive, Underwood, Qld 4114, AU","Pivit is a Fibre-to-the-Premises (FTTP) telecommunications carrier.

Pivit works closely with property developers, consultants and government agencies to future-proof new and existing developments by designing and installing innovative optical fibre networks that enable a full suite of telecommunication services. These 'triple-play'​ services include telephony, broadband and video (both free-to-air and subscription TV).",null,Telecommunication,11-50 employees,http://pivit.com.au,"Underwood, Qld",Privately Held,null,https://www.linkedin.com/company/pivit/,"1/11 Booran Drive, Underwood, Qld, 4114, AU",-25.728104,134.49019,Underwood,Brisbane,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
MOH Player,null,"Our Message On Hold System is Unique

We're the first and only GLOBAL Message On Hold company bringing together thousands of talented Voice Actors with Millions of Customers to deliver the BEST SERVICE at the LOWEST cost!

A Customised Message Costs only $99.00 + GST
We're a ONE STOP SHOP for your Message Player and your Professional Announcements. MOH Player is delivered via our global Dealer and Distributor network and our Voice Actors can record your Messages in multiple languages and virtually any dialect/accent.",null,Telecommunication,2-10 employees,http://www.mohplayer.com.au,"Wellington Point, Qld",Privately Held,null,https://www.linkedin.com/company/moh-player/,"Beacon Hill Business Park, Newark, Nottinghamshire, NG24 2TN, GB",53.074646,-0.8097883,Newark,UK Office,"27 Chesterfield Crescent, Wellington Point, Qld, 4160, AU",-25.728104,134.49019,Wellington Point,Head Office,"26672 Alamanda, Mission Viejo, California, 92691 CA, US",34.073666,-118.23985,Mission Viejo,USA Office,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,US
Atea Systems Ltd,null,"Atea Systems develops a range of applications exclusively for the Cisco Unified Communications Manager environment. Our goal is to help you . .

Manage Telephony Expenses and Reduce Costs
Provide Valuable Staff Behavior Reporting
Reduce CUCM Administration Time by >90%
Improve Your Network Performance and Sizing
Provide High Value Applications at a Low Cost
Work With You To Leverage Your CUCM Investment",null,Telecommunication,2-10 employees,http://www.ateasystems.com,null,Privately Held,null,https://www.linkedin.com/company/atea-systems-ltd/,"Camberwell, Melbourne, VIC, null, AU",-37.803425,145.01105,Melbourne,Melbourne Office,"GPO Box 2551, Sydney, null, null, AU",-33.84907,151.13834,Sydney,Sydney Office,"Unit 7, Khandallah, null, 6032, NZ",-41.2851,174.776,Khandallah,Wellington Office / HQ,"Marine Parade, Herne Bay, Auckland, 1011, NZ",-36.85361,174.76498,Herne Bay,Auckland Office,null,null,null,null,null,null,null,null,null,null,NZ
AOFR Pty Ltd,"2, Faulding Street, Symonston, Canberra, ACT 2604, AU","AOFR has been at the forefront of fiber optic component manufacturing for over 20 years and is a pioneer in the development of highly automated coupler manufacturing processes. AOFR’s unique manufacturing process provides high quality fused fiber components for the global Telecommunications Network, CATV, Test Equipment, Industrial, Sensing and Military & Aerospace markets.

AOFR’s fused fiber products include:

    * Single mode couplers, taps and arrays
    * 1x3 and 1x4 monolithic splitters
    * Single mode attenuators
    * Wavelength Division Multiplexers
    * Multimode couplers
    * Polarization couplers
    * Laser Power Combiners

AOFR also offer the following products:

    * Planar Lightwave splitters
    * Video Overlay WDM’s
    * Fiber Organizer packaging

AOFR’s reputation for performance, quality and reliability is backed by over 70 billion device hours in the field and 5 million device hours of product testing and is supported by a world-wide Sales and Technical Support Network with outstanding Customer Service.",null,Telecommunication,11-50 employees,http://www.aofr.com,"Canberra, ACT",Privately Held,null,https://www.linkedin.com/company/aofr-pty-ltd/,"2, Faulding Street, Canberra, ACT, 2604, AU",-25.728104,134.49019,Canberra,null,"GPO Box 2551, Sydney, null, null, AU",-33.84907,151.13834,Sydney,Sydney Office,"Unit 7, Khandallah, null, 6032, NZ",-41.2851,174.776,Khandallah,Wellington Office / HQ,"Marine Parade, Herne Bay, Auckland, 1011, NZ",-36.85361,174.76498,Herne Bay,Auckland Office,null,null,null,null,null,null,null,null,null,null,AU
SV Consultants,"11 Hilltop Avenue, Clayton, Victoria 3168, AU","SV Consultants, Melbourne based consultancy service company offers comprehensive innovation and telecommunication services at 30 to 40 per cent discount. 

Our services include:
Innovation software (Idea Connection and Q Markets) 
Voice, Mobility, Data and Solutions. 
Voice offerings include fixed line telephony, inbound and IP Telephony. 
Mobility offerings include unlimited business plans, capped plans, mobile broadband, voice and data international roaming. 
Data offerings include internet and business broadband, WAN optimization, IP-VPN and managed network services. 
Solutions include Unified communications, Disaster Recovery and Business Continuity and Cloud Services.

Please feel free to call us on 0423 665 808 or e-mail to rvutukoor@svconsultants.net for more details.",null,Telecommunication,2-10 employees,null,"Clayton, Victoria",Sole Proprietorship,null,https://www.linkedin.com/company/sv-consultants/,"35 Selegie Rd, Singapore 188307",1.300626,103.849458,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Telco4U,"Level 4, 269 Wickham Street, Fortitude Valley, QLD 4005, AU","You might not have heard of us, but we have been a part of the telecommunications industry for over 10 years. This extensive experience has helped us to creatively offer simplest solutions to the common problems faced in the telco industry. Telco4U is 100% Australian owned and our operations are based in Brisbane.

The mission statement of our company is  as follows:
""Telco4U aims to creatively offer the simplest solutions to the problems faced by consumers in the telecommunications industry and are committed to exceptional and personalized customer service experience.""",null,Telecommunication,11-50 employees,http://www.telco4u.com.au/,"Fortitude Valley, QLD",Privately Held,null,https://www.linkedin.com/company/telco4u/,"Level 4, 269 Wickham Street, Fortitude Valley, QLD, 4005, AU",-25.728104,134.49019,Fortitude Valley,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Mytelco Pty Ltd,"11-13  West Thebarton Road, Thebarton, SA 5031, AU","Mytelco is a leading provider of telecommunications solutions to businesses large and small. Our dedicated team of technicians and customer service professionals will ensure your business gets the best service, value for money and technology to suit your unique circumstancesMytelco is here to help if you need more data points, additions or changes to your existing phone system, need advice on how VoIP, IP, unified communications, contact centre, call reporting software and routing solutions can give your business the edge. Call today to find out how Mytelco's solutions can lower costs and improve productivityOur technicians are trained and experienced in the latest  telecommunications solutions and have the experience to keep those old office PBXs and phone systems performing at their bestWe are South Australia's leading, fully certified NEC and ShoreTel technical workforce and can supply, install and maintain all makes and models of office communications systems. We can service and install phones systems Australia wideOur services include but are not limited to:-New and refurbished system sales, service and relocationsNECShoreTelCiscoCommanderPolycom Kirk DECTLGPolycom IPSamsungPanasonic•Wholesale technical labour providers for local and interstate hardware resellers•Project Management•Maintenance contracts•Office relocations•Mobile signal repeaters - no more call drop outs •Call Accounting Software•Professional messages on hold, recordings and devices, make your messages on hold work for you•EnGenius long range cordless phones, Polycom Kirk DECT, headsets•Data networking solutions – CAT5e and CAT6 structured cabling using ACMA accredited cablers, networking hardware•WiFi solutions – Meru and Engenius wireless technologies•VOIP  – the latest Voice over IP offerings for a more efficient workplace•Voice and video conferencing•Call cost reduction solutions – for reducing telephony call costs#makemytelcoyourtelco",null,Telecommunication,2-10 employees,http://www.mytelco.com.au/,"Thebarton, SA",Privately Held,null,https://www.linkedin.com/company/mytelco-pty-ltd/,"11-13  West Thebarton Road, Thebarton, SA, 5031, AU",-25.728104,134.49019,Thebarton,Mytelco,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
Optus Business Centre Knoxfield,"1488 Ferntree Gully Rd, Knoxfield, Victoria 3180, AU","The Optus Business Centre Melbourne North team provides solutions across mobiles, landlines, data (NBN and mobile) and phone systems . We pride ourselves on service to all Small to Medium Enterprises and our local team have your best interests at heart.",385606777,Telecommunication,11-50 employees,null,"Knoxfield, Victoria",Privately Held,null,https://www.linkedin.com/company/optus-business-centre-knox/,"202, Suite 1/04 Jells Rd, Wheelers Hill VIC 3150, Australia",-37.9112776,145.1894188,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
Barefoot Telecom,"Sydney,   AU","Barefoot Telecom is a 100% Australian owned and operated telecommunications service provider committed to exceptional customer service. Experience the Barefoot difference today with your own dedicated account manager, Australian-based call centre and a team of local, passionate staff.

Barefoot Telecom provides NBN and ADSL Broadband Internet, fixed line telephone, mobile phone and mobile broadband services.",null,Telecommunication,11-50 employees,http://www.barefoottelecom.com.au,null,Privately Held,null,https://www.linkedin.com/company/barefoot-telecom/,"null, Sydney, null, null, AU",-33.84907,151.13834,Sydney,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,AU
PROcomms - Professional Communication Services,"Docklands, Vic  AU","PROcomms formerly Docklands Communications is a full-service provider of #InformationTechnology and #Communications solutions. We partner with our customers to consult, design, build, operate, and support #BusinessSolutions. From strategic consulting to application and infrastructure solutions and services, Docklands Communications has earned a reputation as a supplier of choice for leading corporate and government organizations.",1300 782 232,Telecommunication,2-10 employees,http://www.procomms.com.au,"Docklands, Vic",Privately Held,null,https://www.linkedin.com/company/docklandscommunications/,"A/5, Shahid Bhagat Singh Rd, Cusrow Baug Colony, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9199516,72.829621,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
