Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
GetCapital,"Level 6/110 Walker St, North Sydney NSW 2060, Australia",-33.8379882,151.2088127,ChIJm2L2vqemMioR4zan7I43yKE,,,,null,null,null,,"Level 6/110 Walker St, North Sydney NSW 2060, Australia",-33.8379882,151.2088127
Mason Stevens,"19/420 George St, Sydney NSW 2000, Australia",-33.8695854,151.2074254,ChIJ08dfLkCuEmsR3sz8Izbgah8,,,,null,null,null,,"19/420 George St, Sydney NSW 2000, Australia",-33.8695854,151.2074254
RAMS,"25A Hillview Ave, Singapore 669617",1.362575,103.765232,ChIJrZMe81IQ2jERV3Pv-RCbNyg,,,,null,null,null,,"25A Hillview Ave, Singapore 669617",1.362575,103.765232
Earnd,null,null,null,null,,,,null,null,null,,null,null,null
Thorn Group Limited,"1/62 Hume Hwy, Chullora NSW 2190, Australia",-33.8966455,151.0475335,ChIJC-NEsxbztAERjUJba9JdQAc,,,,null,null,null,,"1/62 Hume Hwy, Chullora NSW 2190, Australia",-33.8966455,151.0475335
Liquid Capital Group,"#39-01 Marina View, Asia Square Tower 1, Singapore 018960",1.2792682,103.8515503,ChIJbVJF5BEZ2jERo0-ycMCoBkI,,,,null,null,null,,"#39-01 Marina View, Asia Square Tower 1, Singapore 018960",1.2792682,103.8515503
Milford,"Milford, CT, USA",41.2306979,-73.064036,ChIJ2zH4pmB06IkRg0DXeJkC-UA,,,,null,null,null,,"Milford, CT, USA",41.2306979,-73.064036
Women in Super,"150 Lonsdale St, Melbourne VIC 3000, Australia",-37.8103098,144.9676801,ChIJhSIg5fZD1moR-3WpDOLsfgo,,,,null,null,null,,"150 Lonsdale St, Melbourne VIC 3000, Australia",-37.8103098,144.9676801
TorFX,"25 Elkhorn Ave, Surfers Paradise QLD 4217, Australia",-27.998582,153.428066,ChIJSwrLuEGuEmsRkaWSgF3Bu5w,,,,null,null,null,,"25 Elkhorn Ave, Surfers Paradise QLD 4217, Australia",-27.998582,153.428066
Sirius Finance,"3791 Jalan Bukit Merah, Singapore 159471",1.285212,103.811531,ChIJ_09FPdIb2jERtODaNdCXYYA,,,,"null, Perth, WA, 6000, AU",-25.728104,134.49019,,"null, Perth, WA, 6000, AU",-25.728104,134.49019
Canaccord Genuity Australia,"Level 15/333 Collins St, Melbourne VIC 3000, Australia",-37.816564,144.9638509,ChIJucrScchC1moRnuZZDHSZ0ro,,,,null,null,null,,"Level 15/333 Collins St, Melbourne VIC 3000, Australia",-37.816564,144.9638509
Maqro Capital,"Level 3/64 Clarence St, Sydney NSW 2000, Australia",-33.8665052,151.20519,ChIJvxtSQI2uEmsRuJMT2_K6SYg,,,,null,null,null,,"Level 3/64 Clarence St, Sydney NSW 2000, Australia",-33.8665052,151.20519
Alpha Fintech,"160 Robinson Rd, #18-08 SBF Center, Singapore 068914",1.278027,103.8479839,ChIJHxc-2AgZ2jERznyJYrwiWc0,,,,null,null,null,,"160 Robinson Rd, #18-08 SBF Center, Singapore 068914",1.278027,103.8479839
MCP,"Unnamed Road, Singapore",1.4083481,103.7212885,ChIJB34BjuMN2jERU1RzI_4xVzA,,,,null,null,null,,"Unnamed Road, Singapore",1.4083481,103.7212885
Euroz Hartleys Limited,"Level 18/58 Mounts Bay Rd, Perth WA 6000, Australia",-31.9550897,115.8532717,ChIJJXXFL9W6MioRM4raB_8o06g,,,,null,null,null,,"Level 18/58 Mounts Bay Rd, Perth WA 6000, Australia",-31.9550897,115.8532717
Amfin,"Suite 705/12 Century Cct, Norwest NSW 2153, Australia",-33.7322789,150.9646905,ChIJx_4x3EifEmsRpC7uHynJPhE,,,,null,null,null,,"Suite 705/12 Century Cct, Norwest NSW 2153, Australia",-33.7322789,150.9646905
K2 Asset Management Ltd,null,null,null,null,,,,null,null,null,,null,null,null
HCG Companies,"8 Tuas View Circuit, Singapore 637777",1.293734,103.6324738,ChIJ875pwX4G2jERh5OVUMEYqLA,,,,null,null,null,,"8 Tuas View Circuit, Singapore 637777",1.293734,103.6324738
Crescent Wealth Super,"Grosvenor Place, Level 32/225 George St, Sydney NSW 2000, Australia",-33.8629649,151.207252,ChIJhdYevNOoEmsRPXGALGi5YjM,,,,null,null,null,,"Grosvenor Place, Level 32/225 George St, Sydney NSW 2000, Australia",-33.8629649,151.207252
