Name,Address_0,Latitude_0,Longitude_0,place_id,,,,Address_0,Latitude_0,Longitude_0,,C_A,C_T,C_G
Melrose Health,"Woodlands Drive 53, #01-63 Block 557, Singapore 730557",1.4329627,103.7965545,ChIJxc7nSQwT2jERis9B3xESDWY,,,,null,null,null,,"Woodlands Drive 53, #01-63 Block 557, Singapore 730557",1.4329627,103.7965545
BEAUTE INDUSTRIE,null,null,null,null,,,,null,null,null,,null,null,null
Independent Living Specialists,"Unit 1/12 Mars Rd, Lane Cove NSW 2066, Australia",-33.8114774,151.1496765,ChIJExlpw12vEmsRcgMKPI-AFD0,,,,null,null,null,,"Unit 1/12 Mars Rd, Lane Cove NSW 2066, Australia",-33.8114774,151.1496765
Locum Optometrist,"No 12G, Jalan Pandan 3/9, Pandan Jaya, 55100 Kuala Lumpur, Selangor, Malaysia",3.1312844,101.7381781,ChIJ49yuKmg2zDERcCSk_XbciR4,,,,null,null,null,,"No 12G, Jalan Pandan 3/9, Pandan Jaya, 55100 Kuala Lumpur, Selangor, Malaysia",3.1312844,101.7381781
Corporate Yoga Australia,"1384 Ang Mo Kio Ave 1, Singapore 569932",1.362081,103.847562,ChIJ-_BYrB8X2jER1axfzKTsvsI,,,,null,null,null,,"1384 Ang Mo Kio Ave 1, Singapore 569932",1.362081,103.847562
Fitness Playground,Singapore,1.4320094,103.7778817,ChIJcxZnBq0T2jERxTZKvus6rkI,,,,null,null,null,,Singapore,1.4320094,103.7778817
Winalite Internatiional,"Block A, A-11-2, Level 13, 85, Jalan Loke Yew, WP Kuala Lumpur, 55200 Kuala Lumpur, Malaysia",3.1237354,101.7192567,ChIJN8iw361LzDERBsOBzefu9eQ,,,,null,null,null,,"Block A, A-11-2, Level 13, 85, Jalan Loke Yew, WP Kuala Lumpur, 55200 Kuala Lumpur, Malaysia",3.1237354,101.7192567
Meditation at Work,null,null,null,null,,,,null,null,null,,null,null,null
Body Sculpting Clinics®,"277 Orchard Road, #03-15 Orchard Gateway, Singapore 238858",1.3004504,103.8392596,ChIJC5_Y1pgZ2jERlJcN0J6GPoo,,,,null,null,null,,"277 Orchard Road, #03-15 Orchard Gateway, Singapore 238858",1.3004504,103.8392596
James Smith Academy,"Dark Ln, Camelford PL32 9UJ, United Kingdom",50.6214546,-4.6838836,ChIJ46mcAC6Ca0gRtMtiBi1upWs,,,,"121 Beattie Street, Sydney, NSW, 2041, AU",-33.84907,151.13834,,"121 Beattie Street, Sydney, NSW, 2041, AU",-33.84907,151.13834
Concentric Healthcare Services,"536 King Georges Rd, Beverly Hills NSW 2209, Australia",-33.9513337,151.0826605,ChIJWxhuMnC5EmsRa2V0OevxRtY,,,,null,null,null,,"536 King Georges Rd, Beverly Hills NSW 2209, Australia",-33.9513337,151.0826605
Unimed Living,"Av. Brasil, 1146 - Vila Carvalho, Sorocaba - SP, 18060-105, Brazil",-23.4877468,-47.4781175,ChIJgeYcQ5eKxZQRzgpTtqdJzA8,,,,null,null,null,,"Av. Brasil, 1146 - Vila Carvalho, Sorocaba - SP, 18060-105, Brazil",-23.4877468,-47.4781175
Health Breaks,null,null,null,null,,,,null,null,null,,null,null,null
Melbourne Hand Therapy,"343/357 Blackburn Rd, Mount Waverley VIC 3149, Australia",-37.8846006,145.1453523,ChIJhxEW9fo_1moREtQmhdVvvRY,,,,null,null,null,,"343/357 Blackburn Rd, Mount Waverley VIC 3149, Australia",-37.8846006,145.1453523
