Name,Latitude,Longitude,,Latitude_0,Longitude_0,,C_T,C_G
GetCapital,null,null,,null,null,,null,null
Mason Stevens,39.351585,-84.307627,,null,null,,39.351585,-84.307627
RAMS,47.63333,15.96667,,null,null,,47.63333,15.96667
Earnd,39.234495,-84.373858,,null,null,,39.234495,-84.373858
Thorn Group Limited,null,null,,null,null,,null,null
Liquid Capital Group,50.847328,4.349973,,null,null,,50.847328,4.349973
Milford,null,null,,null,null,,null,null
Women in Super,null,null,,null,null,,null,null
TorFX,null,null,,null,null,,null,null
Sirius Finance,41.741001,-7.467512,,-31.939821,115.8162,,-31.939821,115.8162
Canaccord Genuity Australia,null,null,,null,null,,null,null
Maqro Capital,25.806159,-100.350888,,null,null,,25.806159,-100.350888
Alpha Fintech,null,null,,null,null,,null,null
MCP,6.806832,-58.053345,,null,null,,6.806832,-58.053345
Euroz Hartleys Limited,null,null,,null,null,,null,null
Amfin,61.17029,8.61103,,null,null,,61.17029,8.61103
K2 Asset Management Ltd,null,null,,null,null,,null,null
HCG Companies,51.499951,-3.188277,,null,null,,51.499951,-3.188277
Crescent Wealth Super,-2.419551,-54.731009,,null,null,,-2.419551,-54.731009
Partners Wealth Group,27.990358,-82.735193,,null,null,,27.990358,-82.735193
Aura Group,60.645632,22.57734,,null,null,,60.645632,22.57734
Beforepay,null,null,,null,null,,null,null
STM Group PLC,3.551459,98.690669,,null,null,,3.551459,98.690669
Advantedge Financial Services,null,null,,null,null,,null,null
Entity Solutions,null,null,,null,null,,null,null
Vannin Capital,null,null,,null,null,,null,null
LUCRF Super,-37.820166,144.943228,,null,null,,-37.820166,144.943228
OpenMarkets Group,null,null,,null,null,,null,null
VentureCrowd,null,null,,null,null,,null,null
Equipsuper,null,null,,null,null,,null,null
Oddup,13.31065,79.43448,,null,null,,13.31065,79.43448
Sargon,null,null,,null,null,,null,null
Capital Partners Private Wealth Advisers,null,null,,null,null,,null,null
Financial Executive Women (FEW),null,null,,null,null,,null,null
PictureWealth,null,null,,null,null,,null,null
Beem It,45.003229,11.083693,,null,null,,45.003229,11.083693
OnePath,null,null,,null,null,,null,null
Vision Super,50.258983,19.017921,,null,null,,50.258983,19.017921
Tradeplus24,null,null,,null,null,,null,null
IFX Payments,52.484571,-1.908348,,null,null,,52.484571,-1.908348
RI Advice Group,25.832715,91.963635,,null,null,,25.832715,91.963635
Live group,30.407591,-90.086066,,null,null,,30.407591,-90.086066
ABC Bullion,12.2756,-69.11224,,null,null,,12.2756,-69.11224
National Australia Bank - Nab,-37.86302,145.077482,,null,null,,-37.86302,145.077482
CEG Direct Securities,null,null,,null,null,,null,null
Council of Queensland Insurance Brokers (CQIB),-26.18881,152.65868,,null,null,,-26.18881,152.65868
Dorado Property,null,null,,null,null,,null,null
OurMoneyMarket,null,null,,null,null,,null,null
IntegraPay,null,null,,null,null,,null,null
Australian Foundation Investment Company (AFIC),1.335849,34.042453,,null,null,,1.335849,34.042453
"Tiger Capital Group, LLC",null,null,,null,null,,null,null
OMERS,51.513062,7.159806,,null,null,,51.513062,7.159806
ISS ESG,null,null,,null,null,,null,null
AMP,19.3984,-99.15766,,null,null,,19.3984,-99.15766
CoinZoom,null,null,,null,null,,null,null
FSS,57.64983,-3.561799,,null,null,,57.64983,-3.561799
The Tax Institute,51.513221,-0.091816,,null,null,,51.513221,-0.091816
Checkout.com,null,null,,null,null,,null,null
Gordon Brothers,34.506228,-84.875773,,null,null,,34.506228,-84.875773
KoreConX All-In-One Platform,50.81833,-1.06498,,null,null,,50.81833,-1.06498
FIDINAM Group Worldwide,47.313566,-122.225527,,null,null,,47.313566,-122.225527
Eureka - Real Assets,40.795621,-124.162676,,-25.574999,134.3547,,-25.574999,134.3547
McQueen Group,33.244735,-111.827747,,null,null,,33.244735,-111.827747
Boutique Advisers,54.854188,-6.261708,,null,null,,54.854188,-6.261708
Kearney Group,39.366593,-94.364696,,null,null,,39.366593,-94.364696
Australian Council of Superannuation Investors,-35.470057,148.954507,,null,null,,-35.470057,148.954507
TAMIM Asset Management,45.410614,-122.72175,,null,null,,45.410614,-122.72175
ActOn Wealth Pty Ltd,51.50901,-0.2762,,null,null,,51.50901,-0.2762
Monoova,null,null,,null,null,,null,null
CBL,52.076495,4.395117,,null,null,,52.076495,4.395117
TCN - The Card Network,null,null,,null,null,,null,null
University of Queensland Business Association (UQBA),-27.543825,153.065414,,null,null,,-27.543825,153.065414
PaySmart,null,null,,null,null,,null,null
SiDCOR chartered accountants,49.066235,-122.379951,,null,null,,49.066235,-122.379951
Ally Financial Group,null,null,,null,null,,null,null
Blue Crane Capital,-32.77816,25.41309,,null,null,,-32.77816,25.41309
legalsuper,null,null,,null,null,,null,null
OMF Markets,32.357177,36.253504,,-33.84907,151.13834,,-33.84907,151.13834
OrbitRemit,null,null,,null,null,,null,null
Eightcap,null,null,,null,null,,null,null
First Nations Foundation,38.898974,-77.040851,,null,null,,38.898974,-77.040851
Dixon Advisory,38.447214,-121.830934,,null,null,,38.447214,-121.830934
CareSuper,null,null,,null,null,,null,null
Rural Bank,28.040126,82.485716,,null,null,,28.040126,82.485716
ACY Securities,49.351016,3.414521,,null,null,,49.351016,3.414521
Asteron Life,40.979905,-80.137976,,null,null,,40.979905,-80.137976
SuperConcepts,null,null,,null,null,,null,null
Taxback.com,null,null,,null,null,,null,null
Qudos Bank,-33.844308,151.062114,,null,null,,-33.844308,151.062114
Stake,41.72257,-111.858426,,null,null,,41.72257,-111.858426
Empower Wealth,42.955888,-85.64508,,null,null,,42.955888,-85.64508
Simplicity Loans & Advisory,51.068136,-114.015844,,null,null,,51.068136,-114.015844
PAC Partners,null,null,,null,null,,null,null
Mergers and Acquisitions,null,null,,null,null,,null,null
EAC Partners,8.292138,81.369002,,null,null,,8.292138,81.369002
Aegon Insights,43.086629,-77.621255,,null,null,,43.086629,-77.621255
Boston Merchant Financial Ltd.,42.337209,-71.040881,,null,null,,42.337209,-71.040881
Carbon Trade eXchange (CTX),37.057786,15.26755,,null,null,,37.057786,15.26755
Nodifi,null,null,,null,null,,null,null
Henslow - Oaklins Member Firm,null,null,,null,null,,null,null
FX Connect,41.580163,-72.756629,,null,null,,41.580163,-72.756629
Data Action,null,null,,null,null,,null,null
Finsure,4.887925,114.941919,,null,null,,4.887925,114.941919
