Name,Address_0,Latitude_0,Longitude_0,place_id
Pivit,"11 Booran Dr, Woodridge QLD 4114, Australia",-27.6227914,153.1144896,ChIJzwalCIZDkWsRgdVbT6NgUMs
MOH Player,"27 Chesterfield Cres, Wellington Point QLD 4160, Australia",-27.513699,153.238339,ChIJ0cqC_jFnkWsRu8I280_Q8xQ
Atea Systems Ltd,"6035/2 Ganges Road, Khandallah, Wellington 6035, New Zealand",-41.2465029,174.790502,ChIJNyYdtwuuOG0RN-br9WpHBVg
AOFR Pty Ltd,"11/22 Lexington Dr, Bella Vista NSW 2153, Australia",-33.735341,150.9452114,ChIJ04YRLVKfEmsRRDzAta-dTwY
SV Consultants,"35 Selegie Rd, Singapore 188307",1.300626,103.849458,ChIJKbicibwZ2jERcnyNrOkZ8I8
Telco4U,"269 Wickham St, Fortitude Valley QLD 4006, Australia",-27.456574,153.0350403,ChIJ_RRpXPJZkWsRognHfljcrTY
Mytelco Pty Ltd,"11-13 W Thebarton Rd, Thebarton SA 5031, Australia",-34.9145314,138.5711971,ChIJmdOZwg7PsGoRyFRxlzro6gI
Optus Business Centre Knoxfield,"202, Suite 1/04 Jells Rd, Wheelers Hill VIC 3150, Australia",-37.9112776,145.1894188,ChIJ9eKqCvgV1moRA9iyyEd-A88
Barefoot Telecom,"1019 Hwy 17 S #111, North Myrtle Beach, SC 29582, United States",33.8172214,-78.6912485,ChIJOXlxJi59AIkR27fR-dELGXQ
PROcomms - Professional Communication Services,"A/5, Shahid Bhagat Singh Rd, Cusrow Baug Colony, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001, India",18.9199516,72.829621,ChIJAQAAAIXR5zsRqtemwPRaijE
"ACSData, ACSDataGlobal",null,null,null,null
UnifiedNet,null,null,null,null
GlobalTalk,"Shop 3/112A Martin St, Brighton VIC 3186, Australia",-37.8973645,145.0021069,ChIJZT4dceNn1moR7jYHJg-m9oE
R&O Communications,"No'6, Jalan Kebudayaan 20, Skudai, 81300 Johor Bahru, Johor, Malaysia",1.5374225,103.6293288,ChIJV-O4QQx02jER4DPa2ghOLbA
The Telecom Recycling Shop Ltd,"1 Woodlands Square, #03-K11 Causeway Point, Singapore 738099",1.4362269,103.7860228,ChIJuR4sGG8T2jERJp_2sN7YCxc
OzyLink Pty Ltd,"D7/13-15 Forrester St, Kingsgrove NSW 2208, Australia",-33.9388539,151.0972983,ChIJ2xrLjUq5EmsRBmpAK2l_7co
Coloured Lines,"Golden Truly Department Store Batam 1St Floor (BCS MALL), JL. Bunga Raya, Sei Baloi, Baloi Indah, Batam, Kota Batam, Kepulauan Riau, Indonesia",1.132057,104.012378,ChIJ1ZGkfHyJ2TERbZomCCaBvpc
Vine Networks,null,null,null,null
SPT Telecommunications,"101 Thomson Rd, #30-01 United Square, Singapore 307591",1.3171498,103.8435835,ChIJmxdYxOcZ2jERy_iPtzPMd-M
PrestoX Australia,"8 Mayvic St, Greenacre NSW 2190, Australia",-33.8988468,151.0673991,ChIJeevGShe7EmsR6riMvCV25_0
DirectIT Pty Ltd,"1/55 Mountain St, Ultimo NSW 2007, Australia",-33.8832909,151.1960838,ChIJf1kV5iiuEmsRWpm9OuWzIW8
GeoWAN,null,null,null,null
"OAK Telecom, Australia - Connecting Offices",null,null,null,null
SCB Global Ltd,"37th Floor, One Canada Square, Canary Wharf, London E14 5AA, United Kingdom",51.5049712,-0.0194665,ChIJ3xI_XFEDdkgRvKCTv7j-vgE
Matchmaster Communications Pty Ltd,"42/1470 Ferntree Gully Rd, Knoxfield VIC 3180, Australia",-37.9002976,145.2423145,ChIJFa15LeJb1moR2xW4B2iRWoI
SubPartners,"Alte Bundesstraße 19, 25774 Krempel, Germany",54.3213,9.02901,ChIJfcld1uNns0cRCZO2o4qKIDQ
ZTE AUSTRALIA,"6/128 Exhibition St, Melbourne VIC 3000, Australia",-37.8125768,144.971045,ChIJQ0qCjshC1moRvV6fHwdG7MI
Mobivate 📶,null,null,null,null
VIS Global Pty Ltd,"31 Cantonment Rd, Singapore 089747",1.2788641,103.8403183,ChIJAQB9620Z2jERbtZbMr7chNQ
Westcom Group Holdings,"296 Victoria Rd, Malaga WA 6090, Australia",-31.8622177,115.8822119,ChIJ5e1r8bGxMioR9Tp4T14kBkg
Billing Bureau,"5/459 Collins St, Melbourne VIC 3000, Australia",-37.8179855,144.9589035,ChIJzddu_Uxd1moRzdcK3B71t80
ATR Communications,"63 Forge Creek Rd, Bairnsdale VIC 3875, Australia",-37.8380702,147.6105738,ChIJzVuErhl_L2sRY4wVhQDWiAc
FaceToFace Communications,"Toa Payoh N, #01-09 Blk 998, Singapore 318993",1.3433057,103.8504037,ChIJK9Eu-D4X2jER0X2QdGw_hjk
Intelligent IP Communications,"12 Marina View #19-03, Asia Square Tower, 2, Singapore 018961",1.2783286,103.850763,ChIJ7a52og4Z2jERDIQgTd9H0kc
Virtual Call Centre,"2 Gambas Cres, NordCom2, #09-32/33, Lobby 2, Singapore 757044",1.4432352,103.8160436,ChIJ66z6HQYQ2jERf5JVz_v1Hdo
Logitel Communications,"18-20 Dandenong St, Dandenong South VIC 3175, Australia",-37.9924864,145.1994688,ChIJg8EkN4wT1moRJiLyxZHXWB0
Arbitrium Technologies,"Suite 601, Level 6/159 Church St, Parramatta NSW 2150, Australia",-33.8180945,151.002998,ChIJ84jDUSCjEmsRgcZx_4_r54s
Orca Communications Limited,"32 Market Place, cbd, Auckland 1010, New Zealand",-36.8437745,174.7615125,ChIJFZ1meDFGDW0RxmiN2YjbFls
AAA Communications,"15 Riverside Dr, New York, NY 10023, United States",40.7818347,-73.9850548,ChIJmcgbRWJYwokRZ6r5z-bTM4c
Monopond,"30 Sgt.L.Pasua, Pasig, Metro Manila, Philippines",14.5641122,121.0716148,ChIJidxwTnrIlzMRvuPmGrbOBQc
Kaelus,"34 Corporate Dr, Cannon Hill QLD 4170, Australia",-27.4671621,153.0906918,ChIJVTBGllxZkWsRUJ8o5sot3t8
Uniti Wireless Pty Ltd,"28 Sin Ming Ln, #07-146 Midview City, Singapore 573972",1.358146,103.833392,ChIJl0guiyUX2jER1ok0Ce5ubVU
Axicom Pty Ltd,"Level 1/110 Pacific Hwy, St Leonards NSW 2065, Australia",-33.8248957,151.1903028,ChIJTfSD-uCuEmsRfdZVjfySnHg
Vividwireless,null,null,null,null
Alltel Australia,"622 Ferntree Gully Rd, Wheelers Hill VIC 3150, Australia",-37.9042384,145.1641471,ChIJ4ZUbtGYV1moRXT27z7Hl5fU
Robustel,"1 Contour Cl, Research VIC 3095, Australia",-37.6998505,145.1861835,ChIJ__9vQYs21moR3o8IoIYJkJ0
GoLogic Group,"Suite C3/C4, 21, Lake St, Cairns City QLD 4870, Australia",-16.9248265,145.777598,ChIJ-f-vdJNmeGkRxNrr1iSDA84
Telarus,"Level 25/500 Collins St, Melbourne VIC 3000, Australia",-37.8176127,144.9574838,ChIJOw3YaUtd1moRpBc2GQO2bz4
Coevolve,"21 Merchant Rd, Singapore 058267",1.2880726,103.8447117,ChIJaR0fS3UZ2jERIFbEQLN39BA
Hypha,"5 City Walls, Chester CH1 2JG, United Kingdom",53.1938719,-2.8927378,ChIJB60RyeTdekgRHgtW8tWg9C4
Anttel Communications Group,"38/23 Narabang Way, Belrose NSW 2085, Australia",-33.7083113,151.2121566,ChIJF0Y_5zGHc2sRaR5qURsAEDo
Hubify Limited (ASX: HFY),null,null,null,null
Tait Communications Brasil,"Av. Lavandisca, 777 - Conjunto 62 - Moema, São Paulo - SP, 04515-011, Brazil",-23.6034409,-46.6631436,ChIJfQ8MAQVazpQRHX_E0ayGxH4
Pathfinder Technology Group,"9/213 Balcatta Rd, Balcatta WA 6021, Australia",-31.86075,115.81682,ChIJd7dizUKuMioRRZyFlGMEyFc
ITT Communications,"16 Holland St, Northgate QLD 4013, Australia",-27.3928225,153.0708613,ChIJkVNk_ixZkWsRfjDrV2Na8MQ
Smart Health Australia,"B/469-479 Glen Huntly Rd, Elsternwick VIC 3185, Australia",-37.8850195,145.0078135,ChIJva9O7wFp1moRFrcJBiWXWp0
UHF Comms,"25 Civil Rd, Garbutt QLD 4814, Australia",-19.2705327,146.7627318,ChIJxcSeT8f51WsRzExS5wF9fRQ
Tele2 Australia,null,null,null,null
Global Data Center Engineering,"3 Temasek Avenue #28-01 Centennial Tower Singapore 039190, Singapore 039190",1.2940014,103.8597016,ChIJUahR0a4Z2jER819koPHUnMU
Metcom,"Perpa Ticaret Merkezi B Blok NO 1102, 34384 Şişli/İstanbul, Turkey",41.06109,28.97072,ChIJNe85Uzu3yhQRbVOh5Av3GWU
AcomHR,"11/122 Arthur St, North Sydney NSW 2060, Australia",-33.838745,151.2098344,ChIJg13-3fKuEmsRuo4PDr3Xhhw
INTRACENT,"2 Brandon Park Dr, Wheelers Hill VIC 3150, Australia",-37.9045945,145.1644028,ChIJK7Y3XtQV1moRSa4YeOT9qdM
Connectivity Index,"Jalan Kampung Jawa, Kawasan Perindustrian Bayan Lepas, 11900 Bayan Lepas, Pulau Pinang, Malaysia",5.3233725,100.3007347,ChIJ2aPyZmHASjARp-Ahc85-4uQ
Great Outcomes,"8B Komaru Street, Remuera, Auckland 1050, New Zealand",-36.8742504,174.8052812,ChIJZVZEaXRIDW0RrYANsJ-y2dY
MyITHub,null,null,null,null
Star2M,"11 Industrial Dr, Somerville VIC 3912, Australia",-38.2200208,145.1811368,ChIJq6rqKDXg1WoRGOV2uMhwviY
Mobiletronics - Vodafone's Business Channel,null,null,null,null
Creative Business Solutions - CBS,"29-12, Q Sentral, 2A, Jalan Stesen Sentral 2, 50470 Kuala Lumpur, Malaysia",3.1367908,101.6879381,ChIJ31m-WM9JzDER4VSg98D37tc
BroadConnect Telecom,"151 N Rivermede Rd, Concord, ON L4K 0C4, Canada",43.819806,-79.48374,ChIJrfFZ1pcuK4gRnz815O6EP8I
Pacific Wireless Communications Pty Ltd,null,null,null,null
Connect Communications & Electronics,"586 Siglap Rd, Singapore 455950",1.3202182,103.9205709,ChIJv_GTzq4i2jERN2zXm03GLns
gomo Australia,"41 East St, Granville NSW 2142, Australia",-33.832393,151.012942,ChIJGbur3DGjEmsReC5Lp7FwsHo
anytech,"Unnamed Road,, Kibing, Kec. Batu Aji, Kota Batam, Kepulauan Riau 29424, Indonesia",1.054456,103.984836,ChIJJWDH78eN2TERgq2Z6O8P4So
BusinessCo,null,null,null,null
RAMSDEN TRAINING,"Lambton NSW 2299, Australia",-32.9107117,151.7179236,ChIJOWVY4JsVc2sRP6Ehr0R779w
Better Life Mobile,null,null,null,null
RAD Communications Pty Ltd,null,null,null,null
EcoTelco,null,null,null,null
Talking Point Telecommunications,"35/287 Victoria Rd, Rydalmere NSW 2116, Australia",-33.81234,151.0359462,ChIJH9xlhHqjEmsRp66ybMzUQjk
"GR Phones ""One Stop Phone Shop""","409 Dons Drive, London, KY 40741, United States",37.113655,-84.0935897,ChIJ--LwMnrNXIgRQIRvY8QeLmo
Kingkong Telecommunications Technician,"No 82, Jalan MP18, Taman Merdeka Permai, 75350 Batu Berendam, Malacca, Malaysia",2.2514452,102.2400846,ChIJZ7gPPvLHzTERYADOj_D-7pg
NDSCO pty. ltd,"Muscat, Oman",23.596363,58.4196357,ChIJnTLvUAr_kT4RlBsDVxBAB2U
ConceroTel,"Innovation Centre Sunshine Coast, 90 Sippy Downs Dr, Sippy Downs QLD 4556, Australia",-26.715969,153.059562,ChIJ93Gt4G-ek2sRhs2xNx6gq78
SigTel,"UNIT F-202, TOWER NO.8, INFORMATION TECHNOLOGY CENTER BELAPUR RLY. STN. COMPLEX, Sector 11, CBD Belapur, Navi Mumbai, Maharashtra 400614, India",19.0191357,73.0388555,ChIJv4ErZq3D5zsRlnVbKvxN_VM
Access One Telecom,"820 W Jackson Blvd, Chicago, IL 60607, United States",41.878272,-87.6480603,ChIJO12N1MIsDogRaJzYvuIuRNI
Vodafone Business Centre South,"Suite 8, Commercial, Tower 10/36 Marine Parade, Southport QLD 4215, Australia",-27.9689132,153.415635,ChIJsc_AWc0PkWsREx4z_HUkwFI
HasTek Smart Security Systems,"Burnside Heights VIC 3023, Australia",-37.727,144.76,ChIJj_HNwuf11moRUMSK1rwdKJQ
Aria Telco Management,"Tapping WA 6065, Australia",-31.719,115.795,ChIJq6ou0wZTzSsRZ7o1ayz_tPA
Zamro International,null,null,null,null
Interactive Cabling P/L t/a Interactive Electrical & Communication Services,"Cintech Bldg 73, Science Park Dr, #01-14, Singapore 118254",1.2901435,103.7898538,ChIJrcGVeF8P2jERthe8AO2aIBQ
bbstore.com.au,null,null,null,null
f3,"U Mall, Lot F3, 4,5 ,, 45, Jalan Pulai 20, Taman Pulai Utama, 81110 Skudai, Johor, Malaysia",1.5463733,103.6221386,ChIJHbv4Cxt02jERCdL--LJNl2Q
Best Telecom Group,null,null,null,null
Moblink Australia Pty Ltd,"Chifley Plaza, 24/2 Chifley Square, Sydney NSW 2000, Australia",-33.865815,151.2117616,ChIJJQ4oHEKuEmsRG8CCxHv5yzY
