Phone,Founded,Longitude_4,Country,Location_description_5,Location_description_0,Longitude_0,Latitude_2,Location,City_3,Location_description_4,Longitude_5,Website,Name,Address_5,Location_description_2,Type,Latitude_0,Location_description_1,Latitude_4,City_4,Latitude_1,City_2,Company Size,Address_3,Linked In URL,City_5,Latitude_3,Address_4,Longitude_3,Industry,Location_description_3,Address_2,Address_0,Headquarter,City_0,Longitude_1,Overview,Longitude_2,Latitude_5,City_1,Address_1
null,null,null,AU,null,null,153.40938,null,"107 Ferry Rd, Southport, Queensland 4215, AU",null,null,null,https://www.brickworkscentre.com.au/,Brickworks Centre,null,null,Partnership,-27.994457,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/brickworks-centre/,null,null,null,null,null,null,null,"107 Ferry Rd, Southport, Queensland, 4215, AU","Southport, Queensland",Southport,null,"Boutique shopping precinct on the Gold Coast. Explore the carefully curated selection of food, fashion, homewares & art.",null,null,null,null
null,2002,null,null,null,null,null,null,"Brisbane,   AU",null,null,null,https://bneclean.com.au,BNE Clean,null,null,Sole Proprietorship,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/bne-clean/,null,null,null,null,null,null,null,null,null,null,null,we provide cleaning services and maintenance.,null,null,null,null
null,null,null,AU,null,Miami Business Centre,153.40938,null,"2190 Gold Coast Highway, Miami, QLD 4220, AU",null,null,null,http://www.miamibusinesscentre.com.au,Miami Business Centre,null,null,Public Company,-27.994457,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/miami-business-centre/,null,null,null,null,null,null,null,"2190 Gold Coast Highway, Miami, QLD, 4220, AU","Miami, QLD",Miami,null,"Miami Business Centre offers 25 fully integrated serviced office suites. Shared serviced offices provide a cost-effective solution for start-ups, entrepreneurs, home-based business owners and large companies to establish branch locations. A serviced office suite saves you time and money by utilising shared resources, shared facilities, equipment and support personnel. Our tenants represent a mix of well-regarded business services and professions including Psychologist's, Naturopath's, Financial Planners and mortgage brokers.Miami Business Centre also provides Virtual Office Services to allow you to benefit from the resources available from our front of house reception team including the use of our Gold Coast business address on your marketing material.  This service is perfect for start-ups, sole traders, consultants and business owners who work from their home offices. Furthermore, virtual offices are a popular choice for companies who wish to trial a new business location before taking the risk of buying or renting.",null,null,null,null
null,2016,null,AU,null,null,153.01831,null,"97 Longlands St, Woolloongabba, Brisbane, QLD 4102, AU",null,null,null,http://visualisationbrisbane.com.au,The Draft Australia,null,null,Partnership,-27.47126,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/the-draft-australia/,null,null,null,null,null,null,null,"97 Longlands St, Woolloongabba, Brisbane, QLD, 4102, AU","Brisbane, QLD",Brisbane,null,"We offer services for Architectural drafting and Real Estate listings solutions as Photography, Property site measure, Floor plan drafting, Virtual Staging and Lawn Signs. Very affordable prices, as we are a young group of skilled architects and virtual artists, very keen on positioning in the market and standing out for our proficiency and high end service. Send us your enquiry to info@thedraftaustralia.com for more info call 0432701544",null,null,null,null
null,2015,null,AU,null,Head Office,151.13834,null,"Level 16, 1 Martin Plcae, c/- ""Flexispace""​, Sydney, NSW 2000, AU",null,null,null,http://interoffice.net.au/,InterOffice Property Services,null,null,Privately Held,-33.84907,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/interoffice-property-services/,null,null,null,null,null,null,null,"Level 16, 1 Martin Plcae, Sydney, NSW, 2000, AU","Sydney, NSW",Sydney,null,"InterOffice Property Services develops next-generation co-working, business collaboration and commercial property solutions.InterOffice currently operates two business collaboration sites, developed in partnership with Charter Hall Group - under the name of ""Flexispace by Charter Hall and InterOffice""​. These sites focus on providing a range of flexible meeting, hot desk and office solutions to building tenants, while also enabling external clients with similar needs access to the spaces. This creates a vibrant business community, with scope for collaboration, innovation and event activities - yet also providing for enclosed workspaces, to support the need for focus work time and team-based or project work.Our first proof-of-concept location at 68 Pitt Street was established in 2015, and has already generated significant positive feedback from existing building tenants, as well as external clients - spawning several collaborations, and providing overflow and convenience for valued existing tenants of the building.Our second site at 1 Martin Place is a showcase of the full potential of the concept.  Spanning 718m2, the ""Flexispace""​ site at 1 Martin Place includes a multi-purpose large event space, numerous boardrooms and meeting rooms, private offices, team spaces, hot desk and fixed working options, and collaboration and break-out spaces. This site was completed in December 2016 and opened in February 2017.InterOffice has also developed a number of technology based offerings and other assets which dramatically improve amenity and ease of use in commercial business environments, reduce operational costs and increase scalability.",null,null,null,null
null,null,null,AU,null,null,115.8162,null,"22 Gibberd Road, Level 1, Balcatta, Western Australia 6021, AU",null,null,null,https://www.vividpropertymanagement.com.au/,Vivid Property Management,null,null,Privately Held,-31.939821,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/vivid-property-management/,null,null,null,null,null,null,null,"22 Gibberd Road, Balcatta, Western Australia, 6021, AU","Balcatta, Western Australia",Balcatta,null,"Vivid Property ManagementUnique service - unique results.Experience the Vivid Difference. Our dedicated and fully integrated end-to-end property sales and property management services focus on delivering excellence at every touch point.At Vivid we represent only the most thoughtfully designed and crafted properties to the highest standard of specifications. All the properties we represent have been carefully researched and are located in desirable locations. Our properties are highly sought-after by tenants and as such represent great investments.All our properties are fully complete and ready to own or move into, this means no waiting and no hassles.",null,null,null,null
1300 030 450,2017,null,AU,null,null,149.14151,null,"Mitchell ACT , Canberra ACT, Canberra  2911, AU",null,null,null,http://www.flexibleconstructions.com.au/,Flexible Constructions,null,null,Public Company,-35.21536,null,null,null,null,null,201-500 employees,null,https://www.linkedin.com/company/flexible-constructions/,null,null,null,null,null,null,null,"Mitchell ACT , Canberra ACT, Canberra , 2911, AU","Canberra ACT, Canberra",Canberra ACT,null,"Tell us about your home design, any build project idea, or just say hello. Whether you’ve got a big building idea or if you’re just looking for some construction inspiration in Canberra ACT. We’re here to build luxury homes for you. Let’s build something awesome together! We will construct or renovate any form of building including granny flats construction, home renovation, home extensions, and helping you build the house of your dreams. We are here to build our future.",null,null,null,null
null,2019,null,null,null,null,null,null,"1 Manning St, South Gladstone, Queensland 4680, AU",null,null,null,http://gladstonebc.com.au/,Gladstone Business Centre,null,null,Partnership,null,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/gladstonebc/,null,null,null,null,null,null,null,null,"South Gladstone, Queensland",null,null,"Gladstone Business Centre is a multi faceted space providing networking and business oppurtunities to a range of businesses from startups, micro business, small business all the way to national operations needing a proffesional presence in the area with a local network of professionals.",null,null,null,null
9409 6283,2016,null,AU,null,null,115.8162,null,"3/35 Buckingham Drive, Wangara, WA 6065, AU",null,null,null,http://www.perthpropertysigns.com.au,Perth Property Signs,null,null,Partnership,-31.939821,null,null,null,null,null,2-10 employees,null,https://www.linkedin.com/company/perth-property-signs/,null,null,null,null,null,null,null,"3/35 Buckingham Drive, Wangara, WA, 6065, AU","Wangara, WA",Wangara,null,"Perth Property Signs is a family owned and operated signage company based in Perth, Western Australia. We specialise in Commercial Real Estate signage while also providing services to the Residential Real Estate market and general signage for other businesses. Our products and services include real estate signage,  builders signs, stickers and wall graphics, A-Frame signs, shop frontages, banners, billboards, hoardings and much more.",null,null,null,null
(08) 6266 8331,2018,null,null,null,null,null,null,"18 The Esplanade, Level 9, Perth CBD, Western Australia 6000, AU",null,null,null,http://www.apdarchitecture.com.au,APD Developments Australia,null,null,Privately Held,null,null,null,null,null,null,11-50 employees,null,https://www.linkedin.com/company/apd-developments-australia/,null,null,null,null,null,null,null,null,"Perth CBD, Western Australia",null,null,"APD Developments Australia is the property development arm of APD Design & Development Group. Together with APD Architecture, an A+ registered architecture practice, and APD Commercial, we work with the best creative talent and combine to bring a collaborative team of top industry experts together to realise large scale development projects.Whilst we do some high end residential work, our core focus is on commercial, hospitality and aged care projects. Our business model is to actively seek out gaps and/or opportunities in the market and bring together relevant stakeholders to realise development projects. This can include acquiring land, obtaining investment funding and bringing in top tier operators depending on project requirements.A major unique selling proposition is that we often do schematic designs on a speculative basis with fees only being charged upon project commencement. This helps to reduce upfront costs, fast tracks development opportunities and sets us apart from any other architect firm or property development group.",null,null,null,null
